primeOShuffle,responseSentence,pTSentence,primeType,correctPChoices,audio,btwncondition,slide_type,primeTShuffle,pTChoice,pOwrongAnswer,response,pTSymbols,responseSymbols,goodPOChoice,primeStrength,Answer.time_in_minutes,slide_number,correctPTChoice,pTwrongAnswer,responseChoice,correctPOChoice,pOChoice,workerid,trial_type,Answer.condition,block_rt,image,pOSymbols,response_rt,goodPTChoice,pOSentence
"[0, 1]",There are four squares.,There are four hearts.,1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[4, 3, 9]","[5, 3, 4]",1,1,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,5049,,"[3, 6, 9]",1589,0,There are four spades.
"[1, 0]",Some of the symbols are ticks.,8 + 2 = ?,0,True,,exh-clausal,,"[0, 1]",1,"[8, 0, 0]",,"[10, 8, 2]","[2, 6, 9]",0,3,10.105433333333334,,True,"[9, 0, 0]",1,True,0,0,filler,undefined,4180,,"[10, 6, 4]",1865,1,6 + 4 = ?
"[1, 0]",Some of the symbols are squares.,Some of the symbols are ticks.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[2, 7, 5]","[5, 7, 2]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,5686,,"[7, 5, 6]",1755,1,Some of the symbols are circles.
"[0, 1]",There are four diamonds.,8 + 8 = ?,1,False,,exh-clausal,,"[1, 0]",1,"[4, 0, 0]",,"[16, 8, 8]","[0, 9, 5]",1,3,10.105433333333334,,False,"[0, 0, 0]",1,False,0,0,filler,undefined,7169,,"[4, 0, 4]",1509,0,0 + 4 = ?
"[1, 0]",Some of the symbols are triangles.,"Some of the symbols are spades, but not all of them are spades.",0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 1, 7]","[9, 8, 1]",0,2,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,7271,,"[3, 7, 4]",2084,1,"Some of the symbols are spades, but not all of them are spades."
"[1, 0]",There are four spades.,There are four spades.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 1, 5]","[3, 7, 0]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4488,,"[7, 0, 8]",1763,1,There are four circles.
"[0, 1]",There are four triangles.,8 + 4 = ?,1,True,,exh-clausal,,"[1, 0]",0,"[1, 0, 0]",,"[12, 8, 4]","[9, 6, 5]",1,3,10.105433333333334,,True,"[2, 0, 0]",0,True,1,0,response,undefined,4650,,"[2, 1, 1]",2016,0,1 + 1 = ?
"[1, 0]",There is a star.,4 + 6 = ?,2,False,,exh-clausal,,"[1, 0]",1,"[2, 0, 0]",,"[10, 4, 6]","[6, 7, 4]",0,3,10.105433333333334,,False,"[1, 0, 0]",0,True,0,0,response,undefined,5322,,"[14, 8, 6]",1216,0,8 + 6 = ?
"[1, 0]",There is a tick.,0 + 7 = ?,2,True,,exh-clausal,,"[1, 0]",0,"[1, 0, 0]",,"[7, 0, 7]","[2, 8, 6]",0,3,10.105433333333334,,True,"[7, 0, 0]",1,True,0,0,filler,undefined,6980,,"[13, 9, 4]",2240,0,9 + 4 = ?
"[1, 0]",There is a club.,There is a tick.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[2, 0, 8]","[1, 2, 6]",0,0,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,3988,,"[3, 7, 1]",1197,1,There is a spade.
"[1, 0]",There is a star.,1 + 9 = ?,2,False,,exh-clausal,,"[1, 0]",1,"[2, 0, 0]",,"[10, 1, 9]","[6, 1, 7]",0,3,10.105433333333334,,False,"[8, 0, 0]",0,True,0,0,response,undefined,3299,,"[9, 6, 3]",1083,0,6 + 3 = ?
"[0, 1]",There is a tick.,3 + 7 = ?,2,True,,exh-clausal,,"[1, 0]",0,"[7, 0, 0]",,"[10, 3, 7]","[2, 8, 1]",1,3,10.105433333333334,,True,"[3, 0, 0]",0,True,1,0,response,undefined,3901,,"[12, 9, 3]",1096,0,9 + 3 = ?
"[1, 0]",Some of the symbols are circles.,Some of the symbols are notes.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[8, 0, 5]","[7, 8, 0]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4790,,"[7, 2, 0]",1833,1,Some of the symbols are circles.
"[1, 0]",There are four diamonds.,5 + 3 = ?,1,False,,exh-clausal,,"[1, 0]",1,"[1, 0, 0]",,"[8, 5, 3]","[0, 2, 9]",0,3,10.105433333333334,,False,"[7, 0, 0]",0,True,0,0,response,undefined,4127,,"[5, 5, 0]",1303,0,5 + 0 = ?
"[0, 1]",There are four ticks.,There are four circles.,1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[7, 9, 8]","[2, 3, 8]",1,1,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,3763,,"[7, 3, 2]",1108,0,There are four circles.
"[1, 0]",Some of the symbols are diamonds.,"Some of the symbols are diamonds, but not all of them are diamonds.",0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[0, 2, 3]","[0, 4, 5]",0,2,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,5985,,"[5, 8, 7]",2648,1,"Some of the symbols are squares, but not all of them are squares."
"[0, 1]",There is a circle.,There is a heart.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[4, 0, 6]","[7, 0, 5]",1,1,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,6547,,"[8, 3, 2]",1196,1,There is a note.
"[1, 0]",There are four triangles.,There are four notes.,1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[8, 9, 1]","[9, 0, 4]",0,1,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,3298,,"[9, 7, 2]",1130,0,There are four triangles.
"[1, 0]",There are four hearts.,3 + 4 = ?,1,False,,exh-clausal,,"[1, 0]",0,"[3, 0, 0]",,"[7, 3, 4]","[4, 2, 7]",0,3,10.105433333333334,,True,"[6, 0, 0]",0,False,1,0,response,undefined,3299,,"[12, 7, 5]",1193,0,7 + 5 = ?
"[0, 1]",There are four diamonds.,"There are four triangles, but there are no more than four triangles.",1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[9, 0, 6]","[0, 7, 2]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,7074,,"[6, 1, 5]",1856,0,"There are four stars, but there are no more than four stars."
"[0, 1]",There is a star.,2 + 2 = ?,2,False,,exh-clausal,,"[1, 0]",1,"[3, 0, 0]",,"[4, 2, 2]","[6, 9, 8]",1,3,10.105433333333334,,False,"[9, 0, 0]",1,False,0,0,filler,undefined,4089,,"[6, 3, 3]",1556,0,3 + 3 = ?
"[0, 1]",Some of the symbols are ticks.,Some of the symbols are spades.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[3, 8, 6]","[2, 1, 3]",1,0,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,5587,,"[7, 9, 1]",1867,0,Some of the symbols are circles.
"[1, 0]",There is a note.,There is a circle.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[7, 2, 8]","[8, 9, 6]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4940,,"[1, 9, 0]",1394,1,There is a club.
"[1, 0]",Some of the symbols are hearts.,Some of the symbols are ticks.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[2, 3, 8]","[4, 5, 1]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4648,,"[8, 2, 7]",1359,0,Some of the symbols are notes.
"[0, 1]",Some of the symbols are squares.,Some of the symbols are stars.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[6, 0, 2]","[5, 8, 1]",1,1,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,4958,,"[1, 9, 5]",1186,0,Some of the symbols are clubs.
"[1, 0]",Some of the symbols are notes.,6 + 3 = ?,0,False,,exh-clausal,,"[1, 0]",1,"[3, 0, 0]",,"[9, 6, 3]","[8, 7, 6]",0,3,10.105433333333334,,False,"[8, 0, 0]",1,True,0,0,filler,undefined,4257,,"[9, 5, 4]",1655,0,5 + 4 = ?
"[0, 1]",There is a square.,7 + 8 = ?,2,True,,exh-clausal,,"[1, 0]",0,"[2, 0, 0]",,"[15, 7, 8]","[5, 0, 4]",1,3,10.105433333333334,,True,"[8, 0, 0]",1,True,1,0,filler,undefined,4293,,"[6, 3, 3]",1601,0,3 + 3 = ?
"[0, 1]",Some of the symbols are circles.,"Some of the symbols are squares, but not all of them are squares.",0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[5, 2, 3]","[7, 5, 0]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,8221,,"[7, 9, 6]",4679,0,"Some of the symbols are circles, but not all of them are circles."
"[0, 1]",There are four spades.,9 + 0 = ?,1,False,,exh-clausal,,"[0, 1]",1,"[5, 0, 0]",,"[9, 9, 0]","[3, 6, 5]",1,3,10.105433333333334,,True,"[1, 0, 0]",1,False,0,0,filler,undefined,4982,,"[11, 4, 7]",1988,1,4 + 7 = ?
"[1, 0]",Some of the symbols are diamonds.,Some of the symbols are diamonds.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[0, 9, 4]","[0, 7, 3]",0,0,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,5309,,"[3, 4, 5]",2203,0,Some of the symbols are spades.
"[0, 1]",There are four clubs.,"There are four clubs, but there are no more than four clubs.",1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[1, 5, 9]","[1, 2, 8]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,6022,,"[3, 7, 9]",1836,0,"There are four spades, but there are no more than four spades."
"[1, 0]",There is a heart.,"There is a square, but there is nothing besides a square.",2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[5, 4, 0]","[4, 9, 7]",0,2,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,5966,,"[0, 6, 4]",1701,0,"There is a diamond, but there is nothing besides a diamond."
"[1, 0]",There are four circles.,There are four spades.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 2, 6]","[7, 1, 5]",0,0,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,4259,,"[0, 2, 4]",1321,1,There are four diamonds.
"[1, 0]",There are four spades.,"There are four stars, but there are no more than four stars.",1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[6, 0, 7]","[3, 0, 1]",0,2,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,4782,,"[8, 2, 5]",1603,0,"There are four notes, but there are no more than four notes."
"[0, 1]",Some of the symbols are spades.,5 + 6 = ?,0,False,,exh-clausal,,"[0, 1]",1,"[4, 0, 0]",,"[11, 5, 6]","[3, 8, 9]",1,3,10.105433333333334,,True,"[6, 0, 0]",1,False,0,0,filler,undefined,5338,,"[13, 9, 4]",2472,1,9 + 4 = ?
"[1, 0]",Some of the symbols are clubs.,Some of the symbols are squares.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[5, 6, 8]","[1, 2, 3]",0,0,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,4048,,"[4, 9, 2]",1433,1,Some of the symbols are hearts.
"[1, 0]",Some of the symbols are triangles.,"Some of the symbols are triangles, but not all of them are triangles.",0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[9, 4, 1]","[9, 8, 5]",0,2,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,9281,,"[3, 0, 4]",2361,0,"Some of the symbols are spades, but not all of them are spades."
"[0, 1]",There are four squares.,There are four squares.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[5, 7, 3]","[5, 9, 1]",1,0,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,3570,,"[0, 9, 5]",1078,1,There are four diamonds.
"[1, 0]",There are four triangles.,There are four diamonds.,1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[0, 3, 7]","[9, 8, 0]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,3218,,"[8, 6, 4]",1076,0,There are four notes.
"[1, 0]",There are four stars.,"There are four circles, but there are no more than four circles.",1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[7, 1, 0]","[6, 2, 1]",0,2,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,7471,,"[3, 7, 8]",1596,0,"There are four spades, but there are no more than four spades."
"[1, 0]",Some of the symbols are circles.,"Some of the symbols are circles, but not all of them are circles.",0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[7, 6, 4]","[7, 3, 9]",0,2,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,6084,,"[2, 4, 7]",1973,1,"Some of the symbols are ticks, but not all of them are ticks."
"[0, 1]",There is a note.,"There is a spade, but there is nothing besides a spade.",2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[3, 9, 7]","[8, 4, 2]",1,2,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,7434,,"[5, 4, 9]",2873,0,"There is a square, but there is nothing besides a square."
"[0, 1]",Some of the symbols are stars.,Some of the symbols are triangles.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[9, 3, 6]","[6, 8, 3]",1,0,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,4621,,"[7, 0, 8]",1277,1,Some of the symbols are circles.
"[1, 0]",There is a star.,There is a tick.,2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[2, 5, 8]","[6, 1, 8]",0,1,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,4802,,"[3, 9, 7]",1252,0,There is a spade.
"[0, 1]",Some of the symbols are hearts.,"Some of the symbols are hearts, but not all of them are hearts.",0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[4, 1, 7]","[4, 2, 0]",1,2,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,5912,,"[9, 6, 5]",1551,0,"Some of the symbols are triangles, but not all of them are triangles."
"[0, 1]",There is a tick.,There is a club.,2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[1, 2, 4]","[2, 1, 5]",1,0,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,4910,,"[5, 3, 9]",1425,0,There is a square.
"[0, 1]",There are four notes.,There are four clubs.,1,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[1, 0, 7]","[8, 6, 9]",1,0,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,3375,,"[2, 0, 6]",1057,0,There are four ticks.
"[0, 1]",Some of the symbols are notes.,Some of the symbols are spades.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 8, 2]","[8, 0, 7]",1,1,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,5627,,"[0, 2, 5]",2500,1,Some of the symbols are diamonds.
"[1, 0]",There are four triangles.,There are four notes.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[8, 0, 7]","[9, 6, 8]",0,0,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,3725,,"[9, 7, 0]",1127,1,There are four triangles.
"[0, 1]",Some of the symbols are squares.,5 + 2 = ?,0,False,,exh-clausal,,"[0, 1]",0,"[8, 0, 0]",,"[7, 5, 2]","[5, 0, 4]",1,3,10.105433333333334,,False,"[8, 0, 0]",0,True,1,0,response,undefined,3485,,"[11, 8, 3]",1194,1,8 + 3 = ?
"[0, 1]",There are four diamonds.,"There are four clubs, but there are no more than four clubs.",1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[1, 3, 7]","[0, 8, 4]",1,2,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,5495,,"[7, 9, 4]",1757,1,"There are four circles, but there are no more than four circles."
"[1, 0]",Some of the symbols are hearts.,8 + 7 = ?,0,True,,exh-clausal,,"[0, 1]",1,"[5, 0, 0]",,"[15, 8, 7]","[4, 0, 1]",0,3,10.105433333333334,,True,"[3, 0, 0]",0,True,0,0,response,undefined,4596,,"[8, 0, 8]",1551,1,0 + 8 = ?
"[1, 0]",There is a club.,There is a spade.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 7, 8]","[1, 4, 9]",0,0,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4693,,"[5, 4, 6]",1840,1,There is a square.
"[1, 0]",There are four spades.,"There are four spades, but there are no more than four spades.",1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 8, 6]","[3, 8, 0]",0,2,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4690,,"[1, 0, 9]",1488,1,"There are four clubs, but there are no more than four clubs."
"[1, 0]",Some of the symbols are squares.,Some of the symbols are stars.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[6, 5, 0]","[5, 6, 2]",0,0,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,5750,,"[8, 9, 4]",1511,0,Some of the symbols are notes.
"[0, 1]",There is a triangle.,"There is a club, but there is nothing besides a club.",2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[1, 2, 9]","[9, 6, 3]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,4113,,"[2, 8, 0]",1315,0,"There is a tick, but there is nothing besides a tick."
"[0, 1]",There are four triangles.,There are four diamonds.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[0, 4, 6]","[9, 6, 7]",1,0,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,3673,,"[6, 9, 7]",1221,1,There are four stars.
"[0, 1]",There is a spade.,There is a square.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[5, 7, 6]","[3, 2, 0]",1,0,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,4095,,"[8, 1, 5]",1559,1,There is a note.
"[0, 1]",Some of the symbols are stars.,9 + 4 = ?,0,False,,exh-clausal,,"[0, 1]",1,"[6, 0, 0]",,"[13, 9, 4]","[6, 4, 5]",1,3,10.105433333333334,,True,"[4, 0, 0]",1,False,0,0,filler,undefined,4319,,"[11, 3, 8]",1921,1,3 + 8 = ?
"[0, 1]",There is a tick.,There is a circle.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[7, 4, 3]","[2, 3, 1]",1,1,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,4377,,"[9, 0, 5]",1835,1,There is a triangle.
"[1, 0]",There are four triangles.,There are four diamonds.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[0, 1, 7]","[9, 3, 8]",0,1,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,3802,,"[9, 1, 5]",1244,1,There are four triangles.
"[0, 1]",Some of the symbols are stars.,Some of the symbols are spades.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 7, 6]","[6, 9, 4]",1,0,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,3944,,"[4, 3, 0]",1251,1,Some of the symbols are hearts.
"[0, 1]",Some of the symbols are spades.,Some of the symbols are ticks.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[2, 1, 8]","[3, 8, 2]",1,1,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,6142,,"[5, 4, 3]",3033,0,Some of the symbols are squares.
"[0, 1]",There is a note.,There is a square.,2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[5, 3, 6]","[8, 5, 1]",1,0,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,4761,,"[0, 5, 4]",1956,0,There is a diamond.
"[1, 0]",There is a spade.,There is a note.,2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[8, 0, 2]","[3, 0, 1]",0,1,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,4806,,"[1, 4, 3]",1616,0,There is a club.
"[1, 0]",There are four hearts.,2 + 7 = ?,1,False,,exh-clausal,,"[0, 1]",0,"[2, 0, 0]",,"[9, 2, 7]","[4, 7, 0]",0,3,10.105433333333334,,False,"[1, 0, 0]",1,False,1,0,filler,undefined,5553,,"[16, 7, 9]",1267,1,7 + 9 = ?
"[0, 1]",Some of the symbols are circles.,Some of the symbols are stars.,0,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[6, 7, 0]","[7, 5, 0]",1,0,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,3854,,"[1, 0, 3]",1276,1,Some of the symbols are clubs.
"[1, 0]",There is a club.,There is a tick.,2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[2, 0, 1]","[1, 4, 2]",0,1,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,4101,,"[8, 2, 1]",1321,1,There is a note.
"[1, 0]",There is a club.,"There is a square, but there is nothing besides a square.",2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[5, 4, 7]","[1, 7, 8]",0,2,10.105433333333334,,True,"[0, 0, 0]",0,True,0,0,response,undefined,7142,,"[3, 9, 2]",1641,0,"There is a spade, but there is nothing besides a spade."
"[0, 1]",Some of the symbols are stars.,"Some of the symbols are diamonds, but not all of them are diamonds.",0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[0, 3, 5]","[6, 5, 2]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,5893,,"[9, 4, 0]",1459,0,"Some of the symbols are triangles, but not all of them are triangles."
"[0, 1]",There are four ticks.,There are four triangles.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[9, 2, 1]","[2, 0, 7]",1,1,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,3307,,"[8, 2, 5]",1105,1,There are four notes.
"[0, 1]",There is a circle.,"There is a note, but there is nothing besides a note.",2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[8, 1, 0]","[7, 0, 1]",1,2,10.105433333333334,,True,"[0, 0, 0]",0,True,1,0,response,undefined,5478,,"[0, 6, 5]",2142,1,"There is a diamond, but there is nothing besides a diamond."
"[0, 1]",Some of the symbols are notes.,Some of the symbols are notes.,0,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[8, 0, 3]","[8, 5, 4]",1,1,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,5933,,"[0, 2, 8]",1608,0,Some of the symbols are diamonds.
"[0, 1]",There is a triangle.,There is a circle.,2,True,,exh-clausal,,"[1, 0]",0,"[0, 0, 0]",,"[7, 4, 5]","[9, 2, 1]",1,1,10.105433333333334,,True,"[0, 0, 0]",1,True,1,0,filler,undefined,4211,,"[5, 9, 4]",1712,0,There is a square.
"[1, 0]",There are four squares.,There are four spades.,1,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[3, 0, 2]","[5, 8, 4]",0,0,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,3852,,"[6, 0, 5]",1447,1,There are four stars.
"[1, 0]",There is a circle.,"There is a diamond, but there is nothing besides a diamond.",2,True,,exh-clausal,,"[0, 1]",1,"[0, 0, 0]",,"[0, 2, 3]","[7, 6, 1]",0,2,10.105433333333334,,True,"[0, 0, 0]",1,True,0,0,filler,undefined,5087,,"[0, 5, 2]",1515,1,"There is a diamond, but there is nothing besides a diamond."
