pOSymbols,slide_number,audio,btwncondition,goodPOChoice,pTwrongAnswer,pTChoice,Answer.time_in_minutes,primeType,pOwrongAnswer,responseSymbols,workerid,pTSentence,goodPTChoice,Answer.condition,trial_type,pOSentence,correctPChoices,response,image,primeStrength,responseSentence,correctPOChoice,correctPTChoice,slide_type,response_rt,primeOShuffle,pTSymbols,primeTShuffle,responseChoice,pOChoice,block_rt
"[3, 9, 6]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[9, 7, 2]",0,There is a circle.,1,undefined,filler,There is a spade.,True,,,0,There is a triangle.,True,True,,888,"[1, 0]","[7, 0, 1]","[0, 1]",1,0,3905
"[2, 6, 8]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[9, 2, 0]",0,There is only a circle.,0,undefined,filler,There is only a tick.,True,,,2,There is a triangle.,True,True,,903,"[1, 0]","[7, 3, 5]","[1, 0]",1,0,3160
"[6, 9, 2]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[8, 3, 6]",0,There is a tick.,1,undefined,filler,There is a star.,True,,,0,There is a note.,True,True,,847,"[0, 1]","[2, 6, 0]","[0, 1]",1,1,3184
"[2, 3, 6]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[0, 7, 1]",0,There are four diamonds.,1,undefined,filler,There are four ticks.,True,,,1,There are four diamonds.,True,True,,959,"[1, 0]","[0, 2, 8]","[0, 1]",1,0,3064
"[4, 1, 3]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[4, 0, 9]",0,There is only a note.,1,undefined,filler,There is only a heart.,True,,,2,There is a heart.,True,True,,904,"[0, 1]","[8, 3, 1]","[0, 1]",1,1,3713
"[1, 5, 8]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[9, 1, 0]",0,There is only a note.,1,undefined,response,There is only a club.,True,,,2,There is a triangle.,True,True,,944,"[1, 0]","[8, 7, 4]","[0, 1]",1,0,2912
"[7, 4, 2]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[4, 0, 8]",0,There are four ticks.,0,undefined,response,There are four circles.,True,,,0,There are four hearts.,True,True,,1143,"[1, 0]","[2, 9, 0]","[1, 0]",1,0,4688
"[6, 2, 1]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[4, 2, 8]",0,There are four notes.,0,undefined,filler,There are four stars.,True,,,1,There are four hearts.,True,True,,728,"[0, 1]","[8, 0, 5]","[1, 0]",1,1,3521
"[9, 6, 7]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[7, 0, 8]",0,There are four notes.,1,undefined,filler,There are four triangles.,True,,,1,There are four circles.,True,True,,895,"[1, 0]","[8, 1, 4]","[0, 1]",1,0,2791
"[1, 9, 3]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[7, 2, 6]",0,Only some of the symbols are notes.,0,undefined,response,Only some of the symbols are clubs.,True,,,2,Some of the symbols are circles.,True,True,,744,"[0, 1]","[8, 6, 5]","[1, 0]",1,1,3961
"[8, 2, 1]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[0, 4, 5]",0,Only some of the symbols are clubs.,0,undefined,response,Only some of the symbols are notes.,True,,,2,Some of the symbols are diamonds.,True,True,,1031,"[1, 0]","[1, 3, 7]","[1, 0]",1,0,6552
"[6, 1, 0]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[9, 8, 4]",0,Some of the symbols are spades.,1,undefined,filler,Some of the symbols are stars.,True,,,0,Some of the symbols are triangles.,True,True,,1272,"[1, 0]","[3, 5, 2]","[0, 1]",1,0,5201
"[15, 9, 6]",,,exh-only,0,"[1, 0, 0]",1,7.810616666666666,2,"[9, 0, 0]","[6, 8, 4]",0,0 + 5 = ?,1,undefined,response,9 + 6 = ?,True,,,3,There is a star.,True,True,,935,"[1, 0]","[5, 0, 5]","[0, 1]",1,0,4720
"[6, 1, 5]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[6, 1, 7]",0,There are only four stars.,0,undefined,filler,There are only four stars.,True,,,2,There are four stars.,True,True,,983,"[1, 0]","[6, 1, 0]","[1, 0]",1,0,3400
"[3, 0, 3]",,,exh-only,1,"[4, 0, 0]",1,7.810616666666666,0,"[9, 0, 0]","[4, 7, 8]",0,4 + 1 = ?,1,undefined,response,0 + 3 = ?,False,,,3,Some of the symbols are hearts.,False,True,,784,"[0, 1]","[5, 4, 1]","[0, 1]",1,0,3297
"[13, 4, 9]",,,exh-only,0,"[6, 0, 0]",1,7.810616666666666,2,"[9, 0, 0]","[0, 6, 7]",0,5 + 1 = ?,1,undefined,filler,4 + 9 = ?,False,,,3,There is a diamond.,False,True,,1047,"[1, 0]","[6, 5, 1]","[0, 1]",1,1,4632
"[6, 3, 8]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[4, 0, 3]",0,There is a square.,0,undefined,response,There is a star.,True,,,1,There is a heart.,True,True,,663,"[0, 1]","[5, 1, 4]","[1, 0]",1,1,3048
"[1, 4, 9]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[6, 1, 4]",0,Some of the symbols are stars.,1,undefined,filler,Some of the symbols are clubs.,True,,,0,Some of the symbols are stars.,True,True,,672,"[1, 0]","[6, 7, 8]","[0, 1]",1,0,3585
"[0, 2, 1]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[9, 1, 3]",0,There is a club.,0,undefined,response,There is a diamond.,True,,,1,There is a triangle.,True,True,,1072,"[1, 0]","[1, 5, 0]","[1, 0]",1,0,3288
"[7, 0, 4]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[7, 6, 3]",0,Some of the symbols are ticks.,0,undefined,filler,Some of the symbols are circles.,True,,,1,Some of the symbols are circles.,True,True,,1391,"[1, 0]","[2, 4, 9]","[1, 0]",1,0,3872
"[7, 1, 6]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[0, 9, 2]",0,There is a spade.,0,undefined,filler,There is a circle.,True,,,0,There is a diamond.,True,True,,783,"[1, 0]","[3, 9, 7]","[1, 0]",1,0,3256
"[2, 3, 9]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[6, 2, 1]",0,There are only four ticks.,1,undefined,filler,There are only four ticks.,True,,,2,There are four stars.,True,True,,648,"[0, 1]","[2, 5, 8]","[0, 1]",1,1,2921
"[8, 3, 9]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[6, 0, 9]",0,Some of the symbols are circles.,1,undefined,response,Some of the symbols are notes.,True,,,0,Some of the symbols are stars.,True,True,,591,"[1, 0]","[7, 1, 2]","[0, 1]",1,0,3120
"[3, 4, 0]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[9, 1, 6]",0,Some of the symbols are hearts.,0,undefined,filler,Some of the symbols are spades.,True,,,1,Some of the symbols are triangles.,True,True,,567,"[1, 0]","[4, 6, 1]","[1, 0]",1,0,3728
"[5, 4, 6]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[9, 5, 3]",0,Only some of the symbols are circles.,1,undefined,filler,Only some of the symbols are squares.,True,,,2,Some of the symbols are triangles.,True,True,,639,"[0, 1]","[7, 2, 5]","[0, 1]",1,1,3152
"[3, 4, 2]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[5, 6, 0]",0,Some of the symbols are stars.,0,undefined,response,Some of the symbols are spades.,True,,,0,Some of the symbols are squares.,True,True,,600,"[0, 1]","[6, 8, 5]","[1, 0]",1,1,3793
"[12, 3, 9]",,,exh-only,1,"[3, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[1, 3, 2]",0,6 + 8 = ?,0,undefined,filler,3 + 9 = ?,False,,,3,There are four clubs.,False,False,,687,"[0, 1]","[14, 6, 8]","[1, 0]",1,0,3176
"[0, 2, 4]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[7, 3, 2]",0,There are four clubs.,1,undefined,response,There are four diamonds.,True,,,1,There are four circles.,True,True,,679,"[0, 1]","[1, 5, 8]","[0, 1]",1,1,2776
"[1, 6, 9]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[2, 5, 8]",0,Some of the symbols are notes.,1,undefined,response,Some of the symbols are clubs.,True,,,1,Some of the symbols are ticks.,True,True,,680,"[0, 1]","[8, 1, 0]","[0, 1]",1,1,5945
"[4, 0, 7]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[0, 4, 8]",0,There is only a triangle.,0,undefined,filler,There is only a heart.,True,,,2,There is a diamond.,True,True,,711,"[0, 1]","[9, 1, 5]","[1, 0]",1,1,2704
"[5, 3, 1]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[0, 9, 8]",0,Only some of the symbols are clubs.,1,undefined,filler,Only some of the symbols are squares.,True,,,2,Some of the symbols are diamonds.,True,True,,567,"[0, 1]","[1, 0, 9]","[0, 1]",1,1,3256
"[8, 5, 2]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[5, 1, 2]",0,Only some of the symbols are stars.,0,undefined,response,Only some of the symbols are notes.,True,,,2,Some of the symbols are squares.,True,True,,535,"[0, 1]","[6, 7, 8]","[1, 0]",1,1,2784
"[8, 0, 8]",,,exh-only,1,"[5, 0, 0]",0,7.810616666666666,1,"[8, 0, 0]","[6, 0, 8]",0,9 + 4 = ?,0,undefined,filler,0 + 8 = ?,True,,,3,There are four stars.,True,True,,816,"[0, 1]","[13, 9, 4]","[1, 0]",1,1,3512
"[0, 1, 4]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[9, 4, 7]",0,There is a circle.,0,undefined,filler,There is a diamond.,True,,,0,There is a triangle.,True,True,,544,"[1, 0]","[7, 4, 5]","[1, 0]",1,0,2920
"[0, 4, 8]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[7, 0, 9]",0,There are only four clubs.,0,undefined,filler,There are only four diamonds.,True,,,2,There are four circles.,True,True,,567,"[1, 0]","[1, 7, 2]","[1, 0]",1,0,2528
"[7, 8, 0]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[9, 4, 6]",0,Only some of the symbols are hearts.,0,undefined,filler,Only some of the symbols are circles.,True,,,2,Some of the symbols are triangles.,True,True,,567,"[1, 0]","[4, 6, 9]","[1, 0]",1,0,3152
"[12, 9, 3]",,,exh-only,1,"[8, 0, 0]",0,7.810616666666666,0,"[4, 0, 0]","[5, 8, 3]",0,3 + 1 = ?,1,undefined,response,9 + 3 = ?,False,,,3,Some of the symbols are squares.,True,False,,704,"[0, 1]","[4, 3, 1]","[0, 1]",1,1,2752
"[0, 1, 3]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[1, 8, 0]",0,Some of the symbols are hearts.,0,undefined,filler,Some of the symbols are diamonds.,True,,,0,Some of the symbols are clubs.,True,True,,1151,"[0, 1]","[4, 1, 8]","[1, 0]",1,1,4816
"[7, 6, 2]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[1, 9, 6]",0,There is a heart.,1,undefined,response,There is a circle.,True,,,1,There is a club.,True,True,,1134,"[0, 1]","[4, 0, 5]","[0, 1]",1,1,3088
"[4, 9, 3]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[6, 9, 5]",0,Some of the symbols are circles.,1,undefined,response,Some of the symbols are hearts.,True,,,1,Some of the symbols are stars.,True,True,,808,"[1, 0]","[7, 4, 6]","[0, 1]",1,0,3289
"[6, 1, 5]",,,exh-only,1,"[2, 0, 0]",1,7.810616666666666,1,"[7, 0, 0]","[4, 2, 8]",0,9 + 2 = ?,0,undefined,response,1 + 5 = ?,False,,,3,There are four hearts.,False,False,,904,"[0, 1]","[11, 9, 2]","[1, 0]",1,0,2696
"[1, 5, 0]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[0, 2, 3]",0,There is only a note.,1,undefined,response,There is only a club.,True,,,2,There is a diamond.,True,True,,1047,"[1, 0]","[8, 3, 1]","[0, 1]",1,0,2864
"[6, 8, 2]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[6, 3, 7]",0,Some of the symbols are diamonds.,1,undefined,response,Some of the symbols are stars.,True,,,0,Some of the symbols are stars.,True,True,,791,"[1, 0]","[0, 1, 6]","[0, 1]",1,0,3016
"[3, 9, 7]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,0,"[0, 0, 0]","[9, 4, 2]",0,Only some of the symbols are spades.,1,undefined,filler,Only some of the symbols are spades.,True,,,2,Some of the symbols are triangles.,True,True,,568,"[0, 1]","[3, 8, 9]","[0, 1]",1,1,3969
"[4, 0, 3]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[6, 5, 2]",0,There are only four squares.,1,undefined,response,There are only four hearts.,True,,,2,There are four stars.,True,True,,1103,"[0, 1]","[5, 9, 7]","[0, 1]",1,1,2664
"[0, 7, 5]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[9, 8, 5]",0,There are four circles.,0,undefined,response,There are four diamonds.,True,,,0,There are four triangles.,True,True,,639,"[1, 0]","[7, 8, 0]","[1, 0]",1,0,3024
"[18, 9, 9]",,,exh-only,1,"[1, 0, 0]",1,7.810616666666666,1,"[4, 0, 0]","[5, 6, 8]",0,9 + 1 = ?,0,undefined,filler,9 + 9 = ?,False,,,3,There are four squares.,False,False,,591,"[0, 1]","[10, 9, 1]","[1, 0]",1,0,2440
"[8, 2, 6]",,,exh-only,1,"[5, 0, 0]",0,7.810616666666666,0,"[8, 0, 0]","[3, 6, 1]",0,2 + 1 = ?,1,undefined,filler,2 + 6 = ?,False,,,3,Some of the symbols are spades.,True,False,,1160,"[0, 1]","[3, 2, 1]","[0, 1]",1,1,3457
"[5, 4, 8]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[9, 7, 4]",0,There are four triangles.,0,undefined,filler,There are four squares.,True,,,0,There are four triangles.,True,True,,872,"[0, 1]","[9, 3, 2]","[1, 0]",1,1,2616
"[9, 2, 6]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[0, 7, 5]",0,There is a diamond.,1,undefined,filler,There is a triangle.,True,,,1,There is a diamond.,True,True,,991,"[0, 1]","[0, 6, 4]","[0, 1]",1,1,3504
"[4, 2, 2]",,,exh-only,0,"[2, 0, 0]",1,7.810616666666666,0,"[8, 0, 0]","[8, 2, 0]",0,5 + 2 = ?,1,undefined,filler,2 + 2 = ?,True,,,3,Some of the symbols are notes.,True,True,,1271,"[1, 0]","[7, 5, 2]","[0, 1]",1,0,3864
"[4, 2, 7]",,,exh-only,0,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[3, 2, 7]",0,There are four triangles.,1,undefined,response,There are four hearts.,True,,,0,There are four spades.,True,True,,664,"[1, 0]","[9, 2, 8]","[0, 1]",1,0,2745
"[2, 9, 5]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[8, 7, 1]",0,There are four notes.,1,undefined,filler,There are four ticks.,True,,,0,There are four notes.,True,True,,880,"[0, 1]","[8, 9, 1]","[0, 1]",1,1,2672
"[3, 6, 4]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[1, 2, 4]",0,There are four circles.,0,undefined,filler,There are four spades.,False,,,1,There are four clubs.,True,False,,727,"[0, 1]","[7, 4, 0]","[1, 0]",1,1,3376
"[1, 4, 6]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[6, 5, 2]",0,There is a club.,0,undefined,response,There is a club.,True,,,0,There is a star.,True,True,,1088,"[0, 1]","[1, 6, 4]","[1, 0]",1,1,4537
"[5, 2, 3]",,,exh-only,1,"[7, 0, 0]",1,7.810616666666666,1,"[7, 0, 0]","[3, 6, 2]",0,0 + 8 = ?,0,undefined,response,2 + 3 = ?,False,,,3,There are four spades.,False,False,,840,"[0, 1]","[8, 0, 8]","[1, 0]",1,0,2984
"[11, 4, 7]",,,exh-only,0,"[9, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[4, 1, 5]",0,9 + 5 = ?,1,undefined,response,4 + 7 = ?,False,,,3,There is a heart.,False,False,,775,"[1, 0]","[14, 9, 5]","[0, 1]",1,1,3312
"[9, 2, 8]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[0, 0, 0]","[1, 9, 6]",0,There is a diamond.,0,undefined,response,There is a triangle.,True,,,0,There is a club.,True,True,,815,"[0, 1]","[0, 3, 9]","[1, 0]",1,1,3616
"[5, 9, 1]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[0, 1, 4]",0,Some of the symbols are triangles.,0,undefined,filler,Some of the symbols are squares.,True,,,1,Some of the symbols are diamonds.,True,True,,784,"[1, 0]","[9, 0, 5]","[1, 0]",1,0,3433
"[12, 9, 3]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[2, 0, 0]","[1, 8, 0]",0,7 + 6 = ?,0,undefined,filler,9 + 3 = ?,False,,,3,Some of the symbols are clubs.,False,True,,783,"[1, 0]","[13, 7, 6]","[1, 0]",1,1,2960
"[7, 5, 1]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[3, 7, 6]",0,There are four ticks.,0,undefined,response,There are four circles.,True,,,0,There are four spades.,True,True,,1175,"[1, 0]","[2, 7, 5]","[1, 0]",1,0,2992
"[3, 7, 2]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[0, 6, 3]",0,Some of the symbols are triangles.,0,undefined,filler,Some of the symbols are spades.,True,,,1,Some of the symbols are diamonds.,True,True,,919,"[1, 0]","[9, 5, 2]","[1, 0]",1,0,3273
"[6, 0, 7]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[2, 6, 8]",0,There is only a triangle.,1,undefined,response,There is only a star.,True,,,2,There is a tick.,True,True,,991,"[0, 1]","[9, 5, 4]","[0, 1]",1,1,2864
"[9, 5, 1]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[4, 6, 7]",0,There are four circles.,0,undefined,response,There are four triangles.,True,,,1,There are four hearts.,True,True,,791,"[0, 1]","[7, 2, 6]","[1, 0]",1,1,2944
"[9, 0, 5]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,2,"[0, 0, 0]","[6, 4, 7]",0,There is a note.,1,undefined,response,There is a triangle.,True,,,1,There is a star.,True,True,,991,"[0, 1]","[8, 6, 1]","[0, 1]",1,1,3136
"[15, 8, 7]",,,exh-only,0,"[1, 0, 0]",0,7.810616666666666,0,"[2, 0, 0]","[5, 0, 1]",0,6 + 5 = ?,1,undefined,filler,8 + 7 = ?,False,,,3,Some of the symbols are squares.,False,False,,1559,"[1, 0]","[11, 6, 5]","[0, 1]",1,1,3696
"[15, 9, 6]",,,exh-only,1,"[0, 0, 0]",0,7.810616666666666,2,"[5, 0, 0]","[8, 9, 6]",0,9 + 4 = ?,0,undefined,filler,9 + 6 = ?,True,,,3,There is a note.,True,True,,863,"[0, 1]","[13, 9, 4]","[1, 0]",1,1,2936
"[14, 5, 9]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,2,"[6, 0, 0]","[4, 3, 7]",0,1 + 5 = ?,1,undefined,filler,5 + 9 = ?,False,,,3,There is a heart.,False,False,,824,"[1, 0]","[6, 1, 5]","[0, 1]",1,1,2977
"[3, 8, 9]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,0,"[0, 0, 0]","[6, 4, 1]",0,Some of the symbols are squares.,0,undefined,filler,Some of the symbols are spades.,True,,,0,Some of the symbols are stars.,True,True,,960,"[1, 0]","[5, 2, 6]","[1, 0]",1,0,3104
"[6, 2, 8]",,,exh-only,0,"[0, 0, 0]",0,7.810616666666666,1,"[0, 0, 0]","[5, 8, 0]",0,There are only four clubs.,0,undefined,response,There are only four stars.,True,,,2,There are four squares.,True,True,,887,"[1, 0]","[1, 5, 6]","[1, 0]",1,0,2776
"[0, 9, 7]",,,exh-only,1,"[0, 0, 0]",1,7.810616666666666,1,"[0, 0, 0]","[2, 5, 4]",0,There are four ticks.,1,undefined,filler,There are four diamonds.,True,,,0,There are four ticks.,True,True,,991,"[0, 1]","[2, 8, 0]","[0, 1]",1,1,3008
