btwncondition,correctPChoices,responseSentence,correctPTChoice,pOSentence,primeType,response,block_rt,slide_number,image,primeTShuffle,pTwrongAnswer,response_rt,pOChoice,responseSymbols,pOwrongAnswer,pTSymbols,audio,Answer.time_in_minutes,pOSymbols,primeStrength,primeOShuffle,pTChoice,goodPTChoice,Answer.condition,goodPOChoice,slide_type,pTSentence,responseChoice,trial_type,workerid,correctPOChoice
exh-only,True,Some of the symbols are notes.,True,Some of the symbols are notes.,0,,6791,,,"[1, 0]","[0, 0, 0]",2302,1,"[8, 7, 3]","[0, 0, 0]","[7, 0, 9]",,11.069633333333334,"[8, 2, 5]",1,"[0, 1]",0,0,undefined,1,,Some of the symbols are circles.,1,filler,0,True
exh-only,False,There are four stars.,False,1 + 0 = ?,1,,5392,,,"[0, 1]","[0, 0, 0]",1847,1,"[6, 1, 7]","[0, 0, 0]","[4, 4, 0]",,11.069633333333334,"[1, 1, 0]",3,"[1, 0]",0,1,undefined,0,,4 + 0 = ?,1,filler,0,False
exh-only,True,There are four triangles.,True,There are four notes.,1,,4215,,,"[1, 0]","[0, 0, 0]",1343,0,"[9, 3, 2]","[0, 0, 0]","[2, 8, 5]",,11.069633333333334,"[8, 9, 5]",0,"[1, 0]",0,0,undefined,0,,There are four ticks.,1,filler,0,True
exh-only,True,There is a tick.,True,There is a triangle.,2,,5183,,,"[1, 0]","[0, 0, 0]",1502,0,"[2, 6, 1]","[0, 0, 0]","[6, 0, 8]",,11.069633333333334,"[9, 1, 0]",0,"[1, 0]",0,0,undefined,0,,There is a star.,1,filler,0,True
exh-only,True,There is a heart.,True,There is a heart.,2,,5110,,,"[1, 0]","[0, 0, 0]",2830,0,"[4, 9, 3]","[0, 0, 0]","[2, 4, 5]",,11.069633333333334,"[4, 5, 0]",1,"[1, 0]",0,0,undefined,0,,There is a tick.,0,response,0,True
exh-only,True,Some of the symbols are spades.,True,Some of the symbols are spades.,0,,14321,,,"[1, 0]","[0, 0, 0]",2159,1,"[3, 6, 0]","[0, 0, 0]","[2, 3, 0]",,11.069633333333334,"[3, 0, 6]",0,"[0, 1]",0,0,undefined,1,,Some of the symbols are ticks.,1,response,0,True
exh-only,True,Some of the symbols are diamonds.,True,Some of the symbols are clubs.,0,,6200,,,"[0, 1]","[0, 0, 0]",1737,0,"[0, 2, 9]","[0, 0, 0]","[2, 8, 7]",,11.069633333333334,"[1, 6, 4]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are ticks.,1,filler,0,True
exh-only,True,Some of the symbols are squares.,True,Some of the symbols are notes.,0,,4607,,,"[0, 1]","[0, 0, 0]",1783,1,"[5, 8, 4]","[0, 0, 0]","[0, 3, 2]",,11.069633333333334,"[8, 0, 6]",0,"[0, 1]",1,1,undefined,1,,Some of the symbols are diamonds.,1,response,0,True
exh-only,True,Some of the symbols are stars.,True,8 + 6 = ?,0,,5568,,,"[1, 0]","[6, 0, 0]",1927,1,"[6, 2, 0]","[3, 0, 0]","[9, 6, 3]",,11.069633333333334,"[14, 8, 6]",3,"[0, 1]",0,0,undefined,1,,6 + 3 = ?,1,response,0,True
exh-only,True,There are four spades.,True,3 + 2 = ?,1,,5224,,,"[1, 0]","[0, 0, 0]",1695,1,"[3, 2, 7]","[9, 0, 0]","[9, 7, 2]",,11.069633333333334,"[5, 3, 2]",3,"[0, 1]",0,0,undefined,1,,7 + 2 = ?,1,filler,0,True
exh-only,True,Some of the symbols are stars.,True,Some of the symbols are hearts.,0,,4759,,,"[1, 0]","[0, 0, 0]",1527,1,"[6, 7, 1]","[0, 0, 0]","[0, 3, 6]",,11.069633333333334,"[4, 5, 9]",0,"[0, 1]",0,0,undefined,1,,Some of the symbols are diamonds.,1,filler,0,True
exh-only,True,There are four hearts.,True,There are four spades.,1,,5135,,,"[1, 0]","[0, 0, 0]",1230,1,"[4, 0, 8]","[0, 0, 0]","[6, 9, 5]",,11.069633333333334,"[3, 6, 8]",1,"[0, 1]",0,0,undefined,1,,There are four stars.,1,filler,0,True
exh-only,True,There are four stars.,True,There are only four notes.,1,,5296,,,"[0, 1]","[0, 0, 0]",2735,1,"[6, 2, 5]","[0, 0, 0]","[2, 3, 9]",,11.069633333333334,"[8, 7, 5]",2,"[0, 1]",1,1,undefined,1,,There are only four ticks.,1,response,0,True
exh-only,True,There is a note.,True,There is a square.,2,,8424,,,"[0, 1]","[0, 0, 0]",2392,1,"[8, 9, 0]","[0, 0, 0]","[5, 9, 4]",,11.069633333333334,"[5, 2, 9]",1,"[0, 1]",1,1,undefined,1,,There is a square.,1,response,0,True
exh-only,True,There is a spade.,True,There is a triangle.,2,,18984,,,"[0, 1]","[0, 0, 0]",1634,0,"[3, 8, 0]","[0, 0, 0]","[8, 3, 2]",,11.069633333333334,"[9, 5, 0]",0,"[1, 0]",1,1,undefined,0,,There is a note.,1,filler,0,True
exh-only,True,There are four ticks.,True,There are four diamonds.,1,,7112,,,"[0, 1]","[0, 0, 0]",4039,1,"[2, 4, 9]","[0, 0, 0]","[1, 6, 9]",,11.069633333333334,"[0, 4, 5]",0,"[0, 1]",1,1,undefined,1,,There are four clubs.,1,filler,0,True
exh-only,True,Some of the symbols are notes.,True,Only some of the symbols are notes.,0,,4592,,,"[0, 1]","[0, 0, 0]",1415,0,"[8, 6, 5]","[0, 0, 0]","[5, 6, 4]",,11.069633333333334,"[8, 4, 7]",2,"[1, 0]",1,1,undefined,0,,Only some of the symbols are squares.,1,filler,0,True
exh-only,True,There are four clubs.,True,There are four squares.,1,,3591,,,"[1, 0]","[0, 0, 0]",1472,0,"[1, 9, 8]","[0, 0, 0]","[7, 1, 9]",,11.069633333333334,"[5, 8, 3]",1,"[1, 0]",0,0,undefined,0,,There are four circles.,1,response,0,True
exh-only,True,There are four notes.,True,There are four squares.,1,,4654,,,"[0, 1]","[0, 0, 0]",1549,0,"[8, 4, 6]","[0, 0, 0]","[9, 5, 3]",,11.069633333333334,"[5, 4, 7]",0,"[1, 0]",1,1,undefined,0,,There are four triangles.,1,response,0,True
exh-only,False,There is a star.,False,0 + 3 = ?,2,,5016,,,"[1, 0]","[4, 0, 0]",1880,0,"[6, 5, 2]","[4, 0, 0]","[6, 5, 1]",,11.069633333333334,"[3, 0, 3]",3,"[0, 1]",1,0,undefined,1,,5 + 1 = ?,1,response,0,False
exh-only,False,Some of the symbols are hearts.,False,9 + 3 = ?,0,,18337,,,"[1, 0]","[3, 0, 0]",1799,0,"[4, 1, 9]","[3, 0, 0]","[6, 3, 3]",,11.069633333333334,"[12, 9, 3]",3,"[1, 0]",1,0,undefined,0,,3 + 3 = ?,1,response,0,True
exh-only,False,Some of the symbols are notes.,False,5 + 4 = ?,0,,9728,,,"[0, 1]","[4, 0, 0]",3128,1,"[8, 9, 0]","[2, 0, 0]","[11, 4, 7]",,11.069633333333334,"[9, 5, 4]",3,"[0, 1]",0,1,undefined,1,,4 + 7 = ?,1,filler,0,True
exh-only,True,There is a heart.,True,There is only a star.,2,,12752,,,"[1, 0]","[0, 0, 0]",1663,1,"[4, 1, 5]","[0, 0, 0]","[4, 6, 8]",,11.069633333333334,"[6, 9, 4]",2,"[0, 1]",0,0,undefined,1,,There is only a heart.,1,response,0,True
exh-only,True,Some of the symbols are ticks.,True,Only some of the symbols are ticks.,0,,6335,,,"[1, 0]","[0, 0, 0]",2374,1,"[2, 7, 5]","[0, 0, 0]","[8, 9, 5]",,11.069633333333334,"[2, 3, 6]",2,"[0, 1]",0,0,undefined,1,,Only some of the symbols are notes.,1,response,0,True
exh-only,True,There are four circles.,True,There are four spades.,1,,3720,,,"[1, 0]","[0, 0, 0]",1263,1,"[7, 1, 3]","[0, 0, 0]","[1, 8, 7]",,11.069633333333334,"[3, 9, 7]",1,"[0, 1]",0,0,undefined,1,,There are four clubs.,1,filler,0,True
exh-only,True,There are four ticks.,True,There are four diamonds.,1,,4481,,,"[1, 0]","[0, 0, 0]",1295,0,"[2, 7, 0]","[0, 0, 0]","[7, 1, 5]",,11.069633333333334,"[0, 5, 4]",0,"[1, 0]",0,0,undefined,0,,There are four circles.,1,response,0,True
exh-only,True,There is a diamond.,True,There is a circle.,2,,4271,,,"[0, 1]","[0, 0, 0]",1320,0,"[0, 7, 2]","[0, 0, 0]","[0, 6, 9]",,11.069633333333334,"[7, 8, 6]",1,"[1, 0]",1,1,undefined,0,,There is a diamond.,1,filler,0,True
exh-only,False,There are four clubs.,True,9 + 9 = ?,1,,3904,,,"[1, 0]","[1, 0, 0]",1326,1,"[1, 2, 8]","[5, 0, 0]","[4, 3, 1]",,11.069633333333334,"[18, 9, 9]",3,"[1, 0]",0,0,undefined,0,,3 + 1 = ?,1,response,0,False
exh-only,True,There are four spades.,True,There are only four ticks.,1,,3785,,,"[0, 1]","[0, 0, 0]",1495,1,"[3, 4, 0]","[0, 0, 0]","[2, 0, 8]",,11.069633333333334,"[2, 9, 6]",2,"[0, 1]",1,1,undefined,1,,There are only four ticks.,1,response,0,True
exh-only,True,There is a tick.,True,There is only a circle.,2,,4215,,,"[1, 0]","[0, 0, 0]",1782,1,"[2, 0, 1]","[0, 0, 0]","[3, 2, 6]",,11.069633333333334,"[7, 4, 3]",2,"[0, 1]",0,0,undefined,1,,There is only a spade.,1,filler,0,True
exh-only,True,There is a heart.,True,There is a spade.,2,,15071,,,"[0, 1]","[0, 0, 0]",11462,1,"[4, 3, 1]","[0, 0, 0]","[3, 0, 9]",,11.069633333333334,"[3, 5, 2]",0,"[0, 1]",1,1,undefined,1,,There is a spade.,1,response,0,True
exh-only,False,There is a diamond.,False,9 + 5 = ?,2,,4895,,,"[1, 0]","[6, 0, 0]",2093,0,"[0, 3, 1]","[9, 0, 0]","[1, 0, 1]",,11.069633333333334,"[14, 9, 5]",3,"[1, 0]",1,0,undefined,0,,0 + 1 = ?,1,filler,0,True
exh-only,True,There is a tick.,True,4 + 4 = ?,2,,5689,,,"[1, 0]","[1, 0, 0]",1695,1,"[2, 4, 6]","[6, 0, 0]","[17, 9, 8]",,11.069633333333334,"[8, 4, 4]",3,"[0, 1]",0,0,undefined,1,,9 + 8 = ?,1,response,0,True
exh-only,False,There is a note.,False,1 + 9 = ?,2,,5160,,,"[1, 0]","[2, 0, 0]",1768,0,"[8, 6, 2]","[7, 0, 0]","[11, 6, 5]",,11.069633333333334,"[10, 1, 9]",3,"[1, 0]",1,0,undefined,0,,6 + 5 = ?,1,filler,0,True
exh-only,True,There are four triangles.,True,There are only four stars.,1,,3591,,,"[1, 0]","[0, 0, 0]",1367,0,"[9, 8, 5]","[0, 0, 0]","[9, 5, 2]",,11.069633333333334,"[6, 9, 8]",2,"[1, 0]",0,0,undefined,0,,There are only four triangles.,1,response,0,True
exh-only,True,There are four triangles.,True,There are four ticks.,1,,2983,,,"[1, 0]","[0, 0, 0]",1102,0,"[9, 4, 6]","[0, 0, 0]","[7, 1, 0]",,11.069633333333334,"[2, 9, 1]",1,"[1, 0]",0,0,undefined,0,,There are four circles.,1,response,0,True
exh-only,True,Some of the symbols are diamonds.,True,Some of the symbols are squares.,0,,4703,,,"[1, 0]","[0, 0, 0]",1949,1,"[0, 3, 5]","[0, 0, 0]","[7, 2, 9]",,11.069633333333334,"[5, 0, 6]",1,"[0, 1]",0,0,undefined,1,,Some of the symbols are circles.,1,filler,0,True
exh-only,True,Some of the symbols are circles.,True,Some of the symbols are stars.,0,,4697,,,"[0, 1]","[0, 0, 0]",1223,1,"[7, 6, 2]","[0, 0, 0]","[4, 6, 3]",,11.069633333333334,"[6, 5, 3]",1,"[0, 1]",1,1,undefined,1,,Some of the symbols are hearts.,1,response,0,True
exh-only,True,Some of the symbols are hearts.,True,Only some of the symbols are spades.,0,,20823,,,"[0, 1]","[0, 0, 0]",1407,1,"[4, 6, 9]","[0, 0, 0]","[9, 6, 5]",,11.069633333333334,"[3, 0, 2]",2,"[0, 1]",1,1,undefined,1,,Only some of the symbols are triangles.,1,filler,0,True
exh-only,True,There are four clubs.,True,There are four notes.,1,,3415,,,"[0, 1]","[0, 0, 0]",1446,1,"[1, 3, 7]","[0, 0, 0]","[5, 3, 0]",,11.069633333333334,"[8, 2, 5]",1,"[0, 1]",1,1,undefined,1,,There are four squares.,1,filler,0,True
exh-only,True,There is a triangle.,True,There is only a heart.,2,,3584,,,"[1, 0]","[0, 0, 0]",1422,0,"[9, 2, 1]","[0, 0, 0]","[2, 9, 5]",,11.069633333333334,"[4, 8, 3]",2,"[1, 0]",0,0,undefined,0,,There is only a tick.,1,filler,0,True
exh-only,True,There are four hearts.,True,There are only four notes.,1,,3600,,,"[0, 1]","[0, 0, 0]",1135,0,"[4, 5, 3]","[0, 0, 0]","[7, 4, 5]",,11.069633333333334,"[8, 1, 5]",2,"[1, 0]",1,1,undefined,0,,There are only four circles.,1,filler,0,True
exh-only,True,Some of the symbols are circles.,True,Some of the symbols are hearts.,0,,5272,,,"[0, 1]","[0, 0, 0]",1895,0,"[7, 9, 6]","[0, 0, 0]","[0, 6, 5]",,11.069633333333334,"[4, 0, 6]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are diamonds.,1,response,0,True
exh-only,True,There is a square.,True,There is only a spade.,2,,4064,,,"[1, 0]","[0, 0, 0]",1727,1,"[5, 3, 1]","[0, 0, 0]","[0, 6, 1]",,11.069633333333334,"[3, 7, 9]",2,"[0, 1]",0,0,undefined,1,,There is only a diamond.,1,response,0,True
exh-only,False,Some of the symbols are clubs.,False,7 + 5 = ?,0,,4783,,,"[0, 1]","[6, 0, 0]",2071,1,"[1, 9, 3]","[5, 0, 0]","[13, 8, 5]",,11.069633333333334,"[12, 7, 5]",3,"[0, 1]",0,1,undefined,1,,8 + 5 = ?,1,response,0,True
exh-only,True,There are four spades.,True,There are only four hearts.,1,,3144,,,"[1, 0]","[0, 0, 0]",1038,0,"[3, 6, 7]","[0, 0, 0]","[2, 5, 3]",,11.069633333333334,"[4, 8, 7]",2,"[1, 0]",0,0,undefined,0,,There are only four ticks.,1,filler,0,True
exh-only,True,Some of the symbols are notes.,True,Some of the symbols are clubs.,0,,3904,,,"[0, 1]","[0, 0, 0]",1599,0,"[8, 4, 2]","[0, 0, 0]","[7, 5, 0]",,11.069633333333334,"[1, 4, 2]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are circles.,1,response,0,True
exh-only,True,There is a heart.,True,There is only a square.,2,,3223,,,"[1, 0]","[0, 0, 0]",1070,1,"[4, 8, 2]","[0, 0, 0]","[2, 5, 1]",,11.069633333333334,"[5, 7, 9]",2,"[0, 1]",0,0,undefined,1,,There is only a tick.,1,response,0,True
exh-only,True,There are four ticks.,True,9 + 4 = ?,1,,5128,,,"[1, 0]","[2, 0, 0]",2615,1,"[2, 9, 3]","[6, 0, 0]","[7, 5, 2]",,11.069633333333334,"[13, 9, 4]",3,"[0, 1]",0,0,undefined,1,,5 + 2 = ?,1,response,0,True
exh-only,True,There are four notes.,True,There are only four squares.,1,,7408,,,"[0, 1]","[0, 0, 0]",4238,0,"[8, 0, 7]","[0, 0, 0]","[3, 0, 6]",,11.069633333333334,"[5, 2, 3]",2,"[1, 0]",1,1,undefined,0,,There are only four spades.,1,filler,0,True
exh-only,True,Some of the symbols are triangles.,True,Only some of the symbols are diamonds.,0,,6808,,,"[0, 1]","[0, 0, 0]",2550,1,"[9, 5, 8]","[0, 0, 0]","[4, 8, 3]",,11.069633333333334,"[0, 6, 7]",2,"[0, 1]",1,1,undefined,1,,Only some of the symbols are hearts.,1,response,0,True
exh-only,True,There are four triangles.,True,3 + 8 = ?,1,,3799,,,"[0, 1]","[9, 0, 0]",1214,0,"[9, 8, 1]","[0, 0, 0]","[12, 9, 3]",,11.069633333333334,"[11, 3, 8]",3,"[1, 0]",1,1,undefined,0,,9 + 3 = ?,1,response,0,True
exh-only,True,There are four ticks.,True,There are four triangles.,1,,3073,,,"[0, 1]","[0, 0, 0]",1175,0,"[2, 0, 6]","[0, 0, 0]","[5, 0, 2]",,11.069633333333334,"[9, 8, 0]",1,"[1, 0]",1,1,undefined,0,,There are four squares.,1,response,0,True
exh-only,True,There is a tick.,True,There is a heart.,2,,3958,,,"[1, 0]","[0, 0, 0]",1645,0,"[2, 9, 3]","[0, 0, 0]","[7, 9, 2]",,11.069633333333334,"[4, 2, 5]",1,"[1, 0]",0,0,undefined,0,,There is a circle.,1,filler,0,True
exh-only,True,There are four ticks.,True,There are four spades.,1,,3625,,,"[0, 1]","[0, 0, 0]",1063,1,"[2, 7, 0]","[0, 0, 0]","[3, 6, 2]",,11.069633333333334,"[3, 1, 5]",0,"[0, 1]",1,1,undefined,1,,There are four spades.,1,response,0,True
exh-only,True,There is a spade.,True,There is a star.,2,,3208,,,"[0, 1]","[0, 0, 0]",927,0,"[3, 2, 8]","[0, 0, 0]","[2, 5, 1]",,11.069633333333334,"[6, 3, 4]",1,"[1, 0]",1,1,undefined,0,,There is a tick.,1,filler,0,True
exh-only,True,Some of the symbols are stars.,True,Some of the symbols are squares.,0,,4960,,,"[0, 1]","[0, 0, 0]",1575,0,"[6, 0, 2]","[0, 0, 0]","[8, 9, 2]",,11.069633333333334,"[5, 2, 9]",0,"[1, 0]",1,1,undefined,0,,Some of the symbols are notes.,1,filler,0,True
exh-only,True,Some of the symbols are stars.,True,Only some of the symbols are hearts.,0,,4695,,,"[0, 1]","[0, 0, 0]",1582,0,"[6, 7, 2]","[0, 0, 0]","[5, 8, 9]",,11.069633333333334,"[4, 6, 5]",2,"[1, 0]",1,1,undefined,0,,Only some of the symbols are squares.,1,filler,0,True
exh-only,True,There are four diamonds.,True,There are four hearts.,1,,3471,,,"[0, 1]","[0, 0, 0]",1055,1,"[0, 2, 3]","[0, 0, 0]","[5, 1, 2]",,11.069633333333334,"[4, 7, 9]",0,"[0, 1]",1,1,undefined,1,,There are four squares.,1,filler,0,True
exh-only,True,There are four ticks.,True,8 + 4 = ?,1,,3776,,,"[0, 1]","[3, 0, 0]",1703,0,"[2, 7, 6]","[6, 0, 0]","[14, 6, 8]",,11.069633333333334,"[12, 8, 4]",3,"[1, 0]",1,1,undefined,0,,6 + 8 = ?,0,response,0,True
exh-only,True,Some of the symbols are circles.,True,Some of the symbols are stars.,0,,3736,,,"[0, 1]","[0, 0, 0]",1477,0,"[7, 3, 0]","[0, 0, 0]","[2, 7, 6]",,11.069633333333334,"[6, 7, 8]",1,"[1, 0]",1,1,undefined,0,,Some of the symbols are ticks.,1,response,0,True
exh-only,True,Some of the symbols are circles.,True,Some of the symbols are hearts.,0,,4697,,,"[0, 1]","[0, 0, 0]",1367,1,"[7, 1, 9]","[0, 0, 0]","[0, 1, 2]",,11.069633333333334,"[4, 2, 1]",0,"[0, 1]",1,1,undefined,1,,Some of the symbols are diamonds.,1,response,0,True
exh-only,True,There is a triangle.,True,There is a club.,2,,5807,,,"[1, 0]","[0, 0, 0]",1463,0,"[9, 5, 1]","[0, 0, 0]","[4, 6, 1]",,11.069633333333334,"[1, 3, 5]",0,"[1, 0]",0,0,undefined,0,,There is a heart.,1,filler,0,True
exh-only,True,There are four squares.,True,There are only four stars.,1,,3592,,,"[0, 1]","[0, 0, 0]",1190,0,"[5, 6, 2]","[0, 0, 0]","[7, 9, 1]",,11.069633333333334,"[6, 9, 3]",2,"[1, 0]",1,1,undefined,0,,There are only four circles.,1,filler,0,True
exh-only,True,There are four squares.,True,There are only four circles.,1,,5455,,,"[0, 1]","[0, 0, 0]",1767,0,"[5, 3, 6]","[0, 0, 0]","[7, 0, 8]",,11.069633333333334,"[7, 2, 6]",2,"[1, 0]",1,1,undefined,0,,There are only four circles.,1,response,0,True
exh-only,True,Some of the symbols are diamonds.,True,Some of the symbols are triangles.,0,,6432,,,"[0, 1]","[0, 0, 0]",1464,1,"[0, 7, 3]","[0, 0, 0]","[8, 1, 7]",,11.069633333333334,"[9, 2, 4]",0,"[0, 1]",1,1,undefined,1,,Some of the symbols are notes.,1,filler,0,True
exh-only,False,There is a heart.,True,4 + 4 = ?,2,,3975,,,"[0, 1]","[7, 0, 0]",1239,0,"[4, 6, 0]","[3, 0, 0]","[10, 9, 1]",,11.069633333333334,"[8, 4, 4]",3,"[0, 1]",1,1,undefined,1,,9 + 1 = ?,1,filler,0,False
exh-only,True,Some of the symbols are clubs.,True,Some of the symbols are circles.,0,,5232,,,"[1, 0]","[0, 0, 0]",1048,0,"[1, 6, 2]","[0, 0, 0]","[7, 3, 9]",,11.069633333333334,"[7, 4, 5]",0,"[1, 0]",0,0,undefined,0,,Some of the symbols are circles.,1,filler,0,True
exh-only,False,There are four hearts.,True,1 + 2 = ?,1,,3359,,,"[1, 0]","[2, 0, 0]",1207,1,"[4, 3, 9]","[5, 0, 0]","[10, 7, 3]",,11.069633333333334,"[3, 1, 2]",3,"[1, 0]",0,0,undefined,0,,7 + 3 = ?,1,filler,0,False
exh-only,False,Some of the symbols are squares.,False,6 + 1 = ?,0,,3897,,,"[1, 0]","[9, 0, 0]",1383,0,"[5, 3, 0]","[1, 0, 0]","[5, 4, 1]",,11.069633333333334,"[7, 6, 1]",3,"[0, 1]",1,0,undefined,1,,4 + 1 = ?,0,response,0,False
exh-only,True,There is a spade.,True,There is a club.,2,,5344,,,"[0, 1]","[0, 0, 0]",1807,0,"[3, 4, 8]","[0, 0, 0]","[3, 4, 7]",,11.069633333333334,"[1, 2, 5]",0,"[1, 0]",1,1,undefined,0,,There is a spade.,1,response,0,True
exh-only,False,There is a tick.,True,9 + 9 = ?,2,,4551,,,"[1, 0]","[8, 0, 0]",1966,1,"[2, 8, 4]","[4, 0, 0]","[7, 0, 7]",,11.069633333333334,"[18, 9, 9]",3,"[1, 0]",0,0,undefined,0,,0 + 7 = ?,0,response,0,False
exh-only,True,There is a square.,True,There is only a note.,2,,6239,,,"[1, 0]","[0, 0, 0]",1942,0,"[5, 0, 2]","[0, 0, 0]","[5, 6, 0]",,11.069633333333334,"[8, 0, 1]",2,"[1, 0]",0,0,undefined,0,,There is only a square.,1,response,0,True
exh-only,True,There are four diamonds.,True,There are four ticks.,1,,4048,,,"[1, 0]","[0, 0, 0]",1270,1,"[0, 4, 7]","[0, 0, 0]","[4, 6, 0]",,11.069633333333334,"[2, 4, 8]",1,"[0, 1]",0,0,undefined,1,,There are four hearts.,1,filler,0,True
exh-only,True,Some of the symbols are diamonds.,True,6 + 4 = ?,0,,4872,,,"[1, 0]","[4, 0, 0]",1791,1,"[0, 1, 5]","[3, 0, 0]","[12, 3, 9]",,11.069633333333334,"[10, 6, 4]",3,"[0, 1]",0,0,undefined,1,,3 + 9 = ?,1,filler,0,True
exh-only,True,There is a square.,True,There is a spade.,2,,6488,,,"[1, 0]","[0, 0, 0]",1654,0,"[5, 9, 6]","[0, 0, 0]","[1, 8, 6]",,11.069633333333334,"[3, 8, 1]",0,"[1, 0]",0,0,undefined,0,,There is a club.,1,response,0,True
exh-only,False,Some of the symbols are diamonds.,False,9 + 4 = ?,0,,4408,,,"[1, 0]","[1, 0, 0]",1478,0,"[0, 2, 4]","[7, 0, 0]","[2, 0, 2]",,11.069633333333334,"[13, 9, 4]",3,"[0, 1]",1,0,undefined,1,,0 + 2 = ?,1,filler,0,False
exh-only,True,There is a tick.,True,0 + 9 = ?,2,,4200,,,"[0, 1]","[1, 0, 0]",1536,0,"[2, 9, 3]","[6, 0, 0]","[11, 9, 2]",,11.069633333333334,"[9, 0, 9]",3,"[1, 0]",1,1,undefined,0,,9 + 2 = ?,1,response,0,True
exh-only,True,Some of the symbols are hearts.,True,Some of the symbols are ticks.,0,,4038,,,"[0, 1]","[0, 0, 0]",1406,1,"[4, 0, 1]","[0, 0, 0]","[3, 5, 0]",,11.069633333333334,"[2, 1, 6]",1,"[0, 1]",1,1,undefined,1,,Some of the symbols are spades.,1,filler,0,True
