image,primeOShuffle,btwncondition,audio,goodPTChoice,pOwrongAnswer,responseChoice,correctPTChoice,primeTShuffle,pTChoice,correctPChoices,Answer.condition,response_rt,pOChoice,Answer.time_in_minutes,pTSymbols,goodPOChoice,pOSentence,responseSentence,primeStrength,pTwrongAnswer,slide_number,correctPOChoice,trial_type,slide_type,response,primeType,pOSymbols,workerid,responseSymbols,block_rt,pTSentence
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,False,"[0, 1]",0,False,undefined,1449,1,5.9799,"[3, 2, 8]",1,There is a diamond.,There is a note.,0,"[0, 0, 0]",,True,response,,,2,"[0, 4, 2]",0,"[8, 7, 2]",4158,There is a spade.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1302,1,5.9799,"[4, 1, 9]",1,There is a diamond.,There is a star.,0,"[0, 0, 0]",,True,filler,,,2,"[0, 7, 3]",0,"[6, 5, 8]",3539,There is a heart.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,839,0,5.9799,"[9, 8, 1]",0,There are four squares.,There are four notes.,0,"[0, 0, 0]",,True,filler,,,1,"[5, 7, 2]",0,"[8, 7, 9]",2875,There are four triangles.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,False,"[1, 0]",1,False,undefined,1863,0,5.9799,"[3, 1, 7]",0,Some of the symbols are notes.,Some of the symbols are hearts.,0,"[0, 0, 0]",,True,response,,,0,"[8, 7, 4]",0,"[4, 3, 1]",4698,Some of the symbols are spades.
,"[1, 0]",exh-only,,0,"[3, 0, 0]",1,True,"[1, 0]",0,False,undefined,878,1,5.9799,"[7, 7, 0]",0,4 + 8 = ?,There are four triangles.,3,"[1, 0, 0]",,False,filler,,,1,"[12, 4, 8]",0,"[9, 7, 0]",2986,7 + 0 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1099,0,5.9799,"[9, 2, 0]",0,There are four diamonds.,There are four hearts.,0,"[0, 0, 0]",,True,response,,,1,"[0, 4, 5]",0,"[4, 3, 2]",2864,There are four triangles.
,"[0, 1]",exh-only,,0,"[6, 0, 0]",0,False,"[1, 0]",1,False,undefined,1150,0,5.9799,"[9, 7, 2]",1,3 + 9 = ?,There is a triangle.,3,"[8, 0, 0]",,False,response,,,2,"[12, 3, 9]",0,"[9, 4, 8]",4135,7 + 2 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,False,"[1, 0]",1,False,undefined,1476,0,5.9799,"[1, 9, 8]",1,There is a spade.,There is a circle.,1,"[0, 0, 0]",,False,filler,,,2,"[3, 9, 4]",0,"[7, 5, 4]",3824,There is a club.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1194,0,5.9799,"[7, 6, 8]",0,Some of the symbols are hearts.,Some of the symbols are circles.,1,"[0, 0, 0]",,True,response,,,0,"[4, 6, 5]",0,"[7, 0, 5]",3383,Some of the symbols are circles.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,815,0,5.9799,"[2, 3, 5]",0,There are four stars.,There are four ticks.,0,"[0, 0, 0]",,True,filler,,,1,"[6, 4, 9]",0,"[2, 5, 0]",2682,There are four ticks.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,851,1,5.9799,"[7, 5, 2]",1,Some of the symbols are triangles.,Some of the symbols are hearts.,0,"[0, 0, 0]",,True,filler,,,0,"[9, 1, 3]",0,"[4, 9, 8]",3743,Some of the symbols are circles.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,False,undefined,925,0,5.9799,"[5, 0, 3]",1,There are only four ticks.,There are four triangles.,2,"[0, 0, 0]",,False,filler,,,1,"[2, 3, 4]",0,"[9, 5, 3]",2856,There are only four squares.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,False,"[0, 1]",0,False,undefined,1496,1,5.9799,"[7, 6, 1]",1,7 + 8 = ?,Some of the symbols are stars.,3,"[5, 0, 0]",,True,response,,,0,"[15, 7, 8]",0,"[6, 2, 8]",3577,6 + 1 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1830,1,5.9799,"[7, 8, 5]",1,Only some of the symbols are triangles.,Some of the symbols are hearts.,2,"[0, 0, 0]",,True,response,,,0,"[9, 0, 4]",0,"[4, 5, 7]",4330,Only some of the symbols are circles.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1032,1,5.9799,"[4, 6, 5]",1,There is only a club.,There is a circle.,2,"[0, 0, 0]",,True,filler,,,2,"[1, 0, 8]",0,"[7, 2, 4]",2871,There is only a heart.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1071,0,5.9799,"[1, 2, 7]",0,Some of the symbols are hearts.,Some of the symbols are notes.,0,"[0, 0, 0]",,True,filler,,,0,"[4, 5, 2]",0,"[8, 5, 3]",3712,Some of the symbols are clubs.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1338,0,5.9799,"[1, 5, 4]",0,There are only four hearts.,There are four squares.,2,"[0, 0, 0]",,True,response,,,1,"[4, 9, 8]",0,"[5, 7, 3]",3224,There are only four clubs.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1024,1,5.9799,"[6, 1, 8]",1,Only some of the symbols are clubs.,Some of the symbols are circles.,2,"[0, 0, 0]",,True,filler,,,0,"[1, 3, 4]",0,"[7, 5, 2]",3938,Only some of the symbols are stars.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1295,0,5.9799,"[8, 5, 0]",0,Only some of the symbols are ticks.,Some of the symbols are stars.,2,"[0, 0, 0]",,True,filler,,,0,"[2, 7, 3]",0,"[6, 3, 0]",3856,Only some of the symbols are notes.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1335,1,5.9799,"[8, 9, 1]",1,There are four clubs.,There are four notes.,1,"[0, 0, 0]",,True,response,,,1,"[1, 9, 4]",0,"[8, 0, 7]",2956,There are four notes.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,1509,0,5.9799,"[1, 3, 0]",0,There is only a square.,There is a spade.,2,"[0, 0, 0]",,True,response,,,2,"[5, 4, 1]",0,"[3, 2, 0]",3234,There is only a club.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,814,0,5.9799,"[0, 5, 2]",0,There are only four triangles.,There are four spades.,2,"[0, 0, 0]",,True,filler,,,1,"[9, 0, 1]",0,"[3, 0, 2]",2490,There are only four diamonds.
,"[0, 1]",exh-only,,0,"[4, 0, 0]",0,True,"[1, 0]",0,True,undefined,1131,1,5.9799,"[9, 3, 6]",1,3 + 7 = ?,There is a star.,3,"[8, 0, 0]",,True,response,,,2,"[10, 3, 7]",0,"[6, 9, 2]",3574,3 + 6 = ?
,"[1, 0]",exh-only,,0,"[6, 0, 0]",1,False,"[1, 0]",1,False,undefined,1190,0,5.9799,"[12, 9, 3]",0,2 + 0 = ?,There are four ticks.,3,"[0, 0, 0]",,True,response,,,1,"[2, 2, 0]",0,"[2, 7, 3]",3507,9 + 3 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1322,0,5.9799,"[5, 4, 8]",0,Some of the symbols are circles.,Some of the symbols are diamonds.,0,"[0, 0, 0]",,True,filler,,,0,"[7, 8, 1]",0,"[0, 6, 7]",3892,Some of the symbols are squares.
,"[0, 1]",exh-only,,0,"[4, 0, 0]",1,False,"[1, 0]",1,False,undefined,1762,0,5.9799,"[6, 3, 3]",1,6 + 1 = ?,There are four spades.,3,"[3, 0, 0]",,False,response,,,1,"[7, 6, 1]",0,"[3, 9, 4]",3860,3 + 3 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,False,"[1, 0]",1,False,undefined,1126,0,5.9799,"[1, 1, 0]",1,5 + 9 = ?,There is a star.,3,"[9, 0, 0]",,False,filler,,,2,"[14, 5, 9]",0,"[6, 9, 2]",3135,1 + 0 = ?
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,1230,1,5.9799,"[3, 9, 6]",1,There is only a note.,There is a heart.,2,"[0, 0, 0]",,True,response,,,2,"[8, 6, 5]",0,"[4, 6, 1]",3241,There is only a spade.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1050,0,5.9799,"[9, 2, 7]",0,Some of the symbols are squares.,Some of the symbols are diamonds.,1,"[0, 0, 0]",,True,filler,,,0,"[5, 6, 1]",0,"[0, 3, 2]",2954,Some of the symbols are triangles.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,1208,1,5.9799,"[7, 0, 2]",1,There are four spades.,There are four diamonds.,0,"[0, 0, 0]",,True,response,,,1,"[3, 0, 9]",0,"[0, 5, 4]",3019,There are four circles.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1115,0,5.9799,"[4, 8, 7]",0,Only some of the symbols are squares.,Some of the symbols are ticks.,2,"[0, 0, 0]",,True,filler,,,0,"[5, 9, 7]",0,"[2, 6, 9]",3406,Only some of the symbols are hearts.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,917,1,5.9799,"[8, 6, 2]",1,There are four diamonds.,There are four notes.,1,"[0, 0, 0]",,True,filler,,,1,"[0, 3, 8]",0,"[8, 5, 6]",3168,There are four notes.
,"[0, 1]",exh-only,,1,"[1, 0, 0]",1,True,"[0, 1]",1,False,undefined,1009,0,5.9799,"[8, 7, 1]",1,6 + 5 = ?,Some of the symbols are hearts.,3,"[7, 0, 0]",,False,response,,,0,"[11, 6, 5]",0,"[4, 3, 0]",4280,7 + 1 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1035,0,5.9799,"[2, 0, 6]",0,Some of the symbols are clubs.,Some of the symbols are hearts.,1,"[0, 0, 0]",,True,response,,,0,"[1, 0, 9]",0,"[4, 3, 8]",3838,Some of the symbols are ticks.
,"[0, 1]",exh-only,,1,"[4, 0, 0]",0,True,"[0, 1]",1,False,undefined,1152,0,5.9799,"[2, 0, 2]",1,9 + 8 = ?,There is a heart.,3,"[3, 0, 0]",,False,response,,,2,"[17, 9, 8]",0,"[4, 7, 6]",3046,0 + 2 = ?
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,1138,0,5.9799,"[9, 7, 8]",0,There is only a heart.,There is a triangle.,2,"[0, 0, 0]",,True,response,,,2,"[4, 5, 6]",0,"[9, 7, 2]",3007,There is only a triangle.
,"[0, 1]",exh-only,,1,"[7, 0, 0]",1,False,"[0, 1]",0,False,undefined,940,1,5.9799,"[10, 4, 6]",1,7 + 6 = ?,Some of the symbols are circles.,3,"[3, 0, 0]",,True,filler,,,0,"[13, 7, 6]",0,"[7, 4, 1]",2871,4 + 6 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,845,1,5.9799,"[7, 3, 2]",1,There are four diamonds.,There are four diamonds.,1,"[0, 0, 0]",,True,response,,,1,"[0, 2, 1]",0,"[0, 6, 7]",2500,There are four circles.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,False,"[1, 0]",1,False,undefined,784,0,5.9799,"[1, 7, 3]",1,There is a club.,There is a tick.,1,"[0, 0, 0]",,False,response,,,2,"[1, 4, 5]",0,"[2, 3, 0]",3624,There is a club.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,920,0,5.9799,"[0, 2, 5]",0,There is a square.,There is a circle.,0,"[0, 0, 0]",,True,response,,,2,"[5, 6, 3]",0,"[7, 3, 8]",3681,There is a diamond.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,False,"[1, 0]",1,False,undefined,1711,0,5.9799,"[11, 9, 2]",1,7 + 5 = ?,There is a spade.,3,"[4, 0, 0]",,False,filler,,,2,"[12, 7, 5]",0,"[3, 5, 0]",3979,9 + 2 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,873,0,5.9799,"[8, 0, 2]",0,There are only four ticks.,There are four hearts.,2,"[0, 0, 0]",,True,response,,,1,"[2, 3, 4]",0,"[4, 6, 8]",2481,There are only four notes.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1552,0,5.9799,"[11, 8, 3]",0,2 + 1 = ?,There are four notes.,3,"[0, 0, 0]",,True,response,,,1,"[3, 2, 1]",0,"[8, 1, 7]",3290,8 + 3 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,1210,1,5.9799,"[0, 2, 7]",1,Some of the symbols are clubs.,Some of the symbols are spades.,0,"[0, 0, 0]",,True,response,,,0,"[1, 2, 6]",0,"[3, 6, 5]",4092,Some of the symbols are diamonds.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,1410,1,5.9799,"[4, 5, 9]",1,Some of the symbols are clubs.,Some of the symbols are notes.,0,"[0, 0, 0]",,True,response,,,0,"[1, 2, 6]",0,"[8, 4, 7]",4002,Some of the symbols are hearts.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1081,0,5.9799,"[5, 0, 1]",0,There are four squares.,There are four squares.,1,"[0, 0, 0]",,True,response,,,1,"[5, 8, 4]",0,"[5, 8, 2]",3050,There are four squares.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1218,1,5.9799,"[2, 8, 7]",1,Some of the symbols are hearts.,Some of the symbols are squares.,0,"[0, 0, 0]",,True,filler,,,0,"[4, 0, 1]",0,"[5, 7, 3]",3616,Some of the symbols are ticks.
,"[0, 1]",exh-only,,1,"[7, 0, 0]",1,False,"[0, 1]",0,False,undefined,1191,1,5.9799,"[10, 1, 9]",1,8 + 4 = ?,Some of the symbols are hearts.,3,"[7, 0, 0]",,True,response,,,0,"[12, 8, 4]",0,"[4, 1, 0]",3780,1 + 9 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,864,1,5.9799,"[7, 1, 9]",1,Some of the symbols are triangles.,Some of the symbols are stars.,1,"[0, 0, 0]",,True,filler,,,0,"[9, 8, 4]",0,"[6, 4, 3]",2937,Some of the symbols are circles.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1115,0,5.9799,"[7, 2, 6]",0,There are four triangles.,There are four notes.,1,"[0, 0, 0]",,True,response,,,1,"[9, 7, 4]",0,"[8, 3, 4]",2692,There are four circles.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,842,0,5.9799,"[1, 0, 2]",0,There are only four stars.,There are four circles.,2,"[0, 0, 0]",,True,filler,,,1,"[6, 0, 5]",0,"[7, 4, 9]",2402,There are only four clubs.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1488,1,5.9799,"[3, 4, 6]",1,Only some of the symbols are hearts.,Some of the symbols are notes.,2,"[0, 0, 0]",,True,response,,,0,"[4, 5, 7]",0,"[8, 3, 1]",3990,Only some of the symbols are spades.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1010,0,5.9799,"[0, 5, 4]",0,Only some of the symbols are diamonds.,Some of the symbols are hearts.,2,"[0, 0, 0]",,True,response,,,0,"[0, 5, 9]",0,"[4, 5, 6]",3063,Only some of the symbols are diamonds.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1167,0,5.9799,"[4, 0, 7]",0,Only some of the symbols are notes.,Some of the symbols are diamonds.,2,"[0, 0, 0]",,True,filler,,,0,"[8, 2, 6]",0,"[0, 4, 5]",3790,Only some of the symbols are hearts.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,846,1,5.9799,"[2, 6, 3]",1,There are four hearts.,There are four circles.,0,"[0, 0, 0]",,True,filler,,,1,"[4, 6, 2]",0,"[7, 9, 4]",2573,There are four ticks.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,1233,0,5.9799,"[3, 5, 8]",0,There is a tick.,There is a circle.,1,"[0, 0, 0]",,True,response,,,2,"[2, 1, 4]",0,"[7, 0, 6]",3455,There is a spade.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1268,1,5.9799,"[8, 0, 3]",1,There is a heart.,There is a heart.,0,"[0, 0, 0]",,True,filler,,,2,"[4, 8, 3]",0,"[4, 7, 2]",3565,There is a note.
,"[1, 0]",exh-only,,1,"[0, 0, 0]",1,True,"[0, 1]",1,True,undefined,1009,0,5.9799,"[4, 2, 7]",0,There are four clubs.,There are four circles.,1,"[0, 0, 0]",,True,filler,,,1,"[1, 6, 2]",0,"[7, 0, 4]",2803,There are four hearts.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1055,1,5.9799,"[6, 9, 8]",1,There is only a note.,There is a triangle.,2,"[0, 0, 0]",,True,response,,,2,"[8, 1, 0]",0,"[9, 6, 8]",3415,There is only a star.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,835,0,5.9799,"[9, 8, 0]",0,There are only four diamonds.,There are four triangles.,2,"[0, 0, 0]",,True,response,,,1,"[0, 4, 2]",0,"[9, 4, 2]",2558,There are only four triangles.
,"[1, 0]",exh-only,,0,"[5, 0, 0]",1,True,"[1, 0]",0,False,undefined,984,1,5.9799,"[5, 1, 4]",0,4 + 7 = ?,There are four stars.,3,"[1, 0, 0]",,False,filler,,,1,"[11, 4, 7]",0,"[6, 7, 2]",3083,1 + 4 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,False,"[1, 0]",1,False,undefined,1358,0,5.9799,"[1, 0, 1]",0,8 + 5 = ?,Some of the symbols are spades.,3,"[6, 0, 0]",,True,response,,,0,"[13, 8, 5]",0,"[3, 6, 2]",3452,0 + 1 = ?
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,1383,0,5.9799,"[4, 6, 2]",0,There are four stars.,There are four ticks.,0,"[0, 0, 0]",,True,filler,,,1,"[6, 3, 7]",0,"[2, 1, 5]",3230,There are four hearts.
,"[1, 0]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,972,0,5.9799,"[2, 9, 0]",0,There is only a star.,There is a tick.,2,"[0, 0, 0]",,True,filler,,,2,"[6, 2, 5]",0,"[2, 7, 0]",2873,There is only a tick.
,"[0, 1]",exh-only,,1,"[0, 0, 0]",0,True,"[0, 1]",1,True,undefined,1052,1,5.9799,"[1, 2, 8]",1,There is a tick.,There is a heart.,1,"[0, 0, 0]",,True,response,,,2,"[2, 6, 1]",0,"[4, 5, 0]",3006,There is a club.
,"[0, 1]",exh-only,,0,"[0, 0, 0]",1,True,"[1, 0]",0,True,undefined,855,1,5.9799,"[8, 3, 4]",1,Some of the symbols are stars.,Some of the symbols are ticks.,1,"[0, 0, 0]",,True,filler,,,0,"[6, 3, 0]",0,"[2, 4, 9]",3375,Some of the symbols are notes.
,"[1, 0]",exh-only,,1,"[8, 0, 0]",1,False,"[0, 1]",0,False,undefined,1201,1,5.9799,"[7, 3, 4]",0,9 + 4 = ?,There are four notes.,3,"[9, 0, 0]",,False,response,,,1,"[13, 9, 4]",0,"[8, 2, 5]",4327,3 + 4 = ?
,"[0, 1]",exh-only,,0,"[0, 0, 0]",0,True,"[1, 0]",0,True,undefined,860,1,5.9799,"[2, 0, 9]",1,Some of the symbols are stars.,Some of the symbols are triangles.,0,"[0, 0, 0]",,True,response,,,0,"[6, 2, 8]",0,"[9, 2, 0]",3225,Some of the symbols are ticks.
