block_rt,workerid,pOSentence,pTwrongAnswer,primeType,primeTShuffle,Answer.condition,slide_type,pTChoice,correctPOChoice,btwncondition,correctPTChoice,trial_type,Answer.time_in_minutes,pTSentence,pOSymbols,audio,pOChoice,slide_number,correctPChoices,responseSymbols,response_rt,goodPOChoice,response,primeOShuffle,image,responseSentence,primeStrength,goodPTChoice,pOwrongAnswer,pTSymbols,responseChoice
6808,0,4 + 8 = ?,"[7, 0, 0]",0,"[1, 0]",undefined,,1,True,exh-subclausal,False,response,14.6255,1 + 1 = ?,"[12, 4, 8]",,0,,False,"[1, 6, 2]",3382,0,,"[1, 0]",,Some of the symbols are clubs.,3,0,"[9, 0, 0]","[2, 1, 1]",1
4904,0,3 + 1 = ?,"[2, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,6 + 6 = ?,"[4, 3, 1]",,1,,True,"[0, 1, 8]",2255,1,,"[0, 1]",,There is a diamond.,3,0,"[8, 0, 0]","[12, 6, 6]",1
4897,0,There are four squares.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There are four squares.,"[5, 9, 2]",,0,,True,"[3, 8, 5]",1448,0,,"[1, 0]",,There are four spades.,0,0,"[0, 0, 0]","[5, 4, 8]",0
8871,0,Some of the symbols are ticks.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,Some of the symbols are triangles.,"[2, 0, 5]",,0,,True,"[5, 3, 0]",3686,0,,"[1, 0]",,Some of the symbols are squares.,0,1,"[0, 0, 0]","[9, 8, 2]",1
4281,0,There are four circles.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There are four squares.,"[7, 8, 0]",,1,,True,"[4, 8, 0]",1183,1,,"[0, 1]",,There are four hearts.,0,0,"[0, 0, 0]","[5, 3, 7]",0
5524,0,9 + 9 = ?,"[5, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,6 + 0 = ?,"[18, 9, 9]",,0,,True,"[7, 9, 3]",2686,0,,"[1, 0]",,Some of the symbols are circles.,3,1,"[7, 0, 0]","[6, 6, 0]",0
6384,0,Some of the symbols are ticks.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,Some of the symbols are stars.,"[2, 7, 3]",,0,,True,"[0, 4, 2]",1766,0,,"[1, 0]",,Some of the symbols are diamonds.,1,0,"[0, 0, 0]","[6, 5, 7]",0
9088,0,There are four notes.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four notes.,"[8, 0, 9]",,1,,True,"[3, 1, 7]",2959,1,,"[0, 1]",,There are four spades.,1,1,"[0, 0, 0]","[8, 2, 4]",1
22385,0,There are four but no more than four squares.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There are four but no more than four ticks.,"[5, 3, 4]",,0,,True,"[5, 1, 0]",5256,0,,"[1, 0]",,There are four squares.,2,0,"[0, 0, 0]","[2, 8, 6]",1
26286,0,Some but not all of the symbols are squares.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,Some but not all of the symbols are circles.,"[5, 7, 3]",,1,,True,"[8, 4, 2]",12316,1,,"[0, 1]",,Some of the symbols are notes.,2,1,"[0, 0, 0]","[7, 8, 1]",0
8489,0,There is a circle but nothing else.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a star but nothing else.,"[7, 2, 9]",,0,,True,"[1, 4, 9]",2231,0,,"[1, 0]",,There is a club.,2,0,"[0, 0, 0]","[6, 1, 2]",1
4352,0,3 + 5 = ?,"[8, 0, 0]",2,"[1, 0]",undefined,,1,False,exh-subclausal,False,response,14.6255,2 + 8 = ?,"[8, 3, 5]",,0,,False,"[0, 6, 5]",1231,1,,"[0, 1]",,There is a diamond.,3,0,"[4, 0, 0]","[10, 2, 8]",1
5095,0,4 + 3 = ?,"[3, 0, 0]",1,"[0, 1]",undefined,,0,True,exh-subclausal,False,filler,14.6255,6 + 9 = ?,"[7, 4, 3]",,1,,False,"[8, 7, 0]",1598,1,,"[0, 1]",,There are four notes.,3,1,"[8, 0, 0]","[15, 6, 9]",1
10042,0,Some of the symbols are clubs.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,Some of the symbols are ticks.,"[1, 6, 5]",,1,,True,"[2, 4, 0]",2223,1,,"[0, 1]",,Some of the symbols are ticks.,1,1,"[0, 0, 0]","[2, 9, 1]",0
16408,0,Some but not all of the symbols are clubs.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,Some but not all of the symbols are hearts.,"[1, 0, 3]",,1,,True,"[8, 0, 7]",8432,1,,"[0, 1]",,Some of the symbols are notes.,2,0,"[0, 0, 0]","[4, 8, 7]",1
5632,0,There is a diamond but nothing else.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There is a circle but nothing else.,"[0, 8, 3]",,1,,True,"[2, 6, 0]",1560,1,,"[0, 1]",,There is a tick.,2,1,"[0, 0, 0]","[7, 9, 1]",1
5248,0,0 + 5 = ?,"[9, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,9 + 1 = ?,"[5, 0, 5]",,1,,True,"[4, 6, 0]",2446,1,,"[0, 1]",,There is a heart.,3,0,"[4, 0, 0]","[10, 9, 1]",1
16957,0,There is a heart but nothing else.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a spade but nothing else.,"[4, 6, 1]",,0,,True,"[4, 5, 0]",3447,0,,"[1, 0]",,There is a heart.,2,0,"[0, 0, 0]","[3, 4, 2]",1
6921,0,There is a triangle.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There is a heart.,"[9, 0, 6]",,1,,True,"[2, 5, 3]",1687,1,,"[0, 1]",,There is a tick.,0,1,"[0, 0, 0]","[4, 0, 9]",0
5940,0,There is a circle.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There is a note.,"[7, 1, 9]",,1,,True,"[0, 9, 5]",1763,1,,"[0, 1]",,There is a diamond.,0,1,"[0, 0, 0]","[8, 3, 6]",0
7445,0,Some of the symbols are spades.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,Some of the symbols are hearts.,"[3, 0, 4]",,0,,True,"[6, 7, 4]",1968,0,,"[1, 0]",,Some of the symbols are stars.,0,1,"[0, 0, 0]","[4, 1, 3]",0
5746,0,There is a star.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There is a diamond.,"[6, 2, 3]",,1,,True,"[0, 5, 6]",1952,1,,"[0, 1]",,There is a diamond.,1,1,"[0, 0, 0]","[0, 5, 4]",0
5414,0,4 + 6 = ?,"[7, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,3 + 6 = ?,"[10, 4, 6]",,1,,True,"[8, 6, 7]",1511,1,,"[0, 1]",,There is a note.,3,0,"[2, 0, 0]","[9, 3, 6]",0
9968,0,There are four spades.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There are four spades.,"[3, 7, 4]",,1,,True,"[2, 1, 4]",4903,1,,"[0, 1]",,There are four ticks.,1,0,"[0, 0, 0]","[3, 4, 6]",0
7336,0,Some of the symbols are circles.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,Some of the symbols are triangles.,"[7, 2, 3]",,0,,True,"[9, 0, 3]",2023,0,,"[1, 0]",,Some of the symbols are triangles.,0,1,"[0, 0, 0]","[9, 4, 5]",0
11691,0,There is a spade.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a tick.,"[3, 2, 9]",,0,,True,"[5, 8, 0]",3812,0,,"[1, 0]",,There is a square.,0,0,"[0, 0, 0]","[2, 1, 9]",1
6724,0,0 + 6 = ?,"[1, 0, 0]",0,"[0, 1]",undefined,,0,False,exh-subclausal,False,response,14.6255,7 + 5 = ?,"[6, 0, 6]",,1,,False,"[8, 5, 0]",3449,0,,"[1, 0]",,Some of the symbols are notes.,3,1,"[0, 0, 0]","[12, 7, 5]",0
10144,0,Some of the symbols are clubs.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,Some of the symbols are ticks.,"[1, 9, 3]",,0,,True,"[3, 5, 1]",2239,0,,"[1, 0]",,Some of the symbols are spades.,0,0,"[0, 0, 0]","[2, 9, 5]",1
5425,0,Some of the symbols are triangles.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,Some of the symbols are notes.,"[9, 7, 1]",,1,,True,"[5, 8, 3]",1873,1,,"[0, 1]",,Some of the symbols are squares.,0,0,"[0, 0, 0]","[8, 4, 5]",0
8391,0,There is a square but nothing else.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There is a spade but nothing else.,"[5, 8, 1]",,0,,True,"[1, 4, 0]",2952,0,,"[1, 0]",,There is a club.,2,1,"[0, 0, 0]","[3, 4, 0]",0
5248,0,There is a circle.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a tick.,"[7, 3, 1]",,1,,True,"[8, 3, 7]",2335,1,,"[0, 1]",,There is a note.,0,0,"[0, 0, 0]","[2, 9, 7]",1
5936,0,There is a spade.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a star.,"[3, 9, 2]",,0,,True,"[6, 9, 1]",2259,0,,"[1, 0]",,There is a star.,1,0,"[0, 0, 0]","[6, 9, 5]",1
4929,0,0 + 4 = ?,"[3, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,2 + 9 = ?,"[4, 0, 4]",,0,,True,"[4, 5, 9]",2416,0,,"[1, 0]",,Some of the symbols are hearts.,3,1,"[2, 0, 0]","[11, 2, 9]",1
5296,0,6 + 5 = ?,"[0, 0, 0]",1,"[1, 0]",undefined,,0,False,exh-subclausal,True,filler,14.6255,5 + 3 = ?,"[11, 6, 5]",,1,,False,"[2, 4, 9]",1727,0,,"[1, 0]",,There are four ticks.,3,0,"[2, 0, 0]","[8, 5, 3]",1
8749,0,Some but not all of the symbols are hearts.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,Some but not all of the symbols are stars.,"[4, 5, 7]",,0,,True,"[2, 6, 8]",2030,0,,"[1, 0]",,Some of the symbols are ticks.,2,0,"[0, 0, 0]","[6, 7, 9]",0
4769,0,Some of the symbols are ticks.,"[0, 0, 0]",0,"[0, 1]",undefined,,0,True,exh-subclausal,False,filler,14.6255,Some of the symbols are hearts.,"[2, 3, 0]",,0,,False,"[4, 2, 8]",1261,0,,"[1, 0]",,Some of the symbols are hearts.,1,1,"[0, 0, 0]","[4, 6, 2]",0
6168,0,Some of the symbols are circles.,"[0, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,Some of the symbols are diamonds.,"[7, 2, 5]",,0,,True,"[2, 8, 0]",1782,0,,"[1, 0]",,Some of the symbols are ticks.,0,0,"[0, 0, 0]","[0, 9, 5]",1
3879,0,9 + 0 = ?,"[2, 0, 0]",0,"[1, 0]",undefined,,1,False,exh-subclausal,False,filler,14.6255,0 + 6 = ?,"[9, 9, 0]",,0,,False,"[8, 5, 7]",1614,1,,"[0, 1]",,Some of the symbols are notes.,3,0,"[8, 0, 0]","[6, 0, 6]",1
3971,0,0 + 1 = ?,"[7, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,2 + 0 = ?,"[1, 0, 1]",,0,,True,"[7, 6, 0]",1961,0,,"[1, 0]",,Some of the symbols are circles.,3,1,"[4, 0, 0]","[2, 2, 0]",0
6390,0,There are four but no more than four circles.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There are four but no more than four ticks.,"[7, 6, 4]",,0,,True,"[3, 7, 6]",2614,0,,"[1, 0]",,There are four spades.,2,1,"[0, 0, 0]","[2, 4, 1]",0
5304,0,There are four but no more than four notes.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There are four but no more than four stars.,"[8, 0, 5]",,1,,True,"[5, 9, 2]",2143,1,,"[0, 1]",,There are four squares.,2,1,"[0, 0, 0]","[6, 0, 1]",0
9890,0,Some of the symbols are hearts.,"[0, 0, 0]",0,"[0, 1]",undefined,,0,False,exh-subclausal,False,filler,14.6255,Some of the symbols are spades.,"[4, 7, 9]",,1,,False,"[7, 3, 9]",4072,0,,"[1, 0]",,Some of the symbols are circles.,1,1,"[0, 0, 0]","[3, 9, 5]",1
9160,0,There are four but no more than four hearts.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four but no more than four clubs.,"[4, 8, 9]",,0,,True,"[7, 2, 6]",1943,0,,"[1, 0]",,There are four circles.,2,1,"[0, 0, 0]","[1, 0, 4]",1
5848,0,There are four stars.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There are four hearts.,"[6, 4, 8]",,0,,True,"[7, 5, 4]",2559,0,,"[1, 0]",,There are four circles.,0,1,"[0, 0, 0]","[4, 1, 7]",0
4782,0,0 + 0 = ?,"[7, 0, 0]",2,"[0, 1]",undefined,,1,False,exh-subclausal,True,filler,14.6255,3 + 5 = ?,"[0, 0, 0]",,0,,False,"[7, 0, 2]",1544,1,,"[0, 1]",,There is a circle.,3,1,"[8, 0, 0]","[8, 3, 5]",1
7415,0,7 + 2 = ?,"[0, 0, 0]",1,"[0, 1]",undefined,,1,False,exh-subclausal,True,response,14.6255,7 + 7 = ?,"[9, 7, 2]",,0,,False,"[1, 2, 9]",3599,1,,"[0, 1]",,There are four clubs.,3,1,"[5, 0, 0]","[14, 7, 7]",0
5379,0,There are four squares.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There are four clubs.,"[5, 2, 0]",,0,,True,"[7, 6, 4]",2018,0,,"[1, 0]",,There are four circles.,1,0,"[0, 0, 0]","[1, 9, 3]",0
6422,0,9 + 9 = ?,"[2, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,6 + 5 = ?,"[18, 9, 9]",,0,,True,"[0, 4, 3]",2911,0,,"[1, 0]",,There are four diamonds.,3,1,"[5, 0, 0]","[11, 6, 5]",0
3752,0,1 + 8 = ?,"[8, 0, 0]",1,"[0, 1]",undefined,,0,True,exh-subclausal,False,response,14.6255,6 + 6 = ?,"[9, 1, 8]",,1,,False,"[5, 7, 9]",1382,1,,"[0, 1]",,There are four squares.,3,1,"[0, 0, 0]","[12, 6, 6]",0
3912,0,There are four diamonds.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There are four hearts.,"[0, 8, 7]",,1,,True,"[1, 7, 2]",1167,1,,"[0, 1]",,There are four clubs.,1,1,"[0, 0, 0]","[4, 0, 1]",0
5009,0,There is a star but nothing else.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There is a star but nothing else.,"[6, 7, 4]",,0,,True,"[5, 3, 7]",2688,0,,"[1, 0]",,There is a square.,2,0,"[0, 0, 0]","[6, 1, 0]",0
8951,0,0 + 7 = ?,"[2, 0, 0]",1,"[0, 1]",undefined,,0,True,exh-subclausal,False,filler,14.6255,2 + 0 = ?,"[7, 0, 7]",,1,,False,"[2, 1, 5]",2271,1,,"[0, 1]",,There are four ticks.,3,1,"[9, 0, 0]","[2, 2, 0]",1
4296,0,6 + 4 = ?,"[7, 0, 0]",1,"[1, 0]",undefined,,1,True,exh-subclausal,False,response,14.6255,6 + 6 = ?,"[10, 6, 4]",,0,,False,"[4, 0, 7]",2072,0,,"[1, 0]",,There are four hearts.,3,0,"[3, 0, 0]","[12, 6, 6]",0
21543,0,There are four but no more than four ticks.,"[0, 0, 0]",1,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There are four but no more than four squares.,"[2, 9, 8]",,0,,True,"[5, 9, 0]",2975,0,,"[1, 0]",,There are four squares.,2,0,"[0, 0, 0]","[5, 6, 0]",0
4511,0,5 + 7 = ?,"[4, 0, 0]",2,"[1, 0]",undefined,,1,True,exh-subclausal,False,response,14.6255,5 + 7 = ?,"[12, 5, 7]",,0,,False,"[3, 5, 9]",1998,0,,"[1, 0]",,There is a spade.,3,0,"[8, 0, 0]","[12, 5, 7]",1
4223,0,There is a star.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There is a square.,"[6, 0, 7]",,1,,True,"[6, 3, 4]",1558,1,,"[0, 1]",,There is a star.,0,0,"[0, 0, 0]","[5, 0, 2]",0
3745,0,6 + 1 = ?,"[4, 0, 0]",2,"[0, 1]",undefined,,0,False,exh-subclausal,False,filler,14.6255,6 + 3 = ?,"[7, 6, 1]",,1,,False,"[1, 9, 8]",1408,0,,"[1, 0]",,There is a club.,3,1,"[6, 0, 0]","[9, 6, 3]",1
10383,0,There is a club.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a triangle.,"[1, 7, 3]",,0,,True,"[7, 4, 2]",4139,0,,"[1, 0]",,There is a circle.,0,0,"[0, 0, 0]","[9, 6, 2]",1
4399,0,There are four but no more than four ticks.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There are four but no more than four diamonds.,"[2, 4, 0]",,1,,True,"[3, 2, 7]",1406,1,,"[0, 1]",,There are four spades.,2,1,"[0, 0, 0]","[0, 2, 1]",0
8785,0,There is a club but nothing else.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,response,14.6255,There is a circle but nothing else.,"[1, 3, 9]",,1,,True,"[1, 3, 6]",3504,1,,"[0, 1]",,There is a club.,2,0,"[0, 0, 0]","[7, 3, 0]",0
6968,0,Some but not all of the symbols are clubs.,"[0, 0, 0]",0,"[1, 0]",undefined,,1,False,exh-subclausal,False,filler,14.6255,Some but not all of the symbols are triangles.,"[1, 9, 2]",,0,,False,"[6, 1, 0]",1406,1,,"[0, 1]",,Some of the symbols are stars.,2,0,"[0, 0, 0]","[9, 6, 2]",0
4592,0,There are four ticks.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four circles.,"[2, 0, 7]",,1,,True,"[4, 2, 1]",2063,1,,"[0, 1]",,There are four hearts.,0,1,"[0, 0, 0]","[7, 6, 1]",1
4601,0,Some but not all of the symbols are squares.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,False,exh-subclausal,True,response,14.6255,Some but not all of the symbols are squares.,"[5, 6, 2]",,1,,False,"[0, 8, 1]",1863,0,,"[1, 0]",,Some of the symbols are diamonds.,2,1,"[0, 0, 0]","[5, 0, 2]",0
6796,0,Some but not all of the symbols are triangles.,"[0, 0, 0]",0,"[0, 1]",undefined,,0,False,exh-subclausal,False,filler,14.6255,Some but not all of the symbols are ticks.,"[9, 6, 7]",,1,,False,"[2, 8, 0]",4203,0,,"[1, 0]",,Some of the symbols are ticks.,2,1,"[0, 0, 0]","[2, 4, 8]",1
6000,0,There is a club.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,There is a circle.,"[1, 7, 6]",,0,,True,"[2, 1, 7]",1207,0,,"[1, 0]",,There is a tick.,1,1,"[0, 0, 0]","[7, 8, 1]",0
4384,0,0 + 1 = ?,"[5, 0, 0]",0,"[1, 0]",undefined,,0,False,exh-subclausal,True,filler,14.6255,4 + 5 = ?,"[1, 0, 1]",,1,,False,"[1, 3, 0]",2208,0,,"[1, 0]",,Some of the symbols are clubs.,3,0,"[2, 0, 0]","[9, 4, 5]",0
5073,0,There is a heart but nothing else.,"[0, 0, 0]",2,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,There is a club but nothing else.,"[4, 9, 3]",,1,,True,"[3, 2, 7]",1470,1,,"[0, 1]",,There is a spade.,2,0,"[0, 0, 0]","[1, 0, 9]",1
5263,0,9 + 9 = ?,"[8, 0, 0]",0,"[1, 0]",undefined,,0,True,exh-subclausal,True,filler,14.6255,3 + 4 = ?,"[18, 9, 9]",,1,,True,"[3, 9, 6]",2502,1,,"[0, 1]",,Some of the symbols are spades.,3,0,"[3, 0, 0]","[7, 3, 4]",1
6265,0,There is a diamond.,"[0, 0, 0]",2,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There is a diamond.,"[0, 7, 5]",,1,,True,"[6, 4, 0]",1351,1,,"[0, 1]",,There is a star.,0,1,"[0, 0, 0]","[0, 2, 3]",1
4791,0,Some of the symbols are ticks.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,response,14.6255,Some of the symbols are circles.,"[2, 6, 3]",,1,,True,"[5, 1, 2]",1751,1,,"[0, 1]",,Some of the symbols are squares.,1,1,"[0, 0, 0]","[7, 8, 5]",0
4743,0,There are four triangles.,"[0, 0, 0]",1,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,There are four ticks.,"[9, 0, 6]",,1,,True,"[9, 3, 2]",1695,1,,"[0, 1]",,There are four triangles.,1,1,"[0, 0, 0]","[2, 9, 0]",1
5849,0,Some of the symbols are spades.,"[0, 0, 0]",0,"[0, 1]",undefined,,1,True,exh-subclausal,True,filler,14.6255,Some of the symbols are ticks.,"[3, 4, 6]",,1,,True,"[5, 2, 4]",1638,1,,"[0, 1]",,Some of the symbols are squares.,0,1,"[0, 0, 0]","[2, 8, 4]",1
5648,0,Some of the symbols are notes.,"[0, 0, 0]",0,"[1, 0]",undefined,,1,True,exh-subclausal,False,filler,14.6255,Some of the symbols are hearts.,"[8, 5, 2]",,1,,False,"[3, 6, 2]",2294,1,,"[0, 1]",,Some of the symbols are spades.,1,0,"[0, 0, 0]","[4, 5, 8]",1
