primeStrength,primeTShuffle,correctPTChoice,responseSentence,pTSentence,pOSymbols,goodPTChoice,Answer.time_in_minutes,correctPChoices,response_rt,pTwrongAnswer,pOChoice,audio,correctPOChoice,pOSentence,primeOShuffle,response,pTChoice,block_rt,slide_number,workerid,responseChoice,image,Answer.condition,pTSymbols,goodPOChoice,responseSymbols,pOwrongAnswer,primeType,trial_type,btwncondition,slide_type
0,"[1, 0]",True,There is a triangle.,There is a tick.,"[0, 2, 1]",0,12.037066666666666,True,4159,"[0, 0, 0]",1,,True,There is a diamond.,"[0, 1]",,0,9680,,0,0,,undefined,"[2, 4, 5]",1,"[9, 7, 0]","[0, 0, 0]",2,response,alternative,
2,"[1, 0]",True,There is a circle.,There is a tick and a club.,"[3, 0, 8]",0,12.037066666666666,True,2591,"[0, 0, 0]",1,,True,There is a spade and a diamond.,"[0, 1]",,0,6712,,0,1,,undefined,"[2, 1, 4]",1,"[7, 1, 6]","[0, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,There are four clubs.,There are four clubs.,"[1, 3, 5]",0,12.037066666666666,True,2863,"[0, 0, 0]",0,,True,There are four clubs.,"[1, 0]",,0,14576,,0,1,,undefined,"[1, 7, 2]",0,"[1, 5, 6]","[0, 0, 0]",1,filler,alternative,
3,"[0, 1]",True,There are four ticks.,1 + 9 = ?,"[8, 3, 5]",1,12.037066666666666,False,1711,"[7, 0, 0]",0,,False,3 + 5 = ?,"[0, 1]",,1,6448,,0,1,,undefined,"[10, 1, 9]",1,"[2, 8, 3]","[4, 0, 0]",1,response,alternative,
2,"[0, 1]",True,There is a heart.,There is a heart and a note.,"[7, 1, 2]",1,12.037066666666666,True,2511,"[0, 0, 0]",1,,True,There is a circle and a club.,"[0, 1]",,1,6416,,0,0,,undefined,"[4, 8, 2]",1,"[4, 2, 3]","[0, 0, 0]",2,response,alternative,
3,"[0, 1]",True,There is a note.,2 + 4 = ?,"[7, 2, 5]",1,12.037066666666666,True,2311,"[7, 0, 0]",0,,True,2 + 5 = ?,"[1, 0]",,1,6632,,0,0,,undefined,"[6, 2, 4]",0,"[8, 1, 9]","[8, 0, 0]",2,response,alternative,
1,"[0, 1]",True,Some of the symbols are diamonds.,Some of the symbols are circles.,"[0, 4, 8]",1,12.037066666666666,True,3463,"[0, 0, 0]",1,,True,Some of the symbols are diamonds.,"[0, 1]",,1,9040,,0,0,,undefined,"[7, 0, 4]",1,"[0, 6, 9]","[0, 0, 0]",0,filler,alternative,
2,"[1, 0]",True,There is a spade.,There is a spade and a square.,"[7, 0, 1]",0,12.037066666666666,True,2071,"[0, 0, 0]",0,,True,There is a circle and a diamond.,"[1, 0]",,0,5488,,0,1,,undefined,"[3, 5, 1]",0,"[3, 6, 0]","[0, 0, 0]",2,filler,alternative,
3,"[1, 0]",True,Some of the symbols are squares.,9 + 3 = ?,"[0, 0, 0]",0,12.037066666666666,True,2119,"[6, 0, 0]",1,,True,0 + 0 = ?,"[0, 1]",,0,4688,,0,1,,undefined,"[12, 9, 3]",1,"[5, 8, 3]","[4, 0, 0]",0,filler,alternative,
1,"[0, 1]",True,There are four ticks.,There are four notes.,"[9, 6, 8]",1,12.037066666666666,True,3943,"[0, 0, 0]",0,,True,There are four triangles.,"[1, 0]",,1,6424,,0,0,,undefined,"[8, 4, 5]",0,"[2, 6, 3]","[0, 0, 0]",1,response,alternative,
0,"[1, 0]",True,There are four stars.,There are four notes.,"[8, 0, 2]",0,12.037066666666666,True,2039,"[0, 0, 0]",0,,True,There are four notes.,"[1, 0]",,0,6856,,0,0,,undefined,"[8, 5, 4]",0,"[6, 9, 5]","[0, 0, 0]",1,response,alternative,
3,"[0, 1]",True,Some of the symbols are spades.,8 + 3 = ?,"[2, 0, 2]",1,12.037066666666666,False,2687,"[8, 0, 0]",0,,False,0 + 2 = ?,"[0, 1]",,1,5528,,0,1,,undefined,"[11, 8, 3]",1,"[3, 9, 2]","[8, 0, 0]",0,filler,alternative,
3,"[1, 0]",True,There are four spades.,6 + 3 = ?,"[3, 1, 2]",0,12.037066666666666,False,2127,"[3, 0, 0]",1,,False,1 + 2 = ?,"[1, 0]",,0,4816,,0,1,,undefined,"[9, 6, 3]",0,"[3, 8, 9]","[0, 0, 0]",1,filler,alternative,
1,"[0, 1]",True,Some of the symbols are stars.,Some of the symbols are circles.,"[2, 6, 4]",1,12.037066666666666,True,3055,"[0, 0, 0]",0,,True,Some of the symbols are ticks.,"[1, 0]",,1,8112,,0,1,,undefined,"[7, 6, 3]",0,"[6, 1, 0]","[0, 0, 0]",0,filler,alternative,
0,"[1, 0]",True,There are four notes.,There are four hearts.,"[8, 5, 6]",0,12.037066666666666,True,1863,"[0, 0, 0]",0,,True,There are four notes.,"[1, 0]",,0,6344,,0,1,,undefined,"[4, 5, 2]",0,"[8, 9, 6]","[0, 0, 0]",1,filler,alternative,
1,"[0, 1]",True,There is a club.,There is a spade.,"[1, 5, 3]",1,12.037066666666666,True,1543,"[0, 0, 0]",0,,True,There is a club.,"[1, 0]",,1,5040,,0,0,,undefined,"[3, 5, 1]",0,"[1, 3, 8]","[0, 0, 0]",2,filler,alternative,
3,"[1, 0]",False,Some of the symbols are triangles.,5 + 5 = ?,"[7, 0, 7]",0,12.037066666666666,False,3543,"[9, 0, 0]",0,,False,0 + 7 = ?,"[0, 1]",,1,6104,,0,1,,undefined,"[10, 5, 5]",1,"[9, 0, 4]","[9, 0, 0]",0,filler,alternative,
0,"[1, 0]",True,There is a circle.,There is a star.,"[2, 7, 6]",0,12.037066666666666,True,1543,"[0, 0, 0]",1,,True,There is a tick.,"[0, 1]",,0,4608,,0,1,,undefined,"[6, 1, 4]",1,"[7, 0, 4]","[0, 0, 0]",2,filler,alternative,
3,"[0, 1]",False,There are four triangles.,6 + 5 = ?,"[17, 8, 9]",1,12.037066666666666,False,2535,"[0, 0, 0]",1,,False,8 + 9 = ?,"[1, 0]",,0,5200,,0,0,,undefined,"[11, 6, 5]",0,"[9, 4, 2]","[1, 0, 0]",1,response,alternative,
2,"[0, 1]",True,Some of the symbols are diamonds.,All of the symbols are triangles.,"[8, 9, 3]",1,12.037066666666666,True,3783,"[0, 0, 0]",1,,True,All of the symbols are notes.,"[0, 1]",,1,8184,,0,1,,undefined,"[9, 5, 7]",1,"[0, 5, 6]","[0, 0, 0]",0,filler,alternative,
0,"[0, 1]",True,There is a tick.,There is a diamond.,"[6, 8, 5]",1,12.037066666666666,True,1696,"[0, 0, 0]",0,,True,There is a star.,"[1, 0]",,1,5489,,0,1,,undefined,"[0, 5, 8]",0,"[2, 1, 8]","[0, 0, 0]",2,filler,alternative,
3,"[1, 0]",False,Some of the symbols are triangles.,9 + 9 = ?,"[1, 0, 1]",0,12.037066666666666,False,1575,"[2, 0, 0]",0,,False,0 + 1 = ?,"[0, 1]",,1,4063,,0,0,,undefined,"[18, 9, 9]",1,"[9, 2, 8]","[9, 0, 0]",0,response,alternative,
0,"[0, 1]",True,Some of the symbols are triangles.,Some of the symbols are squares.,"[4, 2, 9]",1,12.037066666666666,True,2399,"[0, 0, 0]",1,,True,Some of the symbols are hearts.,"[0, 1]",,1,6776,,0,1,,undefined,"[5, 3, 4]",1,"[9, 2, 1]","[0, 0, 0]",0,filler,alternative,
2,"[1, 0]",True,There is a heart.,There is a tick and a circle.,"[2, 3, 1]",0,12.037066666666666,True,1711,"[0, 0, 0]",0,,True,There is a tick and a spade.,"[1, 0]",,0,4960,,0,0,,undefined,"[2, 7, 8]",0,"[4, 2, 3]","[0, 0, 0]",2,response,alternative,
1,"[1, 0]",True,There is a circle.,There is a square.,"[6, 4, 3]",0,12.037066666666666,True,2015,"[0, 0, 0]",1,,True,There is a star.,"[0, 1]",,0,5232,,0,1,,undefined,"[5, 0, 7]",1,"[7, 4, 2]","[0, 0, 0]",2,filler,alternative,
0,"[0, 1]",True,Some of the symbols are triangles.,Some of the symbols are hearts.,"[3, 9, 0]",1,12.037066666666666,True,2823,"[0, 0, 0]",1,,True,Some of the symbols are spades.,"[0, 1]",,1,11568,,0,0,,undefined,"[4, 5, 3]",1,"[9, 0, 1]","[0, 0, 0]",0,filler,alternative,
1,"[1, 0]",True,There are four stars.,There are four triangles.,"[0, 9, 3]",0,12.037066666666666,True,2000,"[0, 0, 0]",0,,True,There are four diamonds.,"[1, 0]",,0,5585,,0,0,,undefined,"[9, 5, 6]",0,"[6, 7, 3]","[0, 0, 0]",1,response,alternative,
2,"[0, 1]",True,There are four hearts.,There are six spades.,"[5, 1, 4]",1,12.037066666666666,True,1823,"[0, 0, 0]",0,,True,There are six squares.,"[1, 0]",,1,4767,,0,1,,undefined,"[3, 6, 0]",0,"[4, 7, 0]","[0, 0, 0]",1,filler,alternative,
3,"[0, 1]",False,There is a square.,9 + 3 = ?,"[9, 3, 6]",1,12.037066666666666,False,1287,"[9, 0, 0]",1,,True,3 + 6 = ?,"[0, 1]",,0,4704,,0,0,,undefined,"[12, 9, 3]",1,"[5, 6, 1]","[4, 0, 0]",2,response,alternative,
2,"[0, 1]",True,Some of the symbols are ticks.,All of the symbols are diamonds.,"[8, 4, 3]",1,12.037066666666666,True,2064,"[0, 0, 0]",1,,True,All of the symbols are notes.,"[0, 1]",,1,5521,,0,1,,undefined,"[0, 2, 8]",1,"[2, 7, 4]","[0, 0, 0]",0,filler,alternative,
0,"[1, 0]",True,There is a circle.,There is a note.,"[2, 0, 4]",0,12.037066666666666,True,976,"[0, 0, 0]",1,,True,There is a tick.,"[0, 1]",,0,3664,,0,0,,undefined,"[8, 9, 7]",1,"[7, 2, 4]","[0, 0, 0]",2,response,alternative,
2,"[1, 0]",True,Some of the symbols are spades.,All of the symbols are ticks.,"[0, 9, 8]",0,12.037066666666666,True,2511,"[0, 0, 0]",0,,True,All of the symbols are diamonds.,"[1, 0]",,0,5615,,0,0,,undefined,"[2, 9, 4]",0,"[3, 1, 4]","[0, 0, 0]",0,response,alternative,
3,"[1, 0]",True,There are four triangles.,8 + 5 = ?,"[13, 7, 6]",0,12.037066666666666,False,1399,"[2, 0, 0]",1,,False,7 + 6 = ?,"[1, 0]",,0,4496,,0,1,,undefined,"[13, 8, 5]",0,"[9, 0, 4]","[8, 0, 0]",1,filler,alternative,
2,"[1, 0]",True,There is a triangle.,There is a heart and a tick.,"[6, 1, 3]",0,12.037066666666666,True,2064,"[0, 0, 0]",0,,True,There is a star and a club.,"[1, 0]",,0,9481,,0,1,,undefined,"[4, 2, 1]",0,"[9, 8, 4]","[0, 0, 0]",2,filler,alternative,
0,"[0, 1]",True,Some of the symbols are clubs.,Some of the symbols are clubs.,"[8, 5, 3]",1,12.037066666666666,True,2608,"[0, 0, 0]",1,,True,Some of the symbols are notes.,"[0, 1]",,1,7232,,0,0,,undefined,"[1, 5, 9]",1,"[1, 7, 8]","[0, 0, 0]",0,response,alternative,
3,"[0, 1]",False,Some of the symbols are spades.,6 + 6 = ?,"[3, 0, 3]",1,12.037066666666666,False,2359,"[3, 0, 0]",1,,False,0 + 3 = ?,"[1, 0]",,0,5359,,0,0,,undefined,"[12, 6, 6]",0,"[3, 4, 8]","[7, 0, 0]",0,response,alternative,
3,"[1, 0]",True,Some of the symbols are circles.,6 + 6 = ?,"[12, 8, 4]",0,12.037066666666666,True,1391,"[7, 0, 0]",1,,True,8 + 4 = ?,"[0, 1]",,0,3848,,0,0,,undefined,"[12, 6, 6]",1,"[7, 0, 5]","[3, 0, 0]",0,response,alternative,
2,"[1, 0]",True,There are four spades.,There are six squares.,"[3, 5, 7]",0,12.037066666666666,True,1271,"[0, 0, 0]",0,,True,There are six spades.,"[1, 0]",,0,3840,,0,1,,undefined,"[5, 2, 8]",0,"[3, 6, 5]","[0, 0, 0]",1,response,alternative,
0,"[1, 0]",True,There are four notes.,There are four hearts.,"[4, 0, 9]",0,12.037066666666666,True,1703,"[0, 0, 0]",1,,True,There are four hearts.,"[0, 1]",,0,7952,,0,0,,undefined,"[4, 9, 2]",1,"[8, 9, 3]","[0, 0, 0]",1,response,alternative,
3,"[1, 0]",True,There is a spade.,3 + 6 = ?,"[6, 6, 0]",0,12.037066666666666,True,1815,"[0, 0, 0]",1,,True,6 + 0 = ?,"[0, 1]",,0,4488,,0,0,,undefined,"[9, 3, 6]",1,"[3, 2, 4]","[7, 0, 0]",2,response,alternative,
0,"[0, 1]",True,Some of the symbols are circles.,Some of the symbols are stars.,"[7, 9, 5]",1,12.037066666666666,True,1655,"[0, 0, 0]",0,,True,Some of the symbols are circles.,"[1, 0]",,1,4688,,0,0,,undefined,"[6, 7, 5]",0,"[7, 6, 0]","[0, 0, 0]",0,response,alternative,
0,"[0, 1]",True,There are four squares.,There are four ticks.,"[4, 5, 3]",1,12.037066666666666,True,1215,"[0, 0, 0]",0,,True,There are four hearts.,"[1, 0]",,1,4040,,0,0,,undefined,"[2, 0, 8]",0,"[5, 4, 1]","[0, 0, 0]",1,response,alternative,
1,"[0, 1]",True,There is a circle.,There is a square.,"[0, 8, 9]",1,12.037066666666666,True,1263,"[0, 0, 0]",0,,True,There is a diamond.,"[1, 0]",,1,5352,,0,0,,undefined,"[5, 9, 2]",0,"[7, 2, 1]","[0, 0, 0]",2,response,alternative,
0,"[0, 1]",True,There is a square.,There is a circle.,"[2, 3, 8]",1,12.037066666666666,True,2255,"[0, 0, 0]",0,,True,There is a tick.,"[1, 0]",,1,6664,,0,1,,undefined,"[7, 9, 6]",0,"[5, 8, 1]","[0, 0, 0]",2,filler,alternative,
2,"[1, 0]",True,There is a circle.,There is a circle and a heart.,"[6, 5, 0]",0,12.037066666666666,True,1719,"[0, 0, 0]",0,,True,There is a star and a square.,"[1, 0]",,0,11016,,0,1,,undefined,"[7, 4, 0]",0,"[7, 9, 8]","[0, 0, 0]",2,filler,alternative,
3,"[1, 0]",False,Some of the symbols are circles.,2 + 4 = ?,"[11, 5, 6]",0,12.037066666666666,False,1703,"[0, 0, 0]",0,,True,5 + 6 = ?,"[1, 0]",,1,4312,,0,1,,undefined,"[6, 2, 4]",0,"[7, 5, 4]","[5, 0, 0]",0,filler,alternative,
1,"[0, 1]",True,There are four triangles.,There are four triangles.,"[3, 5, 2]",1,12.037066666666666,True,1615,"[0, 0, 0]",0,,True,There are four spades.,"[1, 0]",,1,5368,,0,0,,undefined,"[9, 4, 8]",0,"[9, 6, 2]","[0, 0, 0]",1,response,alternative,
3,"[0, 1]",True,There is a tick.,4 + 1 = ?,"[0, 0, 0]",1,12.037066666666666,False,1655,"[2, 0, 0]",0,,False,0 + 0 = ?,"[0, 1]",,1,7120,,0,1,,undefined,"[5, 4, 1]",1,"[2, 5, 3]","[0, 0, 0]",2,filler,alternative,
1,"[1, 0]",True,There are four ticks.,There are four circles.,"[8, 4, 6]",0,12.037066666666666,True,2327,"[0, 0, 0]",0,,True,There are four notes.,"[1, 0]",,0,4640,,0,0,,undefined,"[7, 1, 0]",0,"[2, 4, 9]","[0, 0, 0]",1,response,alternative,
3,"[0, 1]",False,There are four clubs.,1 + 9 = ?,"[2, 1, 1]",1,12.037066666666666,False,1343,"[2, 0, 0]",1,,True,1 + 1 = ?,"[0, 1]",,0,3760,,0,0,,undefined,"[10, 1, 9]",1,"[1, 9, 2]","[4, 0, 0]",1,response,alternative,
3,"[1, 0]",True,There is a triangle.,4 + 7 = ?,"[10, 9, 1]",0,12.037066666666666,False,1495,"[2, 0, 0]",1,,False,9 + 1 = ?,"[1, 0]",,0,5128,,0,1,,undefined,"[11, 4, 7]",0,"[9, 3, 6]","[0, 0, 0]",2,filler,alternative,
0,"[1, 0]",True,There are four hearts.,There are four spades.,"[9, 2, 5]",0,12.037066666666666,True,1567,"[0, 0, 0]",1,,True,There are four triangles.,"[0, 1]",,0,4232,,0,1,,undefined,"[3, 6, 5]",1,"[4, 8, 0]","[0, 0, 0]",1,filler,alternative,
2,"[1, 0]",True,Some of the symbols are stars.,All of the symbols are spades.,"[2, 3, 5]",0,12.037066666666666,True,1687,"[0, 0, 0]",0,,True,All of the symbols are ticks.,"[1, 0]",,0,5008,,0,0,,undefined,"[3, 2, 4]",0,"[6, 1, 2]","[0, 0, 0]",0,response,alternative,
2,"[1, 0]",True,There are four spades.,There are six spades.,"[2, 3, 1]",0,12.037066666666666,True,2447,"[0, 0, 0]",0,,True,There are six ticks.,"[1, 0]",,0,4768,,0,0,,undefined,"[3, 1, 5]",0,"[3, 6, 4]","[0, 0, 0]",1,response,alternative,
2,"[0, 1]",True,Some of the symbols are circles.,All of the symbols are squares.,"[5, 2, 8]",1,12.037066666666666,True,2559,"[0, 0, 0]",0,,True,All of the symbols are squares.,"[1, 0]",,1,5824,,0,1,,undefined,"[5, 9, 1]",0,"[7, 8, 2]","[0, 0, 0]",0,filler,alternative,
1,"[0, 1]",True,There are four triangles.,There are four squares.,"[9, 7, 0]",1,12.037066666666666,True,1839,"[0, 0, 0]",1,,True,There are four triangles.,"[0, 1]",,1,5248,,0,1,,undefined,"[5, 0, 9]",1,"[9, 2, 7]","[0, 0, 0]",1,filler,alternative,
1,"[1, 0]",True,Some of the symbols are diamonds.,Some of the symbols are triangles.,"[4, 1, 8]",0,12.037066666666666,True,2624,"[0, 0, 0]",1,,True,Some of the symbols are hearts.,"[0, 1]",,0,7560,,0,1,,undefined,"[9, 0, 5]",1,"[0, 4, 1]","[0, 0, 0]",0,filler,alternative,
0,"[0, 1]",True,There are four clubs.,There are four hearts.,"[2, 7, 8]",1,12.037066666666666,True,2071,"[0, 0, 0]",0,,True,There are four ticks.,"[1, 0]",,1,5408,,0,1,,undefined,"[4, 0, 2]",0,"[1, 5, 8]","[0, 0, 0]",1,filler,alternative,
1,"[1, 0]",True,There is a diamond.,There is a diamond.,"[1, 8, 4]",0,12.037066666666666,True,2135,"[0, 0, 0]",1,,True,There is a club.,"[0, 1]",,0,6264,,0,0,,undefined,"[0, 3, 6]",1,"[0, 2, 3]","[0, 0, 0]",2,response,alternative,
0,"[1, 0]",True,Some of the symbols are stars.,Some of the symbols are ticks.,"[3, 5, 8]",0,12.037066666666666,True,1607,"[0, 0, 0]",1,,True,Some of the symbols are spades.,"[0, 1]",,0,5600,,0,1,,undefined,"[2, 8, 0]",1,"[6, 7, 8]","[0, 0, 0]",0,filler,alternative,
2,"[0, 1]",True,There is a tick.,There is a square and a spade.,"[4, 7, 3]",1,12.037066666666666,True,1439,"[0, 0, 0]",0,,True,There is a heart and a circle.,"[1, 0]",,1,4576,,0,0,,undefined,"[5, 3, 2]",0,"[2, 6, 0]","[0, 0, 0]",2,response,alternative,
1,"[0, 1]",True,There are four hearts.,There are four stars.,"[3, 1, 9]",1,12.037066666666666,True,1279,"[0, 0, 0]",0,,True,There are four spades.,"[1, 0]",,1,3720,,0,1,,undefined,"[6, 3, 0]",0,"[4, 3, 6]","[0, 0, 0]",1,filler,alternative,
0,"[0, 1]",True,There is a note.,There is a triangle.,"[6, 2, 0]",1,12.037066666666666,True,1567,"[0, 0, 0]",1,,True,There is a star.,"[0, 1]",,1,4576,,0,1,,undefined,"[9, 0, 7]",1,"[8, 7, 6]","[0, 0, 0]",2,filler,alternative,
1,"[0, 1]",True,Some of the symbols are triangles.,Some of the symbols are ticks.,"[7, 6, 1]",1,12.037066666666666,True,1903,"[0, 0, 0]",1,,True,Some of the symbols are circles.,"[0, 1]",,1,5976,,0,1,,undefined,"[2, 0, 3]",1,"[9, 2, 8]","[0, 0, 0]",0,filler,alternative,
1,"[1, 0]",True,There are four ticks.,There are four diamonds.,"[9, 0, 5]",0,12.037066666666666,True,1471,"[0, 0, 0]",0,,True,There are four triangles.,"[1, 0]",,0,4016,,0,1,,undefined,"[0, 1, 4]",0,"[2, 3, 1]","[0, 0, 0]",1,filler,alternative,
3,"[0, 1]",False,There are four circles.,2 + 3 = ?,"[11, 8, 3]",1,12.037066666666666,False,1319,"[7, 0, 0]",1,,True,8 + 3 = ?,"[0, 1]",,0,3512,,0,1,,undefined,"[5, 2, 3]",1,"[7, 2, 8]","[4, 0, 0]",1,filler,alternative,
