slide_type,block_rt,workerid,response_rt,primeOShuffle,pTSentence,primeType,responseSymbols,btwncondition,trial_type,correctPOChoice,pTChoice,pOChoice,goodPTChoice,response,Answer.time_in_minutes,responseChoice,primeStrength,primeTShuffle,slide_number,pOSentence,pTwrongAnswer,pOwrongAnswer,audio,correctPChoices,responseSentence,pTSymbols,correctPTChoice,image,goodPOChoice,Answer.condition,pOSymbols
,10048,0,4578,"[1, 0]",1 + 7 = ?,0,"[0, 6, 3]",alternative,filler,True,1,0,0,,17.529116666666667,1,3,"[1, 0]",,8 + 2 = ?,"[6, 0, 0]","[5, 0, 0]",,False,Some of the symbols are diamonds.,"[8, 1, 7]",False,,0,undefined,"[10, 8, 2]"
,12391,0,5199,"[1, 0]",2 + 8 = ?,2,"[4, 9, 1]",alternative,filler,True,1,0,0,,17.529116666666667,1,3,"[1, 0]",,0 + 8 = ?,"[7, 0, 0]","[5, 0, 0]",,False,There is a heart.,"[10, 2, 8]",False,,0,undefined,"[8, 0, 8]"
,10707,0,3927,"[0, 1]",There is a spade.,2,"[2, 0, 6]",alternative,filler,True,0,1,0,,17.529116666666667,1,1,"[1, 0]",,There is a diamond.,"[0, 0, 0]","[0, 0, 0]",,True,There is a tick.,"[3, 5, 6]",True,,1,undefined,"[0, 7, 4]"
,9713,0,2972,"[0, 1]",There are four ticks.,1,"[5, 9, 2]",alternative,filler,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,There are four diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,There are four squares.,"[2, 5, 0]",True,,1,undefined,"[0, 4, 7]"
,19061,0,4994,"[0, 1]",Some of the symbols are ticks.,0,"[9, 6, 5]",alternative,response,True,1,1,1,,17.529116666666667,1,0,"[0, 1]",,Some of the symbols are hearts.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are triangles.,"[2, 8, 7]",True,,1,undefined,"[4, 3, 2]"
,12026,0,5192,"[1, 0]",Some of the symbols are clubs.,0,"[3, 9, 4]",alternative,filler,True,1,0,1,,17.529116666666667,1,0,"[0, 1]",,Some of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are spades.,"[1, 7, 4]",True,,0,undefined,"[7, 2, 5]"
,10230,0,3044,"[1, 0]",7 + 4 = ?,2,"[7, 9, 4]",alternative,filler,False,0,1,0,,17.529116666666667,1,3,"[1, 0]",,3 + 5 = ?,"[5, 0, 0]","[2, 0, 0]",,False,There is a circle.,"[11, 7, 4]",True,,0,undefined,"[8, 3, 5]"
,11767,0,3247,"[1, 0]",8 + 8 = ?,0,"[4, 1, 9]",alternative,filler,True,1,0,1,,17.529116666666667,1,3,"[0, 1]",,4 + 3 = ?,"[8, 0, 0]","[7, 0, 0]",,True,Some of the symbols are hearts.,"[16, 8, 8]",True,,0,undefined,"[7, 4, 3]"
,13594,0,7399,"[0, 1]",2 + 7 = ?,2,"[2, 7, 9]",alternative,response,False,1,0,0,,17.529116666666667,1,3,"[1, 0]",,7 + 0 = ?,"[10, 0, 0]","[6, 0, 0]",,False,There is a tick.,"[9, 2, 7]",False,,1,undefined,"[7, 7, 0]"
,10199,0,3533,"[1, 0]",Some of the symbols are squares.,0,"[5, 6, 0]",alternative,filler,True,0,0,0,,17.529116666666667,1,1,"[1, 0]",,Some of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are squares.,"[5, 6, 2]",True,,0,undefined,"[2, 8, 3]"
,9142,0,2964,"[0, 1]",There is a star.,2,"[5, 3, 6]",alternative,response,True,1,1,1,,17.529116666666667,0,0,"[0, 1]",,There is a tick.,"[0, 0, 0]","[0, 0, 0]",,True,There is a square.,"[6, 7, 9]",True,,1,undefined,"[2, 7, 9]"
,14860,0,4533,"[1, 0]",0 + 1 = ?,1,"[8, 5, 2]",alternative,filler,False,0,1,1,,17.529116666666667,1,3,"[0, 1]",,8 + 1 = ?,"[4, 0, 0]","[3, 0, 0]",,False,There are four notes.,"[1, 0, 1]",False,,0,undefined,"[9, 8, 1]"
,11667,0,4325,"[1, 0]",There are six circles.,1,"[5, 9, 2]",alternative,response,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,There are six notes.,"[0, 0, 0]","[0, 0, 0]",,True,There are four squares.,"[7, 5, 9]",True,,0,undefined,"[8, 3, 5]"
,11272,0,3487,"[1, 0]",There are four circles.,1,"[6, 3, 5]",alternative,filler,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,There are four spades.,"[0, 0, 0]","[0, 0, 0]",,True,There are four stars.,"[7, 6, 0]",True,,0,undefined,"[3, 0, 1]"
,11503,0,3121,"[1, 0]",Some of the symbols are hearts.,0,"[6, 1, 4]",alternative,response,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,Some of the symbols are diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are stars.,"[4, 6, 8]",True,,0,undefined,"[0, 5, 3]"
,11112,0,3512,"[1, 0]",All of the symbols are triangles.,0,"[5, 6, 0]",alternative,filler,True,1,0,1,,17.529116666666667,1,2,"[0, 1]",,All of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are squares.,"[9, 3, 1]",True,,0,undefined,"[7, 6, 2]"
,11868,0,3802,"[1, 0]",There is a star and a tick.,2,"[1, 9, 0]",alternative,filler,True,1,0,1,,17.529116666666667,1,2,"[0, 1]",,There is a triangle and a circle.,"[0, 0, 0]","[0, 0, 0]",,True,There is a club.,"[6, 2, 5]",True,,0,undefined,"[9, 7, 4]"
,9737,0,2894,"[0, 1]",There is a diamond and a spade.,2,"[5, 2, 0]",alternative,response,True,0,1,0,,17.529116666666667,1,2,"[1, 0]",,There is a heart and a spade.,"[0, 0, 0]","[0, 0, 0]",,True,There is a square.,"[0, 3, 1]",True,,1,undefined,"[4, 3, 0]"
,25065,0,14272,"[1, 0]",All of the symbols are circles.,0,"[9, 5, 8]",alternative,response,True,1,0,1,,17.529116666666667,1,2,"[0, 1]",,All of the symbols are squares.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are triangles.,"[7, 9, 2]",True,,0,undefined,"[5, 2, 0]"
,31804,0,6214,"[0, 1]",There is a star and a note.,2,"[5, 3, 7]",alternative,response,True,0,1,0,,17.529116666666667,1,2,"[1, 0]",,There is a triangle and a square.,"[0, 0, 0]","[0, 0, 0]",,True,There is a square.,"[6, 8, 9]",True,,1,undefined,"[9, 5, 8]"
,5787,0,1967,"[0, 1]",There is a triangle.,2,"[5, 7, 6]",alternative,response,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,There is a diamond.,"[0, 0, 0]","[0, 0, 0]",,True,There is a square.,"[9, 6, 2]",True,,1,undefined,"[0, 5, 7]"
,8106,0,4192,"[0, 1]",3 + 0 = ?,1,"[0, 8, 6]",alternative,response,False,1,0,0,,17.529116666666667,1,3,"[1, 0]",,4 + 4 = ?,"[6, 0, 0]","[1, 0, 0]",,False,There are four diamonds.,"[3, 3, 0]",False,,1,undefined,"[8, 4, 4]"
,7808,0,2473,"[0, 1]",There is a circle.,2,"[2, 6, 7]",alternative,filler,True,0,1,0,,17.529116666666667,1,0,"[1, 0]",,There is a star.,"[0, 0, 0]","[0, 0, 0]",,True,There is a tick.,"[7, 3, 9]",True,,1,undefined,"[6, 0, 2]"
,6856,0,2700,"[0, 1]",4 + 6 = ?,0,"[2, 5, 3]",alternative,response,True,0,1,0,,17.529116666666667,1,3,"[1, 0]",,7 + 0 = ?,"[6, 0, 0]","[9, 0, 0]",,True,Some of the symbols are ticks.,"[10, 4, 6]",True,,1,undefined,"[7, 7, 0]"
,7900,0,3308,"[0, 1]",There are four triangles.,1,"[6, 9, 7]",alternative,filler,True,0,1,0,,17.529116666666667,1,1,"[1, 0]",,There are four circles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four stars.,"[9, 0, 3]",True,,1,undefined,"[7, 8, 3]"
,7433,0,2582,"[1, 0]",There are six ticks.,1,"[3, 4, 7]",alternative,filler,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,There are six clubs.,"[0, 0, 0]","[0, 0, 0]",,True,There are four spades.,"[2, 8, 5]",True,,0,undefined,"[1, 9, 5]"
,8004,0,3949,"[0, 1]",9 + 7 = ?,2,"[2, 3, 7]",alternative,response,False,1,0,0,,17.529116666666667,1,3,"[1, 0]",,7 + 1 = ?,"[8, 0, 0]","[4, 0, 0]",,False,There is a tick.,"[16, 9, 7]",False,,1,undefined,"[8, 7, 1]"
,7644,0,2261,"[1, 0]",There are six circles.,1,"[7, 1, 8]",alternative,response,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,There are six ticks.,"[0, 0, 0]","[0, 0, 0]",,True,There are four circles.,"[7, 4, 2]",True,,0,undefined,"[2, 4, 5]"
,10270,0,2466,"[0, 1]",There are four triangles.,1,"[4, 2, 0]",alternative,response,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,There are four triangles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four hearts.,"[9, 4, 8]",True,,1,undefined,"[9, 1, 5]"
,6254,0,1795,"[0, 1]",There are six hearts.,1,"[6, 2, 8]",alternative,filler,True,1,1,1,,17.529116666666667,1,2,"[0, 1]",,There are six notes.,"[0, 0, 0]","[0, 0, 0]",,True,There are four stars.,"[4, 8, 7]",True,,1,undefined,"[8, 5, 6]"
,7714,0,2513,"[1, 0]",There is a note and a tick.,2,"[2, 8, 9]",alternative,filler,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,There is a diamond and a spade.,"[0, 0, 0]","[0, 0, 0]",,True,There is a tick.,"[8, 2, 3]",True,,0,undefined,"[0, 3, 2]"
,8988,0,2136,"[0, 1]",There are four ticks.,1,"[3, 1, 9]",alternative,filler,True,0,1,0,,17.529116666666667,1,0,"[1, 0]",,There are four hearts.,"[0, 0, 0]","[0, 0, 0]",,True,There are four spades.,"[2, 5, 9]",True,,1,undefined,"[4, 6, 5]"
,9378,0,3668,"[1, 0]",1 + 0 = ?,0,"[2, 9, 1]",alternative,response,False,0,1,0,,17.529116666666667,1,3,"[1, 0]",,1 + 3 = ?,"[2, 0, 0]","[7, 0, 0]",,False,Some of the symbols are ticks.,"[1, 1, 0]",True,,0,undefined,"[4, 1, 3]"
,7206,0,3520,"[1, 0]",There are four spades.,1,"[4, 2, 9]",alternative,response,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,There are four triangles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four hearts.,"[3, 1, 5]",True,,0,undefined,"[9, 6, 4]"
,8294,0,3348,"[0, 1]",All of the symbols are ticks.,0,"[4, 0, 1]",alternative,response,True,1,1,1,,17.529116666666667,1,2,"[0, 1]",,All of the symbols are triangles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are hearts.,"[2, 1, 9]",True,,1,undefined,"[9, 5, 4]"
,7660,0,1936,"[1, 0]",Some of the symbols are spades.,0,"[9, 6, 8]",alternative,filler,True,1,0,1,,17.529116666666667,1,0,"[0, 1]",,Some of the symbols are triangles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are triangles.,"[3, 8, 1]",True,,0,undefined,"[9, 4, 6]"
,7714,0,3565,"[0, 1]",Some of the symbols are ticks.,0,"[5, 3, 2]",alternative,response,True,0,1,0,,17.529116666666667,1,0,"[1, 0]",,Some of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are squares.,"[2, 4, 1]",True,,1,undefined,"[7, 3, 6]"
,6340,0,2738,"[0, 1]",8 + 1 = ?,1,"[6, 5, 2]",alternative,response,False,1,0,1,,17.529116666666667,1,3,"[0, 1]",,2 + 2 = ?,"[0, 0, 0]","[1, 0, 0]",,False,There are four stars.,"[9, 8, 1]",True,,1,undefined,"[4, 2, 2]"
,9800,0,5823,"[0, 1]",3 + 5 = ?,1,"[9, 0, 7]",alternative,filler,False,1,0,1,,17.529116666666667,1,3,"[0, 1]",,8 + 6 = ?,"[5, 0, 0]","[8, 0, 0]",,False,There are four triangles.,"[8, 3, 5]",True,,1,undefined,"[14, 8, 6]"
,6114,0,2490,"[0, 1]",7 + 1 = ?,0,"[4, 8, 1]",alternative,response,False,1,0,0,,17.529116666666667,1,3,"[1, 0]",,3 + 8 = ?,"[1, 0, 0]","[2, 0, 0]",,False,Some of the symbols are hearts.,"[8, 7, 1]",False,,1,undefined,"[11, 3, 8]"
,10268,0,4426,"[1, 0]",There are four stars.,1,"[9, 6, 2]",alternative,response,True,1,0,1,,17.529116666666667,1,0,"[0, 1]",,There are four ticks.,"[0, 0, 0]","[0, 0, 0]",,True,There are four triangles.,"[6, 9, 5]",True,,0,undefined,"[2, 4, 7]"
,7559,0,2131,"[0, 1]",There are four triangles.,1,"[5, 9, 8]",alternative,filler,True,1,1,1,,17.529116666666667,1,0,"[0, 1]",,There are four ticks.,"[0, 0, 0]","[0, 0, 0]",,True,There are four squares.,"[9, 7, 3]",True,,1,undefined,"[2, 4, 6]"
,7536,0,2458,"[1, 0]",Some of the symbols are squares.,0,"[8, 5, 3]",alternative,filler,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,Some of the symbols are notes.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are notes.,"[5, 1, 7]",True,,0,undefined,"[8, 0, 5]"
,6847,0,3807,"[1, 0]",4 + 3 = ?,0,"[3, 5, 1]",alternative,response,True,1,0,0,,17.529116666666667,1,3,"[1, 0]",,2 + 9 = ?,"[6, 0, 0]","[3, 0, 0]",,False,Some of the symbols are spades.,"[7, 4, 3]",False,,0,undefined,"[11, 2, 9]"
,8783,0,2996,"[1, 0]",Some of the symbols are triangles.,0,"[4, 7, 2]",alternative,filler,True,1,0,1,,17.529116666666667,1,0,"[0, 1]",,Some of the symbols are diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are hearts.,"[9, 4, 2]",True,,0,undefined,"[0, 4, 8]"
,6012,0,2321,"[0, 1]",There is a star.,2,"[9, 6, 1]",alternative,filler,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,There is a square.,"[0, 0, 0]","[0, 0, 0]",,True,There is a triangle.,"[6, 8, 2]",True,,1,undefined,"[5, 1, 0]"
,8878,0,2086,"[0, 1]",There is a triangle and a tick.,2,"[1, 9, 2]",alternative,filler,True,1,1,1,,17.529116666666667,1,2,"[0, 1]",,There is a spade and a star.,"[0, 0, 0]","[0, 0, 0]",,True,There is a club.,"[9, 2, 7]",True,,1,undefined,"[3, 6, 0]"
,7432,0,2292,"[0, 1]",There is a diamond.,2,"[1, 4, 6]",alternative,response,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,There is a tick.,"[0, 0, 0]","[0, 0, 0]",,True,There is a club.,"[0, 2, 6]",True,,1,undefined,"[2, 8, 6]"
,7434,0,2409,"[1, 0]",There is a square.,2,"[2, 4, 9]",alternative,filler,True,0,0,0,,17.529116666666667,1,0,"[1, 0]",,There is a note.,"[0, 0, 0]","[0, 0, 0]",,True,There is a tick.,"[5, 9, 8]",True,,0,undefined,"[8, 5, 9]"
,11165,0,2017,"[1, 0]",There is a star and a diamond.,2,"[3, 2, 1]",alternative,response,True,1,0,1,,17.529116666666667,1,2,"[0, 1]",,There is a circle and a spade.,"[0, 0, 0]","[0, 0, 0]",,True,There is a spade.,"[6, 0, 4]",True,,0,undefined,"[7, 3, 6]"
,8527,0,2569,"[1, 0]",There are four stars.,1,"[7, 5, 3]",alternative,response,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,There are four clubs.,"[0, 0, 0]","[0, 0, 0]",,True,There are four circles.,"[6, 4, 2]",True,,0,undefined,"[1, 5, 8]"
,10568,0,3566,"[1, 0]",There are six spades.,1,"[7, 1, 3]",alternative,response,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,There are six circles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four circles.,"[3, 7, 6]",True,,0,undefined,"[7, 3, 8]"
,6573,0,2598,"[1, 0]",There are four squares.,1,"[4, 8, 2]",alternative,response,True,0,0,0,,17.529116666666667,1,1,"[1, 0]",,There are four diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,There are four hearts.,"[5, 3, 4]",True,,0,undefined,"[0, 2, 7]"
,12042,0,6043,"[1, 0]",Some of the symbols are squares.,0,"[8, 1, 6]",alternative,response,True,0,0,0,,17.529116666666667,1,1,"[1, 0]",,Some of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are notes.,"[5, 3, 0]",True,,0,undefined,"[2, 5, 0]"
,7961,0,1760,"[1, 0]",There is a circle.,2,"[1, 5, 4]",alternative,filler,True,0,0,0,,17.529116666666667,1,1,"[1, 0]",,There is a spade.,"[0, 0, 0]","[0, 0, 0]",,True,There is a club.,"[7, 0, 3]",True,,0,undefined,"[3, 9, 5]"
,7964,0,2286,"[1, 0]",Some of the symbols are notes.,0,"[2, 1, 9]",alternative,response,True,1,0,1,,17.529116666666667,1,1,"[0, 1]",,Some of the symbols are spades.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are ticks.,"[8, 4, 3]",True,,0,undefined,"[3, 2, 9]"
,7653,0,3069,"[1, 0]",All of the symbols are squares.,0,"[7, 4, 5]",alternative,response,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,All of the symbols are notes.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are circles.,"[5, 2, 8]",True,,0,undefined,"[8, 4, 5]"
,5393,0,2137,"[0, 1]",3 + 2 = ?,2,"[6, 9, 0]",alternative,response,False,1,0,0,,17.529116666666667,1,3,"[1, 0]",,8 + 5 = ?,"[4, 0, 0]","[2, 0, 0]",,False,There is a star.,"[5, 3, 2]",False,,1,undefined,"[13, 8, 5]"
,7816,0,1741,"[0, 1]",There is a club.,2,"[8, 5, 1]",alternative,response,False,0,0,0,,17.529116666666667,0,0,"[1, 0]",,There is a circle.,"[0, 0, 0]","[0, 0, 0]",,False,There is a note.,"[1, 6, 8]",True,,1,undefined,"[7, 5, 6]"
,7619,0,2947,"[1, 0]",There are four spades.,1,"[6, 1, 4]",alternative,response,True,0,0,0,,17.529116666666667,1,0,"[1, 0]",,There are four circles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four stars.,"[3, 2, 0]",True,,0,undefined,"[7, 9, 6]"
,6364,0,2309,"[0, 1]",3 + 5 = ?,1,"[2, 6, 4]",alternative,filler,False,1,0,0,,17.529116666666667,1,3,"[1, 0]",,6 + 2 = ?,"[9, 0, 0]","[3, 0, 0]",,False,There are four ticks.,"[8, 3, 5]",False,,1,undefined,"[8, 6, 2]"
,6919,0,1695,"[0, 1]",There are six notes.,1,"[5, 1, 9]",alternative,filler,True,1,1,1,,17.529116666666667,1,2,"[0, 1]",,There are six spades.,"[0, 0, 0]","[0, 0, 0]",,True,There are four squares.,"[8, 2, 3]",True,,1,undefined,"[3, 1, 9]"
,11421,0,3925,"[1, 0]",All of the symbols are notes.,0,"[9, 1, 8]",alternative,response,True,1,0,1,,17.529116666666667,1,2,"[0, 1]",,All of the symbols are spades.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are triangles.,"[8, 6, 1]",True,,0,undefined,"[3, 1, 8]"
,7261,0,3073,"[1, 0]",All of the symbols are diamonds.,0,"[2, 1, 3]",alternative,filler,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,All of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are ticks.,"[0, 8, 3]",True,,0,undefined,"[2, 9, 0]"
,7940,0,2302,"[1, 0]",2 + 9 = ?,0,"[3, 4, 8]",alternative,filler,True,1,0,1,,17.529116666666667,1,3,"[0, 1]",,8 + 1 = ?,"[4, 0, 0]","[9, 0, 0]",,True,Some of the symbols are spades.,"[11, 2, 9]",True,,0,undefined,"[9, 8, 1]"
,6168,0,2036,"[1, 0]",There are six stars.,1,"[5, 7, 2]",alternative,response,True,1,0,1,,17.529116666666667,1,2,"[0, 1]",,There are six diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,There are four squares.,"[6, 5, 0]",True,,0,undefined,"[0, 1, 7]"
,8166,0,2566,"[0, 1]",There are four notes.,1,"[1, 6, 9]",alternative,response,True,0,1,0,,17.529116666666667,1,0,"[1, 0]",,There are four triangles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four clubs.,"[8, 3, 7]",True,,1,undefined,"[9, 4, 5]"
,7448,0,2631,"[0, 1]",All of the symbols are spades.,0,"[8, 5, 3]",alternative,filler,True,0,1,0,,17.529116666666667,1,2,"[1, 0]",,All of the symbols are stars.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are notes.,"[3, 5, 2]",True,,1,undefined,"[6, 1, 3]"
,7636,0,2340,"[1, 0]",There are four circles.,1,"[2, 0, 6]",alternative,filler,True,0,0,0,,17.529116666666667,1,0,"[1, 0]",,There are four ticks.,"[0, 0, 0]","[0, 0, 0]",,True,There are four ticks.,"[7, 1, 6]",True,,0,undefined,"[2, 5, 8]"
,5222,0,2050,"[0, 1]",There is a circle.,2,"[5, 9, 7]",alternative,response,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,There is a heart.,"[0, 0, 0]","[0, 0, 0]",,True,There is a square.,"[7, 1, 8]",True,,1,undefined,"[4, 6, 1]"
,5713,0,1995,"[0, 1]",There are four clubs.,1,"[1, 7, 4]",alternative,response,True,1,1,1,,17.529116666666667,1,0,"[0, 1]",,There are four circles.,"[0, 0, 0]","[0, 0, 0]",,True,There are four clubs.,"[1, 4, 5]",True,,1,undefined,"[7, 1, 3]"
,10627,0,2042,"[1, 0]",There is a circle and a diamond.,2,"[2, 0, 6]",alternative,response,True,0,0,0,,17.529116666666667,1,2,"[1, 0]",,There is a tick and a circle.,"[0, 0, 0]","[0, 0, 0]",,True,There is a tick.,"[7, 0, 4]",True,,0,undefined,"[2, 7, 3]"
,8830,0,3549,"[0, 1]",There is a note and a circle.,2,"[9, 8, 0]",alternative,filler,True,0,1,0,,17.529116666666667,1,2,"[1, 0]",,There is a diamond and a spade.,"[0, 0, 0]","[0, 0, 0]",,True,There is a triangle.,"[8, 7, 1]",True,,1,undefined,"[0, 3, 4]"
,6761,0,2349,"[0, 1]",Some of the symbols are squares.,0,"[0, 6, 7]",alternative,filler,True,0,1,0,,17.529116666666667,1,0,"[1, 0]",,Some of the symbols are spades.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are diamonds.,"[5, 2, 0]",True,,1,undefined,"[3, 2, 1]"
,9297,0,2729,"[0, 1]",Some of the symbols are clubs.,0,"[2, 4, 6]",alternative,filler,True,1,1,1,,17.529116666666667,1,1,"[0, 1]",,Some of the symbols are triangles.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are ticks.,"[1, 8, 0]",True,,1,undefined,"[9, 2, 0]"
,9063,0,2855,"[0, 1]",All of the symbols are clubs.,0,"[9, 6, 7]",alternative,filler,True,1,1,1,,17.529116666666667,1,2,"[0, 1]",,All of the symbols are clubs.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are triangles.,"[1, 9, 7]",True,,1,undefined,"[1, 9, 4]"
,8462,0,4088,"[1, 0]",There is a triangle.,2,"[2, 4, 8]",alternative,response,True,1,0,1,,17.529116666666667,1,0,"[0, 1]",,There is a triangle.,"[0, 0, 0]","[0, 0, 0]",,True,There is a tick.,"[9, 2, 1]",True,,0,undefined,"[9, 6, 4]"
,8938,0,2824,"[1, 0]",Some of the symbols are clubs.,0,"[9, 0, 4]",alternative,response,True,1,0,1,,17.529116666666667,1,0,"[0, 1]",,Some of the symbols are diamonds.,"[0, 0, 0]","[0, 0, 0]",,True,Some of the symbols are triangles.,"[1, 6, 4]",True,,0,undefined,"[0, 7, 5]"
,6949,0,2317,"[0, 1]",There is a circle.,2,"[9, 2, 7]",alternative,filler,True,1,1,1,,17.529116666666667,1,0,"[0, 1]",,There is a circle.,"[0, 0, 0]","[0, 0, 0]",,True,There is a triangle.,"[7, 5, 2]",True,,1,undefined,"[7, 6, 1]"
,7018,0,2240,"[0, 1]",There are six ticks.,1,"[3, 9, 6]",alternative,filler,True,0,1,0,,17.529116666666667,1,2,"[1, 0]",,There are six squares.,"[0, 0, 0]","[0, 0, 0]",,True,There are four spades.,"[2, 8, 7]",True,,1,undefined,"[5, 4, 6]"
