Answer.time_in_minutes,image,workerid,primeType,pTChoice,response_rt,goodPTChoice,goodPOChoice,pTwrongAnswer,responseSymbols,audio,correctPTChoice,response,responseSentence,block_rt,pOSymbols,responseChoice,trial_type,primeOShuffle,correctPChoices,btwncondition,pOChoice,pTSentence,slide_number,pTSymbols,slide_type,correctPOChoice,pOSentence,primeStrength,pOwrongAnswer,primeTShuffle,Answer.condition
3.4577,,0,0,0,113,1,1,"[2, 0, 0]","[7, 9, 4]",,False,,Some of the symbols are circles.,1217,"[15, 9, 6]",0,filler,"[0, 1]",False,exh-clausal,0,6 + 5 = ?,,"[11, 6, 5]",,False,9 + 6 = ?,3,"[8, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,202,1,0,"[1, 0, 0]","[2, 8, 7]",,False,,Some of the symbols are ticks.,747,"[9, 4, 5]",0,response,"[1, 0]",False,exh-clausal,0,7 + 4 = ?,,"[11, 7, 4]",,True,4 + 5 = ?,3,"[10, 0, 0]","[0, 1]",undefined
3.4577,,0,0,1,358,1,0,"[0, 0, 0]","[0, 5, 2]",,True,,Some of the symbols are diamonds.,2089,"[1, 9, 2]",1,filler,"[1, 0]",True,exh-clausal,0,Some of the symbols are diamonds.,,"[0, 9, 2]",,True,Some of the symbols are clubs.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,224,0,1,"[0, 0, 0]","[6, 5, 2]",,False,,There are four stars.,998,"[2, 3, 7]",1,response,"[0, 1]",False,exh-clausal,1,There are four clubs.,,"[1, 5, 4]",,True,There are four ticks.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,230,0,1,"[6, 0, 0]","[1, 8, 0]",,False,,There is a club.,718,"[8, 0, 8]",1,filler,"[0, 1]",False,exh-clausal,1,6 + 7 = ?,,"[13, 6, 7]",,True,0 + 8 = ?,3,"[1, 0, 0]","[1, 0]",undefined
3.4577,,0,0,1,204,0,1,"[0, 0, 0]","[2, 7, 0]",,False,,Some of the symbols are ticks.,742,"[3, 0, 3]",1,filler,"[0, 1]",False,exh-clausal,1,2 + 8 = ?,,"[10, 2, 8]",,True,0 + 3 = ?,3,"[4, 0, 0]","[1, 0]",undefined
3.4577,,0,1,1,207,0,0,"[0, 0, 0]","[1, 3, 7]",,False,,There are four clubs.,1042,"[1, 8, 4]",1,response,"[1, 0]",False,exh-clausal,1,There are four hearts.,,"[4, 6, 7]",,False,There are four clubs.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,246,0,0,"[0, 0, 0]","[9, 2, 1]",,False,,There is a triangle.,813,"[1, 8, 9]",1,filler,"[1, 0]",False,exh-clausal,1,"There is a tick, but there is nothing besides a tick.",,"[2, 3, 5]",,False,"There is a club, but there is nothing besides a club.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,1,274,1,0,"[9, 0, 0]","[6, 3, 1]",,True,,Some of the symbols are stars.,787,"[5, 5, 0]",1,filler,"[1, 0]",False,exh-clausal,1,3 + 7 = ?,,"[10, 3, 7]",,False,5 + 0 = ?,3,"[3, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,223,0,0,"[0, 0, 0]","[4, 2, 5]",,False,,There are four hearts.,758,"[5, 1, 2]",1,response,"[1, 0]",False,exh-clausal,1,"There are four diamonds, but there are no more than four diamonds.",,"[0, 1, 7]",,False,"There are four squares, but there are no more than four squares.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,1,265,0,1,"[6, 0, 0]","[9, 2, 4]",,False,,There are four triangles.,1054,"[8, 1, 7]",1,filler,"[0, 1]",False,exh-clausal,1,9 + 3 = ?,,"[12, 9, 3]",,True,1 + 7 = ?,3,"[2, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,247,1,0,"[0, 0, 0]","[3, 6, 9]",,True,,There is a spade.,802,"[2, 8, 4]",1,filler,"[1, 0]",False,exh-clausal,1,"There is a spade, but there is nothing besides a spade.",,"[3, 0, 2]",,False,"There is a tick, but there is nothing besides a tick.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,1,269,1,1,"[0, 0, 0]","[5, 7, 0]",,True,,Some of the symbols are squares.,766,"[1, 5, 4]",1,filler,"[0, 1]",True,exh-clausal,1,Some of the symbols are notes.,,"[8, 2, 5]",,True,Some of the symbols are clubs.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,217,0,1,"[0, 0, 0]","[7, 0, 1]",,False,,There are four circles.,798,"[8, 0, 2]",1,filler,"[0, 1]",False,exh-clausal,1,There are four squares.,,"[5, 0, 2]",,True,There are four notes.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,1,299,0,0,"[0, 0, 0]","[7, 2, 3]",,False,,Some of the symbols are circles.,3160,"[2, 8, 1]",1,response,"[1, 0]",False,exh-clausal,1,Some of the symbols are ticks.,,"[2, 4, 9]",,False,Some of the symbols are ticks.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,258,1,0,"[0, 0, 0]","[7, 1, 0]",,True,,There is a circle.,1793,"[3, 0, 6]",1,filler,"[1, 0]",False,exh-clausal,1,There is a circle.,,"[7, 5, 1]",,False,There is a spade.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,242,0,0,"[0, 0, 0]","[6, 7, 5]",,False,,There are four stars.,766,"[3, 0, 5]",1,response,"[1, 0]",False,exh-clausal,1,"There are four notes, but there are no more than four notes.",,"[8, 3, 1]",,False,"There are four spades, but there are no more than four spades.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,312,0,1,"[4, 0, 0]","[8, 1, 4]",,False,,There is a note.,2583,"[1, 1, 0]",1,response,"[0, 1]",False,exh-clausal,1,1 + 8 = ?,,"[9, 1, 8]",,True,1 + 0 = ?,3,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,342,0,1,"[0, 0, 0]","[6, 1, 7]",,False,,There is a star.,1101,"[5, 9, 0]",1,filler,"[0, 1]",False,exh-clausal,1,There is a heart.,,"[4, 2, 3]",,True,There is a square.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,1,166,1,0,"[0, 0, 0]","[3, 4, 5]",,True,,Some of the symbols are spades.,948,"[1, 0, 9]",1,response,"[1, 0]",False,exh-clausal,1,"Some of the symbols are ticks, but not all of them are ticks.",,"[2, 8, 3]",,False,"Some of the symbols are clubs, but not all of them are clubs.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,1,219,0,1,"[0, 0, 0]","[2, 7, 6]",,False,,There is a tick.,770,"[9, 8, 7]",1,filler,"[0, 1]",False,exh-clausal,1,There is a square.,,"[5, 2, 8]",,True,There is a triangle.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,258,1,0,"[0, 0, 0]","[5, 9, 7]",,True,,There is a square.,799,"[7, 6, 3]",1,response,"[1, 0]",False,exh-clausal,1,There is a triangle.,,"[9, 3, 4]",,False,There is a circle.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,1,436,0,0,"[0, 0, 0]","[5, 2, 3]",,False,,Some of the symbols are squares.,1129,"[4, 1, 7]",1,filler,"[1, 0]",False,exh-clausal,1,Some of the symbols are hearts.,,"[4, 5, 1]",,False,Some of the symbols are hearts.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,1,426,1,1,"[0, 0, 0]","[8, 7, 2]",,True,,Some of the symbols are notes.,1575,"[1, 0, 4]",1,filler,"[0, 1]",True,exh-clausal,1,Some of the symbols are spades.,,"[3, 2, 1]",,True,Some of the symbols are clubs.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,225,0,0,"[0, 0, 0]","[6, 9, 8]",,False,,There are four stars.,1093,"[3, 0, 2]",1,filler,"[1, 0]",False,exh-clausal,1,There are four stars.,,"[6, 7, 8]",,False,There are four spades.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,1,395,1,1,"[4, 0, 0]","[7, 8, 3]",,True,,There are four circles.,1027,"[3, 3, 0]",1,filler,"[0, 1]",True,exh-clausal,1,9 + 2 = ?,,"[11, 9, 2]",,True,3 + 0 = ?,3,"[9, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,4336,1,0,"[0, 0, 0]","[3, 1, 2]",,True,,There are four spades.,4897,"[7, 6, 8]",0,response,"[1, 0]",False,exh-clausal,1,There are four clubs.,,"[1, 6, 0]",,False,There are four circles.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,,5582,1,0,"[0, 0, 0]","[5, 0, 2]",,False,,,1246,"[6, 1, 8]",0,filler,"[1, 0]",False,exh-clausal,,,,"[4, 2, 8]",,False,There are four stars.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,25,0,1,"[0, 0, 0]","[7, 3, 5]",,True,,Some of the symbols are circles.,3715,"[7, 4, 5]",0,response,"[0, 1]",False,exh-clausal,0,Some of the symbols are squares.,,"[5, 9, 3]",,False,Some of the symbols are circles.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,0,1,1,"[7, 0, 0]","[2, 1, 0]",,False,,There are four ticks.,134,"[9, 8, 1]",0,response,"[0, 1]",False,exh-clausal,0,4 + 9 = ?,,"[13, 4, 9]",,False,8 + 1 = ?,3,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,6,1,1,"[0, 0, 0]","[5, 6, 7]",,False,,Some of the symbols are squares.,23,"[5, 9, 1]",0,response,"[0, 1]",False,exh-clausal,0,Some of the symbols are ticks.,,"[2, 7, 3]",,False,Some of the symbols are squares.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,145,1,0,"[0, 0, 0]","[0, 3, 8]",,False,,Some of the symbols are diamonds.,1254,"[0, 9, 8]",0,filler,"[1, 0]",False,exh-clausal,0,Some of the symbols are circles.,,"[7, 3, 9]",,True,Some of the symbols are diamonds.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,253,0,1,"[0, 0, 0]","[4, 1, 2]",,True,,Some of the symbols are hearts.,675,"[5, 4, 3]",0,response,"[0, 1]",False,exh-clausal,0,"Some of the symbols are spades, but not all of them are spades.",,"[3, 7, 1]",,False,"Some of the symbols are squares, but not all of them are squares.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,0,200,0,0,"[0, 0, 0]","[4, 7, 9]",,True,,There is a heart.,569,"[1, 4, 0]",0,response,"[1, 0]",True,exh-clausal,0,There is a star.,,"[6, 9, 7]",,True,There is a club.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,199,1,1,"[0, 0, 0]","[8, 3, 2]",,False,,There are four notes.,614,"[3, 1, 2]",0,response,"[0, 1]",False,exh-clausal,0,"There are four triangles, but there are no more than four triangles.",,"[9, 6, 2]",,False,"There are four spades, but there are no more than four spades.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,305,1,0,"[0, 0, 0]","[3, 0, 2]",,False,,There is a spade.,908,"[3, 6, 7]",0,response,"[1, 0]",False,exh-clausal,0,There is a note.,,"[8, 6, 1]",,True,There is a spade.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,294,0,1,"[0, 0, 0]","[5, 1, 2]",,False,,There are four squares.,752,"[5, 1, 3]",1,filler,"[0, 1]",False,exh-clausal,1,There are four hearts.,,"[4, 1, 8]",,True,There are four squares.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,1,249,1,0,"[4, 0, 0]","[0, 9, 1]",,True,,There are four diamonds.,826,"[9, 9, 0]",1,filler,"[1, 0]",False,exh-clausal,1,7 + 7 = ?,,"[14, 7, 7]",,False,9 + 0 = ?,3,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,237,1,1,"[2, 0, 0]","[6, 5, 7]",,True,,There are four stars.,676,"[11, 4, 7]",1,response,"[0, 1]",True,exh-clausal,1,8 + 8 = ?,,"[16, 8, 8]",,True,4 + 7 = ?,3,"[6, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,229,1,1,"[0, 0, 0]","[1, 2, 4]",,True,,There are four clubs.,698,"[8, 2, 9]",1,filler,"[0, 1]",True,exh-clausal,1,There are four hearts.,,"[4, 1, 5]",,True,There are four notes.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,1,252,1,1,"[0, 0, 0]","[1, 4, 8]",,True,,Some of the symbols are clubs.,757,"[4, 6, 8]",1,filler,"[0, 1]",True,exh-clausal,1,Some of the symbols are triangles.,,"[9, 5, 0]",,True,Some of the symbols are hearts.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,1,237,1,1,"[0, 0, 0]","[8, 2, 5]",,True,,Some of the symbols are notes.,701,"[5, 9, 0]",1,response,"[0, 1]",True,exh-clausal,1,Some of the symbols are spades.,,"[3, 5, 1]",,True,Some of the symbols are squares.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,1,224,1,1,"[0, 0, 0]","[1, 2, 8]",,True,,There are four clubs.,2396,"[6, 2, 9]",1,filler,"[0, 1]",True,exh-clausal,1,"There are four hearts, but there are no more than four hearts.",,"[4, 2, 9]",,True,"There are four stars, but there are no more than four stars.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,1,286,0,0,"[0, 0, 0]","[0, 8, 5]",,False,,There is a diamond.,712,"[1, 2, 8]",0,filler,"[1, 0]",False,exh-clausal,1,There is a club.,,"[1, 4, 0]",,False,There is a club.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,215,0,0,"[1, 0, 0]","[3, 2, 8]",,True,,There are four spades.,632,"[11, 3, 8]",0,filler,"[1, 0]",True,exh-clausal,0,8 + 8 = ?,,"[16, 8, 8]",,True,3 + 8 = ?,3,"[2, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,205,1,0,"[5, 0, 0]","[9, 1, 0]",,False,,Some of the symbols are triangles.,823,"[14, 8, 6]",0,response,"[1, 0]",False,exh-clausal,0,7 + 4 = ?,,"[11, 7, 4]",,True,8 + 6 = ?,3,"[7, 0, 0]","[0, 1]",undefined
3.4577,,0,1,0,316,0,0,"[0, 0, 0]","[7, 1, 4]",,True,,There are four circles.,851,"[5, 0, 6]",0,response,"[1, 0]",True,exh-clausal,0,There are four squares.,,"[5, 1, 8]",,True,There are four squares.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,339,0,0,"[0, 0, 0]","[8, 9, 3]",,True,,Some of the symbols are notes.,818,"[5, 4, 0]",0,filler,"[1, 0]",True,exh-clausal,0,Some of the symbols are circles.,,"[7, 3, 5]",,True,Some of the symbols are squares.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,170,0,0,"[0, 0, 0]","[8, 1, 9]",,True,,There are four notes.,753,"[1, 3, 8]",0,filler,"[1, 0]",True,exh-clausal,0,"There are four squares, but there are no more than four squares.",,"[5, 3, 8]",,True,"There are four clubs, but there are no more than four clubs.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,0,416,0,0,"[0, 0, 0]","[5, 7, 6]",,True,,There is a square.,858,"[8, 4, 6]",0,filler,"[1, 0]",True,exh-clausal,0,There is a note.,,"[8, 7, 4]",,True,There is a note.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,0,227,1,0,"[0, 0, 0]","[4, 1, 3]",,False,,There is a heart.,881,"[1, 9, 7]",0,response,"[1, 0]",False,exh-clausal,0,There is a tick.,,"[2, 5, 1]",,True,There is a club.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,1,261,1,1,"[8, 0, 0]","[8, 0, 9]",,True,,There is a note.,789,"[6, 2, 4]",1,filler,"[0, 1]",False,exh-clausal,0,0 + 1 = ?,,"[1, 0, 1]",,False,2 + 4 = ?,3,"[3, 0, 0]","[0, 1]",undefined
3.4577,,0,2,1,209,0,1,"[0, 0, 0]","[6, 4, 1]",,False,,There is a star.,791,"[7, 1, 6]",1,response,"[0, 1]",False,exh-clausal,1,"There is a spade, but there is nothing besides a spade.",,"[3, 7, 8]",,True,"There is a circle, but there is nothing besides a circle.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,380,0,0,"[0, 0, 0]","[0, 5, 3]",,False,,There is a diamond.,819,"[7, 5, 1]",1,response,"[1, 0]",False,exh-clausal,1,"There is a circle, but there is nothing besides a circle.",,"[7, 8, 5]",,False,"There is a circle, but there is nothing besides a circle.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,0,1,365,1,1,"[0, 0, 0]","[6, 5, 8]",,True,,Some of the symbols are stars.,831,"[5, 1, 8]",1,response,"[0, 1]",True,exh-clausal,1,Some of the symbols are clubs.,,"[1, 2, 0]",,True,Some of the symbols are squares.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,1,229,0,1,"[7, 0, 0]","[8, 6, 9]",,False,,There is a note.,699,"[13, 7, 6]",1,response,"[0, 1]",False,exh-clausal,1,9 + 1 = ?,,"[10, 9, 1]",,True,7 + 6 = ?,3,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,2,1,370,1,1,"[0, 0, 0]","[1, 7, 5]",,True,,There is a club.,814,"[3, 4, 0]",1,response,"[0, 1]",True,exh-clausal,1,There is a spade.,,"[3, 6, 4]",,True,There is a spade.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,1,336,1,1,"[0, 0, 0]","[9, 2, 1]",,True,,There is a triangle.,981,"[5, 3, 2]",1,filler,"[0, 1]",True,exh-clausal,1,"There is a circle, but there is nothing besides a circle.",,"[7, 3, 4]",,True,"There is a square, but there is nothing besides a square.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,437,1,0,"[0, 0, 0]","[5, 2, 0]",,False,,There is a square.,957,"[8, 7, 2]",0,filler,"[1, 0]",False,exh-clausal,1,There is a star.,,"[6, 4, 9]",,False,There is a note.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,236,1,0,"[0, 0, 0]","[1, 6, 5]",,False,,There is a club.,662,"[6, 8, 1]",0,response,"[1, 0]",False,exh-clausal,0,There is a circle.,,"[7, 2, 6]",,True,There is a star.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,1,0,158,1,1,"[0, 0, 0]","[5, 2, 1]",,False,,There are four squares.,854,"[5, 9, 6]",0,response,"[0, 1]",False,exh-clausal,0,"There are four spades, but there are no more than four spades.",,"[3, 7, 5]",,False,"There are four squares, but there are no more than four squares.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,73,0,1,"[8, 0, 0]","[7, 3, 1]",,True,,There is a circle.,688,"[8, 8, 0]",0,response,"[0, 1]",False,exh-clausal,0,0 + 0 = ?,,"[0, 0, 0]",,False,8 + 0 = ?,3,"[5, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,244,0,1,"[0, 0, 0]","[9, 7, 6]",,True,,Some of the symbols are triangles.,777,"[1, 6, 9]",0,filler,"[0, 1]",False,exh-clausal,0,"Some of the symbols are hearts, but not all of them are hearts.",,"[4, 9, 1]",,False,"Some of the symbols are clubs, but not all of them are clubs.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,283,0,0,"[0, 0, 0]","[3, 8, 6]",,True,,There are four spades.,853,"[0, 6, 3]",0,filler,"[1, 0]",True,exh-clausal,0,There are four stars.,,"[6, 5, 7]",,True,There are four diamonds.,0,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,165,0,1,"[1, 0, 0]","[1, 6, 3]",,True,,There are four clubs.,760,"[11, 4, 7]",0,response,"[0, 1]",False,exh-clausal,0,2 + 7 = ?,,"[9, 2, 7]",,False,4 + 7 = ?,3,"[2, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,308,1,1,"[0, 0, 0]","[1, 7, 3]",,False,,Some of the symbols are clubs.,800,"[2, 6, 8]",0,response,"[0, 1]",False,exh-clausal,0,Some of the symbols are clubs.,,"[1, 3, 9]",,False,Some of the symbols are ticks.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,192,1,0,"[10, 0, 0]","[4, 0, 8]",,False,,There is a heart.,809,"[8, 8, 0]",0,response,"[1, 0]",False,exh-clausal,0,5 + 4 = ?,,"[9, 5, 4]",,True,8 + 0 = ?,3,"[7, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,236,0,0,"[0, 0, 0]","[9, 8, 1]",,True,,There is a triangle.,652,"[4, 1, 9]",0,filler,"[1, 0]",True,exh-clausal,0,"There is a square, but there is nothing besides a square.",,"[5, 9, 8]",,True,"There is a heart, but there is nothing besides a heart.",2,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,228,1,1,"[0, 0, 0]","[7, 2, 4]",,False,,There are four circles.,957,"[2, 7, 0]",0,filler,"[0, 1]",False,exh-clausal,0,There are four squares.,,"[5, 1, 8]",,False,There are four ticks.,1,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,2,0,237,1,0,"[1, 0, 0]","[3, 5, 4]",,False,,There is a spade.,740,"[6, 3, 3]",0,filler,"[1, 0]",False,exh-clausal,0,5 + 5 = ?,,"[10, 5, 5]",,True,3 + 3 = ?,3,"[8, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,236,0,0,"[0, 0, 0]","[5, 3, 7]",,True,,Some of the symbols are squares.,691,"[1, 0, 3]",0,response,"[1, 0]",True,exh-clausal,0,Some of the symbols are clubs.,,"[1, 9, 6]",,True,Some of the symbols are clubs.,1,"[0, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,314,1,0,"[0, 0, 0]","[4, 5, 0]",,False,,There are four hearts.,791,"[2, 9, 6]",0,response,"[1, 0]",False,exh-clausal,0,There are four stars.,,"[6, 9, 3]",,True,There are four ticks.,0,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,258,0,0,"[5, 0, 0]","[5, 9, 2]",,True,,Some of the symbols are squares.,744,"[10, 2, 8]",0,response,"[1, 0]",True,exh-clausal,0,7 + 4 = ?,,"[11, 7, 4]",,True,2 + 8 = ?,3,"[3, 0, 0]","[1, 0]",undefined
3.4577,,0,0,0,270,1,0,"[0, 0, 0]","[6, 8, 0]",,False,,Some of the symbols are stars.,707,"[6, 7, 9]",0,filler,"[1, 0]",False,exh-clausal,0,"Some of the symbols are clubs, but not all of them are clubs.",,"[1, 8, 6]",,True,"Some of the symbols are stars, but not all of them are stars.",2,"[0, 0, 0]","[0, 1]",undefined
3.4577,,0,0,0,217,0,0,"[1, 0, 0]","[9, 6, 4]",,True,,Some of the symbols are triangles.,691,"[7, 0, 7]",0,response,"[1, 0]",True,exh-clausal,0,1 + 7 = ?,,"[8, 1, 7]",,True,0 + 7 = ?,3,"[5, 0, 0]","[1, 0]",undefined
3.4577,,0,1,0,221,1,1,"[1, 0, 0]","[5, 4, 8]",,False,,There are four squares.,738,"[6, 1, 5]",0,response,"[0, 1]",False,exh-clausal,0,3 + 5 = ?,,"[8, 3, 5]",,False,1 + 5 = ?,3,"[5, 0, 0]","[0, 1]",undefined
