correctPOChoice,pTChoice,primeStrength,pOSentence,responseSentence,response_rt,correctPChoices,primeType,Answer.time_in_minutes,pTSymbols,responseSymbols,trial_type,goodPTChoice,correctPTChoice,primeTShuffle,pTwrongAnswer,slide_number,pOSymbols,block_rt,goodPOChoice,audio,Answer.condition,slide_type,btwncondition,pOwrongAnswer,responseChoice,response,pTSentence,image,primeOShuffle,workerid,pOChoice
True,0,2,"There are four stars, but there are no more than four stars.",There are four notes.,1656,True,1,10.9432,"[5, 6, 3]","[8, 4, 5]",response,0,True,"[1, 0]","[0, 0, 0]",,"[6, 3, 5]",5320,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four squares, but there are no more than four squares.",,"[1, 0]",0,0
True,1,3,9 + 3 = ?,There are four spades.,1797,True,1,10.9432,"[4, 1, 3]","[3, 2, 0]",filler,1,True,"[0, 1]","[6, 0, 0]",,"[12, 9, 3]",4619,0,,undefined,,exh-clausal,"[1, 0, 0]",1,,1 + 3 = ?,,"[1, 0]",0,0
True,1,0,There are four clubs.,There are four triangles.,1614,True,1,10.9432,"[9, 5, 4]","[9, 6, 4]",response,1,True,"[0, 1]","[0, 0, 0]",,"[1, 4, 9]",5440,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four triangles.,,"[0, 1]",0,1
False,0,3,0 + 7 = ?,There are four stars.,1340,False,1,10.9432,"[10, 9, 1]","[6, 9, 8]",response,0,True,"[1, 0]","[5, 0, 0]",,"[7, 0, 7]",3885,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,9 + 1 = ?,,"[1, 0]",0,1
True,0,1,There are four triangles.,There are four spades.,1814,True,1,10.9432,"[9, 8, 4]","[3, 2, 4]",response,0,True,"[1, 0]","[0, 0, 0]",,"[9, 2, 7]",5544,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four triangles.,,"[0, 1]",0,1
True,1,2,"There is a club, but there is nothing besides a club.",There is a star.,2000,True,2,10.9432,"[3, 1, 5]","[6, 4, 2]",response,1,True,"[0, 1]","[0, 0, 0]",,"[1, 0, 2]",5397,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There is a spade, but there is nothing besides a spade.",,"[0, 1]",0,1
True,1,1,There is a note.,There is a note.,1958,True,2,10.9432,"[7, 4, 0]","[8, 9, 7]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[8, 5, 7]",5084,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a circle.,,"[1, 0]",0,0
True,0,3,4 + 2 = ?,There is a diamond.,1672,False,2,10.9432,"[7, 1, 6]","[0, 6, 1]",filler,1,False,"[0, 1]","[2, 0, 0]",,"[6, 4, 2]",4417,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,1 + 6 = ?,,"[0, 1]",0,1
True,1,2,"There is a note, but there is nothing besides a note.",There is a star.,2124,True,2,10.9432,"[5, 6, 3]","[6, 4, 5]",response,1,True,"[0, 1]","[0, 0, 0]",,"[8, 4, 0]",5154,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There is a square, but there is nothing besides a square.",,"[0, 1]",0,1
True,0,1,Some of the symbols are hearts.,Some of the symbols are diamonds.,1868,True,0,10.9432,"[0, 6, 4]","[0, 5, 4]",response,0,True,"[1, 0]","[0, 0, 0]",,"[4, 2, 7]",5755,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are diamonds.,,"[0, 1]",0,1
True,0,0,Some of the symbols are notes.,Some of the symbols are spades.,1790,True,0,10.9432,"[1, 0, 8]","[3, 7, 2]",response,0,True,"[1, 0]","[0, 0, 0]",,"[8, 7, 5]",6496,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are clubs.,,"[0, 1]",0,1
True,0,1,There are four triangles.,There are four clubs.,1479,True,1,10.9432,"[9, 0, 6]","[1, 5, 0]",response,0,True,"[1, 0]","[0, 0, 0]",,"[9, 5, 3]",5110,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four triangles.,,"[1, 0]",0,0
True,0,2,"Some of the symbols are squares, but not all of them are squares.",Some of the symbols are triangles.,1892,True,0,10.9432,"[6, 1, 2]","[9, 1, 3]",response,0,True,"[1, 0]","[0, 0, 0]",,"[5, 4, 7]",5789,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are stars, but not all of them are stars.",,"[0, 1]",0,1
True,1,1,There are four ticks.,There are four hearts.,1549,True,1,10.9432,"[3, 0, 7]","[4, 9, 0]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[2, 7, 9]",4509,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four spades.,,"[0, 1]",0,1
True,1,1,Some of the symbols are squares.,Some of the symbols are notes.,1678,True,0,10.9432,"[2, 6, 4]","[8, 7, 4]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[5, 6, 9]",5196,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are ticks.,,"[0, 1]",0,1
True,0,2,"Some of the symbols are stars, but not all of them are stars.",Some of the symbols are stars.,2069,True,0,10.9432,"[7, 9, 3]","[6, 2, 7]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[6, 3, 5]",6528,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are circles, but not all of them are circles.",,"[1, 0]",0,0
True,0,2,"There is a circle, but there is nothing besides a circle.",There is a note.,1613,True,2,10.9432,"[1, 8, 3]","[8, 1, 5]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[7, 4, 5]",5002,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There is a club, but there is nothing besides a club.",,"[1, 0]",0,0
True,0,2,"There is a diamond, but there is nothing besides a diamond.",There is a circle.,2390,True,2,10.9432,"[7, 8, 5]","[7, 9, 5]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[0, 5, 7]",6714,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There is a circle, but there is nothing besides a circle.",,"[0, 1]",0,1
True,0,0,Some of the symbols are diamonds.,Some of the symbols are triangles.,1905,True,0,10.9432,"[0, 4, 5]","[9, 3, 1]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[0, 8, 1]",6239,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are diamonds.,,"[0, 1]",0,1
True,0,0,There are four circles.,There are four hearts.,1551,True,1,10.9432,"[3, 9, 0]","[4, 2, 9]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[7, 6, 1]",5873,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four spades.,,"[1, 0]",0,0
True,1,3,2 + 1 = ?,There is a circle.,1907,False,2,10.9432,"[1, 1, 0]","[7, 5, 8]",response,0,False,"[1, 0]","[8, 0, 0]",,"[3, 2, 1]",4782,0,,undefined,,exh-clausal,"[4, 0, 0]",1,,1 + 0 = ?,,"[1, 0]",0,0
True,0,0,Some of the symbols are notes.,Some of the symbols are ticks.,1564,True,0,10.9432,"[3, 2, 7]","[2, 5, 1]",response,0,True,"[1, 0]","[0, 0, 0]",,"[8, 3, 7]",5367,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,Some of the symbols are spades.,,"[0, 1]",0,1
True,1,0,There is a triangle.,There is a square.,2257,True,2,10.9432,"[8, 6, 7]","[5, 2, 0]",response,1,True,"[0, 1]","[0, 0, 0]",,"[9, 4, 0]",6588,1,,undefined,,exh-clausal,"[0, 0, 0]",0,,There is a note.,,"[0, 1]",0,1
True,1,3,1 + 1 = ?,There is a triangle.,2958,True,2,10.9432,"[4, 4, 0]","[9, 4, 8]",response,1,True,"[0, 1]","[0, 0, 0]",,"[2, 1, 1]",5856,0,,undefined,,exh-clausal,"[6, 0, 0]",1,,4 + 0 = ?,,"[1, 0]",0,0
False,0,3,4 + 6 = ?,Some of the symbols are squares.,1935,False,0,10.9432,"[9, 3, 6]","[5, 1, 8]",filler,0,True,"[1, 0]","[7, 0, 0]",,"[10, 4, 6]",6020,0,,undefined,,exh-clausal,"[2, 0, 0]",1,,3 + 6 = ?,,"[1, 0]",0,1
True,1,3,1 + 1 = ?,Some of the symbols are circles.,2880,False,0,10.9432,"[11, 4, 7]","[7, 3, 2]",response,0,False,"[1, 0]","[4, 0, 0]",,"[2, 1, 1]",6778,0,,undefined,,exh-clausal,"[6, 0, 0]",1,,4 + 7 = ?,,"[1, 0]",0,0
True,0,2,"There are four triangles, but there are no more than four triangles.",There are four ticks.,1521,True,1,10.9432,"[1, 9, 3]","[2, 5, 6]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[9, 2, 0]",6362,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four clubs, but there are no more than four clubs.",,"[1, 0]",0,0
True,1,3,1 + 2 = ?,There are four ticks.,2002,True,1,10.9432,"[14, 7, 7]","[2, 1, 7]",response,1,True,"[0, 1]","[6, 0, 0]",,"[3, 1, 2]",5407,0,,undefined,,exh-clausal,"[5, 0, 0]",1,,7 + 7 = ?,,"[1, 0]",0,0
True,1,2,"Some of the symbols are spades, but not all of them are spades.",Some of the symbols are hearts.,1791,True,0,10.9432,"[5, 9, 3]","[4, 6, 1]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[3, 2, 7]",5227,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are squares, but not all of them are squares.",,"[0, 1]",0,1
True,1,2,"There are four stars, but there are no more than four stars.",There are four squares.,2614,True,1,10.9432,"[7, 1, 0]","[5, 0, 9]",response,1,True,"[0, 1]","[0, 0, 0]",,"[6, 2, 1]",6697,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There are four circles, but there are no more than four circles.",,"[0, 1]",0,1
True,0,0,There is a star.,There is a square.,1548,True,2,10.9432,"[8, 4, 6]","[5, 8, 3]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[6, 8, 0]",5031,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a note.,,"[0, 1]",0,1
True,0,0,There are four clubs.,There are four triangles.,1478,True,1,10.9432,"[9, 6, 4]","[9, 4, 5]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[1, 4, 8]",5417,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four triangles.,,"[0, 1]",0,1
True,1,2,"There is a square, but there is nothing besides a square.",There is a circle.,1626,True,2,10.9432,"[6, 0, 7]","[7, 4, 3]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[5, 6, 7]",7054,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"There is a star, but there is nothing besides a star.",,"[0, 1]",0,1
True,1,0,There is a heart.,There is a note.,1860,True,2,10.9432,"[8, 9, 2]","[8, 4, 2]",response,1,True,"[0, 1]","[0, 0, 0]",,"[4, 6, 8]",5781,0,,undefined,,exh-clausal,"[0, 0, 0]",0,,There is a note.,,"[1, 0]",0,0
True,1,0,There are four squares.,There are four clubs.,3344,True,1,10.9432,"[7, 6, 4]","[1, 3, 4]",response,1,True,"[0, 1]","[0, 0, 0]",,"[5, 0, 9]",7492,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There are four circles.,,"[1, 0]",0,0
True,1,2,"Some of the symbols are ticks, but not all of them are ticks.",Some of the symbols are notes.,2485,True,0,10.9432,"[0, 6, 7]","[8, 1, 4]",response,1,True,"[0, 1]","[0, 0, 0]",,"[2, 1, 3]",6170,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are diamonds, but not all of them are diamonds.",,"[0, 1]",0,1
True,1,1,There is a spade.,There is a note.,2125,True,2,10.9432,"[1, 5, 9]","[8, 7, 5]",filler,1,True,"[0, 1]","[0, 0, 0]",,"[3, 8, 4]",4976,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a club.,,"[1, 0]",0,0
True,1,3,6 + 4 = ?,Some of the symbols are hearts.,2070,False,0,10.9432,"[8, 8, 0]","[4, 3, 8]",response,0,False,"[1, 0]","[0, 0, 0]",,"[10, 6, 4]",5079,0,,undefined,,exh-clausal,"[8, 0, 0]",1,,8 + 0 = ?,,"[1, 0]",0,0
True,0,0,There is a diamond.,There is a spade.,1580,True,2,10.9432,"[5, 2, 7]","[3, 5, 9]",response,0,True,"[1, 0]","[0, 0, 0]",,"[0, 4, 5]",5219,0,,undefined,,exh-clausal,"[0, 0, 0]",0,,There is a square.,,"[1, 0]",0,0
True,0,2,"Some of the symbols are ticks, but not all of them are ticks.",Some of the symbols are stars.,1945,True,0,10.9432,"[8, 6, 7]","[6, 0, 5]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[2, 6, 3]",5038,0,,undefined,,exh-clausal,"[0, 0, 0]",1,,"Some of the symbols are notes, but not all of them are notes.",,"[1, 0]",0,0
False,0,3,2 + 0 = ?,There are four stars.,2178,False,1,10.9432,"[8, 3, 5]","[6, 7, 9]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[2, 2, 0]",4859,0,,undefined,,exh-clausal,"[4, 0, 0]",1,,3 + 5 = ?,,"[1, 0]",0,1
True,1,3,6 + 9 = ?,Some of the symbols are hearts.,1906,True,0,10.9432,"[17, 9, 8]","[4, 6, 5]",filler,1,True,"[0, 1]","[4, 0, 0]",,"[15, 6, 9]",5282,0,,undefined,,exh-clausal,"[7, 0, 0]",1,,9 + 8 = ?,,"[1, 0]",0,0
True,0,3,9 + 9 = ?,There are four triangles.,1432,False,1,10.9432,"[10, 1, 9]","[9, 6, 0]",filler,1,False,"[0, 1]","[1, 0, 0]",,"[18, 9, 9]",4353,1,,undefined,,exh-clausal,"[4, 0, 0]",1,,1 + 9 = ?,,"[0, 1]",0,1
True,1,3,4 + 7 = ?,There is a club.,2061,False,2,10.9432,"[4, 1, 3]","[1, 8, 3]",filler,0,False,"[1, 0]","[9, 0, 0]",,"[11, 4, 7]",4877,0,,undefined,,exh-clausal,"[9, 0, 0]",0,,1 + 3 = ?,,"[1, 0]",0,0
True,0,1,There is a triangle.,There is a spade.,1494,True,2,10.9432,"[6, 4, 1]","[3, 6, 7]",filler,0,True,"[1, 0]","[0, 0, 0]",,"[9, 0, 3]",4539,1,,undefined,,exh-clausal,"[0, 0, 0]",1,,There is a star.,,"[0, 1]",0,1
