pTSymbols,primeType,responseSentence,primeOShuffle,trial_type,pTChoice,slide_type,goodPTChoice,primeStrength,pOSymbols,workerid,pTwrongAnswer,correctPTChoice,correctPOChoice,correctPChoices,pOSentence,pOChoice,slide_number,response,responseChoice,image,pTSentence,audio,block_rt,Answer.condition,btwncondition,goodPOChoice,responseSymbols,Answer.time_in_minutes,response_rt,pOwrongAnswer,primeTShuffle
"[0, 6, 2]",2,There is a tick.,"[0, 1]",response,1,,1,0,"[4, 5, 7]",0,"[0, 0, 0]",True,True,True,There is a heart.,1,,,0,,There is a diamond.,,4416,undefined,exh-subclausal,1,"[2, 3, 6]",10.74395,1176,"[0, 0, 0]","[0, 1]"
"[7, 6, 9]",0,Some of the symbols are circles.,"[1, 0]",filler,0,,0,2,"[1, 5, 0]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are clubs.,0,,,1,,Some but not all of the symbols are circles.,,8144,undefined,exh-subclausal,0,"[7, 3, 1]",10.74395,2935,"[0, 0, 0]","[1, 0]"
"[5, 9, 2]",0,Some of the symbols are notes.,"[0, 1]",response,1,,1,0,"[6, 0, 7]",0,"[0, 0, 0]",True,True,True,Some of the symbols are stars.,1,,,1,,Some of the symbols are squares.,,9584,undefined,exh-subclausal,1,"[8, 7, 1]",10.74395,3488,"[0, 0, 0]","[0, 1]"
"[2, 6, 0]",0,Some of the symbols are circles.,"[1, 0]",response,1,,1,2,"[3, 5, 1]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are spades.,0,,,1,,Some but not all of the symbols are ticks.,,6688,undefined,exh-subclausal,0,"[7, 4, 1]",10.74395,1992,"[0, 0, 0]","[0, 1]"
"[4, 8, 3]",1,There are four diamonds.,"[0, 1]",response,1,,1,2,"[7, 3, 4]",0,"[0, 0, 0]",True,True,True,There are four but no more than four circles.,1,,,1,,There are four but no more than four hearts.,,5432,undefined,exh-subclausal,1,"[0, 4, 6]",10.74395,1824,"[0, 0, 0]","[0, 1]"
"[6, 6, 0]",1,There are four ticks.,"[1, 0]",response,1,,0,3,"[7, 4, 3]",0,"[9, 0, 0]",False,True,False,4 + 3 = ?,0,,,1,,6 + 0 = ?,,4880,undefined,exh-subclausal,0,"[2, 1, 3]",10.74395,1336,"[5, 0, 0]","[1, 0]"
"[3, 5, 0]",2,There is a square.,"[1, 0]",filler,0,,0,2,"[8, 5, 1]",0,"[0, 0, 0]",True,True,True,There is a note but nothing else.,0,,,1,,There is a spade but nothing else.,,3776,undefined,exh-subclausal,0,"[5, 0, 7]",10.74395,1224,"[0, 0, 0]","[1, 0]"
"[4, 6, 2]",2,There is a tick.,"[1, 0]",filler,1,,1,1,"[1, 3, 0]",0,"[0, 0, 0]",True,True,True,There is a club.,0,,,1,,There is a heart.,,3888,undefined,exh-subclausal,0,"[2, 9, 8]",10.74395,1320,"[0, 0, 0]","[0, 1]"
"[5, 3, 6]",1,There are four circles.,"[0, 1]",filler,1,,1,1,"[2, 6, 5]",0,"[0, 0, 0]",True,True,True,There are four ticks.,1,,,1,,There are four squares.,,5144,undefined,exh-subclausal,1,"[7, 8, 6]",10.74395,1592,"[0, 0, 0]","[0, 1]"
"[3, 5, 6]",2,There is a tick.,"[1, 0]",response,0,,0,0,"[1, 7, 3]",0,"[0, 0, 0]",True,True,True,There is a club.,0,,,1,,There is a spade.,,7183,undefined,exh-subclausal,0,"[2, 3, 7]",10.74395,2119,"[0, 0, 0]","[1, 0]"
"[9, 6, 3]",1,There are four stars.,"[0, 1]",filler,1,,1,2,"[9, 2, 3]",0,"[0, 0, 0]",True,True,True,There are four but no more than four triangles.,1,,,1,,There are four but no more than four triangles.,,5800,undefined,exh-subclausal,1,"[6, 9, 1]",10.74395,1415,"[0, 0, 0]","[0, 1]"
"[3, 1, 4]",0,Some of the symbols are circles.,"[0, 1]",filler,1,,1,1,"[6, 9, 7]",0,"[0, 0, 0]",True,True,True,Some of the symbols are stars.,1,,,1,,Some of the symbols are spades.,,9169,undefined,exh-subclausal,1,"[7, 2, 8]",10.74395,2360,"[0, 0, 0]","[0, 1]"
"[5, 7, 4]",1,There are four ticks.,"[1, 0]",filler,1,,1,0,"[5, 0, 1]",0,"[0, 0, 0]",True,True,True,There are four squares.,0,,,1,,There are four squares.,,3920,undefined,exh-subclausal,0,"[2, 0, 7]",10.74395,1200,"[0, 0, 0]","[0, 1]"
"[7, 2, 5]",0,Some of the symbols are hearts.,"[1, 0]",response,0,,0,3,"[5, 3, 2]",0,"[1, 0, 0]",True,False,False,3 + 2 = ?,1,,,1,,2 + 5 = ?,,5848,undefined,exh-subclausal,0,"[4, 9, 1]",10.74395,2447,"[0, 0, 0]","[1, 0]"
"[8, 1, 7]",0,Some of the symbols are spades.,"[0, 1]",filler,1,,0,3,"[7, 1, 6]",0,"[5, 0, 0]",False,False,False,1 + 6 = ?,0,,,1,,1 + 7 = ?,,4271,undefined,exh-subclausal,1,"[3, 5, 0]",10.74395,1631,"[1, 0, 0]","[1, 0]"
"[7, 5, 2]",1,There are four spades.,"[1, 0]",response,1,,0,3,"[13, 7, 6]",0,"[9, 0, 0]",False,True,False,7 + 6 = ?,0,,,1,,5 + 2 = ?,,6576,undefined,exh-subclausal,0,"[3, 6, 1]",10.74395,2494,"[1, 0, 0]","[1, 0]"
"[4, 6, 3]",2,There is a note.,"[1, 0]",filler,1,,1,2,"[2, 8, 1]",0,"[0, 0, 0]",True,True,True,There is a tick but nothing else.,0,,,1,,There is a heart but nothing else.,,4217,undefined,exh-subclausal,0,"[8, 1, 2]",10.74395,1751,"[0, 0, 0]","[0, 1]"
"[1, 0, 5]",2,There is a diamond.,"[0, 1]",response,0,,0,2,"[8, 9, 6]",0,"[0, 0, 0]",True,True,True,There is a note but nothing else.,1,,,1,,There is a club but nothing else.,,4128,undefined,exh-subclausal,1,"[0, 5, 9]",10.74395,1615,"[0, 0, 0]","[1, 0]"
"[6, 4, 2]",1,There are four notes.,"[0, 1]",response,0,,0,0,"[7, 3, 9]",0,"[0, 0, 0]",True,True,True,There are four circles.,1,,,1,,There are four stars.,,4511,undefined,exh-subclausal,1,"[8, 0, 7]",10.74395,2070,"[0, 0, 0]","[1, 0]"
"[6, 1, 5]",0,Some of the symbols are stars.,"[0, 1]",filler,1,,0,3,"[13, 7, 6]",0,"[7, 0, 0]",False,False,False,7 + 6 = ?,0,,,1,,1 + 5 = ?,,5871,undefined,exh-subclausal,1,"[6, 8, 0]",10.74395,1831,"[9, 0, 0]","[1, 0]"
"[6, 9, 4]",2,There is a heart.,"[0, 1]",response,1,,1,2,"[4, 8, 5]",0,"[0, 0, 0]",True,True,True,There is a heart but nothing else.,1,,,1,,There is a star but nothing else.,,3920,undefined,exh-subclausal,1,"[4, 2, 3]",10.74395,1375,"[0, 0, 0]","[0, 1]"
"[2, 7, 1]",1,There are four stars.,"[1, 0]",filler,1,,1,0,"[4, 6, 9]",0,"[0, 0, 0]",True,True,True,There are four hearts.,0,,,1,,There are four ticks.,,11480,undefined,exh-subclausal,0,"[6, 8, 9]",10.74395,2376,"[0, 0, 0]","[0, 1]"
"[12, 5, 7]",0,Some of the symbols are ticks.,"[1, 0]",response,1,,1,3,"[4, 4, 0]",0,"[0, 0, 0]",True,True,True,4 + 0 = ?,0,,,1,,5 + 7 = ?,,6072,undefined,exh-subclausal,0,"[2, 0, 1]",10.74395,2015,"[9, 0, 0]","[0, 1]"
"[6, 8, 3]",2,There is a club.,"[1, 0]",response,0,,0,1,"[5, 2, 8]",0,"[0, 0, 0]",True,True,True,There is a square.,0,,,1,,There is a star.,,4856,undefined,exh-subclausal,0,"[1, 0, 5]",10.74395,1647,"[0, 0, 0]","[1, 0]"
"[9, 3, 2]",2,There is a circle.,"[1, 0]",filler,0,,0,1,"[5, 2, 8]",0,"[0, 0, 0]",True,True,True,There is a square.,0,,,1,,There is a triangle.,,4376,undefined,exh-subclausal,0,"[7, 5, 6]",10.74395,1888,"[0, 0, 0]","[1, 0]"
"[4, 0, 8]",1,There are four hearts.,"[0, 1]",filler,0,,0,2,"[1, 5, 2]",0,"[0, 0, 0]",True,True,True,There are four but no more than four clubs.,1,,,1,,There are four but no more than four hearts.,,5504,undefined,exh-subclausal,1,"[4, 5, 2]",10.74395,1120,"[0, 0, 0]","[1, 0]"
"[1, 4, 0]",2,There is a circle.,"[1, 0]",filler,0,,0,0,"[5, 3, 9]",0,"[0, 0, 0]",True,True,True,There is a square.,0,,,1,,There is a club.,,5752,undefined,exh-subclausal,0,"[7, 1, 2]",10.74395,1087,"[0, 0, 0]","[1, 0]"
"[8, 6, 4]",1,There are four spades.,"[1, 0]",filler,1,,1,1,"[8, 7, 1]",0,"[0, 0, 0]",True,True,True,There are four notes.,0,,,1,,There are four notes.,,4368,undefined,exh-subclausal,0,"[3, 6, 0]",10.74395,1248,"[0, 0, 0]","[0, 1]"
"[9, 0, 2]",0,Some of the symbols are spades.,"[0, 1]",response,1,,1,1,"[9, 7, 6]",0,"[0, 0, 0]",True,True,True,Some of the symbols are triangles.,1,,,1,,Some of the symbols are triangles.,,6576,undefined,exh-subclausal,1,"[3, 6, 4]",10.74395,2056,"[0, 0, 0]","[0, 1]"
"[1, 5, 3]",1,There are four stars.,"[0, 1]",response,1,,1,2,"[2, 5, 1]",0,"[0, 0, 0]",True,True,True,There are four but no more than four ticks.,1,,,1,,There are four but no more than four clubs.,,4424,undefined,exh-subclausal,1,"[6, 8, 5]",10.74395,1624,"[0, 0, 0]","[0, 1]"
"[7, 2, 1]",0,Some of the symbols are clubs.,"[0, 1]",filler,0,,0,1,"[4, 7, 2]",0,"[0, 0, 0]",True,True,True,Some of the symbols are hearts.,1,,,1,,Some of the symbols are circles.,,5776,undefined,exh-subclausal,1,"[1, 4, 5]",10.74395,1744,"[0, 0, 0]","[1, 0]"
"[6, 5, 3]",0,Some of the symbols are clubs.,"[0, 1]",filler,0,,0,1,"[2, 1, 9]",0,"[0, 0, 0]",True,True,True,Some of the symbols are ticks.,1,,,1,,Some of the symbols are stars.,,5312,undefined,exh-subclausal,1,"[1, 5, 7]",10.74395,1479,"[0, 0, 0]","[1, 0]"
"[3, 1, 2]",2,There is a club.,"[0, 1]",filler,0,,0,3,"[16, 7, 9]",0,"[7, 0, 0]",True,True,True,7 + 9 = ?,1,,,1,,1 + 2 = ?,,6400,undefined,exh-subclausal,1,"[1, 3, 9]",10.74395,3216,"[1, 0, 0]","[1, 0]"
"[0, 8, 1]",0,Some of the symbols are clubs.,"[1, 0]",response,0,,0,2,"[5, 3, 6]",0,"[0, 0, 0]",True,True,True,Some but not all of the symbols are squares.,0,,,1,,Some but not all of the symbols are diamonds.,,11832,undefined,exh-subclausal,0,"[1, 0, 5]",10.74395,1944,"[0, 0, 0]","[1, 0]"
"[8, 9, 7]",1,There are four spades.,"[1, 0]",response,1,,1,1,"[7, 9, 3]",0,"[0, 0, 0]",True,True,True,There are four circles.,0,,,1,,There are four notes.,,3584,undefined,exh-subclausal,0,"[3, 1, 6]",10.74395,1519,"[0, 0, 0]","[0, 1]"
"[4, 8, 3]",0,Some of the symbols are squares.,"[1, 0]",response,1,,1,1,"[7, 9, 4]",0,"[0, 0, 0]",True,True,True,Some of the symbols are circles.,0,,,1,,Some of the symbols are hearts.,,6016,undefined,exh-subclausal,0,"[5, 0, 6]",10.74395,1495,"[0, 0, 0]","[0, 1]"
"[5, 3, 4]",1,There are four ticks.,"[0, 1]",filler,0,,0,1,"[4, 2, 1]",0,"[0, 0, 0]",True,True,True,There are four hearts.,1,,,1,,There are four squares.,,3272,undefined,exh-subclausal,1,"[2, 3, 8]",10.74395,1040,"[0, 0, 0]","[1, 0]"
"[6, 1, 5]",2,There is a spade.,"[1, 0]",response,0,,0,3,"[5, 1, 4]",0,"[4, 0, 0]",True,False,False,1 + 4 = ?,1,,,1,,1 + 5 = ?,,4056,undefined,exh-subclausal,0,"[3, 0, 9]",10.74395,1392,"[7, 0, 0]","[1, 0]"
"[1, 4, 0]",2,There is a diamond.,"[1, 0]",response,0,,0,0,"[4, 3, 1]",0,"[0, 0, 0]",True,True,True,There is a heart.,0,,,1,,There is a club.,,7296,undefined,exh-subclausal,0,"[0, 3, 9]",10.74395,1520,"[0, 0, 0]","[1, 0]"
"[0, 5, 4]",2,There is a triangle.,"[1, 0]",filler,1,,1,1,"[1, 7, 9]",0,"[0, 0, 0]",True,True,True,There is a club.,0,,,1,,There is a diamond.,,5824,undefined,exh-subclausal,0,"[9, 6, 2]",10.74395,1488,"[0, 0, 0]","[0, 1]"
