responseSymbols,slide_type,response,image,Answer.condition,block_rt,pOSymbols,correctPTChoice,primeStrength,goodPTChoice,responseChoice,primeTShuffle,pOwrongAnswer,pTSentence,trial_type,goodPOChoice,pTSymbols,workerid,pOSentence,primeOShuffle,responseSentence,pOChoice,pTChoice,btwncondition,primeType,Answer.time_in_minutes,correctPChoices,audio,slide_number,pTwrongAnswer,response_rt,correctPOChoice
"[6, 8, 4]",,,,undefined,3365,"[7, 0, 7]",False,3,1,1,"[0, 1]","[4, 0, 0]",4 + 7 = ?,filler,0,"[11, 4, 7]",0,0 + 7 = ?,"[1, 0]",There is a star.,1,0,exh-subclausal,2,6.842116666666667,False,,,"[0, 0, 0]",1765,False
"[9, 5, 7]",,,,undefined,3285,"[9, 5, 8]",True,0,1,0,"[0, 1]","[0, 0, 0]",There is a tick.,response,0,"[2, 6, 3]",0,There is a triangle.,"[1, 0]",There is a triangle.,0,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1043,True
"[7, 1, 2]",,,,undefined,2693,"[2, 9, 7]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four squares.,filler,0,"[5, 2, 6]",0,There are four ticks.,"[1, 0]",There are four circles.,0,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",870,True
"[4, 7, 0]",,,,undefined,2748,"[8, 5, 3]",False,3,0,1,"[1, 0]","[5, 0, 0]",7 + 9 = ?,filler,0,"[16, 7, 9]",0,5 + 3 = ?,"[1, 0]",Some of the symbols are hearts.,0,1,exh-subclausal,0,6.842116666666667,False,,,"[1, 0, 0]",1064,True
"[1, 6, 2]",,,,undefined,2795,"[3, 6, 0]",True,1,1,1,"[0, 1]","[0, 0, 0]",There are four notes.,response,0,"[8, 0, 3]",0,There are four spades.,"[1, 0]",There are four clubs.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",968,True
"[4, 0, 2]",,,,undefined,3256,"[4, 4, 0]",False,3,0,1,"[1, 0]","[8, 0, 0]",4 + 6 = ?,response,1,"[10, 4, 6]",0,4 + 0 = ?,"[0, 1]",Some of the symbols are hearts.,0,1,exh-subclausal,0,6.842116666666667,False,,,"[2, 0, 0]",1438,False
"[3, 9, 5]",,,,undefined,3733,"[1, 6, 9]",True,0,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are triangles.,response,1,"[9, 8, 5]",0,Some of the symbols are clubs.,"[0, 1]",Some of the symbols are spades.,1,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1297,True
"[4, 7, 0]",,,,undefined,2706,"[11, 7, 4]",True,3,1,1,"[0, 1]","[0, 0, 0]",9 + 6 = ?,response,0,"[15, 9, 6]",0,7 + 4 = ?,"[1, 0]",There are four hearts.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[5, 0, 0]",1183,True
"[7, 2, 9]",,,,undefined,3400,"[2, 5, 7]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are notes.,response,0,"[8, 3, 7]",0,Some of the symbols are ticks.,"[1, 0]",Some of the symbols are circles.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",883,True
"[3, 4, 7]",,,,undefined,2756,"[15, 6, 9]",True,3,1,0,"[0, 1]","[8, 0, 0]",1 + 9 = ?,response,1,"[10, 1, 9]",0,6 + 9 = ?,"[0, 1]",There is a spade.,0,1,exh-subclausal,2,6.842116666666667,False,,,"[3, 0, 0]",1049,False
"[0, 6, 2]",,,,undefined,4721,"[7, 9, 3]",True,2,1,1,"[0, 1]","[0, 0, 0]",Some but not all of the symbols are squares.,response,0,"[5, 8, 0]",0,Some but not all of the symbols are circles.,"[1, 0]",Some of the symbols are diamonds.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1387,True
"[6, 3, 2]",,,,undefined,2872,"[13, 9, 4]",True,3,1,1,"[0, 1]","[8, 0, 0]",8 + 4 = ?,response,0,"[12, 8, 4]",0,9 + 4 = ?,"[1, 0]",Some of the symbols are stars.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[1, 0, 0]",1321,True
"[1, 4, 3]",,,,undefined,2882,"[6, 2, 4]",False,3,1,1,"[0, 1]","[3, 0, 0]",2 + 0 = ?,filler,0,"[2, 2, 0]",0,2 + 4 = ?,"[1, 0]",There are four clubs.,1,0,exh-subclausal,1,6.842116666666667,False,,,"[9, 0, 0]",1277,False
"[8, 1, 7]",,,,undefined,4502,"[9, 6, 7]",True,2,0,1,"[1, 0]","[0, 0, 0]",Some but not all of the symbols are diamonds.,response,0,"[0, 7, 9]",0,Some but not all of the symbols are triangles.,"[1, 0]",Some of the symbols are notes.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1016,True
"[5, 7, 6]",,,,undefined,4598,"[8, 9, 0]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four circles.,response,0,"[7, 4, 2]",0,There are four but no more than four notes.,"[1, 0]",There are four squares.,0,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1233,True
"[5, 0, 8]",,,,undefined,4223,"[8, 2, 0]",True,2,1,1,"[0, 1]","[0, 0, 0]",There is a heart but nothing else.,response,1,"[4, 1, 8]",0,There is a note but nothing else.,"[0, 1]",There is a square.,1,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1021,True
"[3, 6, 7]",,,,undefined,5157,"[0, 5, 4]",True,2,0,1,"[1, 0]","[0, 0, 0]",Some but not all of the symbols are clubs.,filler,1,"[1, 2, 6]",0,Some but not all of the symbols are diamonds.,"[0, 1]",Some of the symbols are spades.,1,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1608,True
"[1, 7, 3]",,,,undefined,3040,"[6, 9, 5]",True,2,1,1,"[0, 1]","[0, 0, 0]",There are four but no more than four clubs.,response,0,"[1, 8, 0]",0,There are four but no more than four stars.,"[1, 0]",There are four clubs.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1020,True
"[4, 7, 6]",,,,undefined,2442,"[9, 8, 1]",False,3,0,1,"[1, 0]","[10, 0, 0]",7 + 6 = ?,response,1,"[13, 7, 6]",0,8 + 1 = ?,"[0, 1]",There are four hearts.,0,1,exh-subclausal,1,6.842116666666667,False,,,"[9, 0, 0]",974,False
"[7, 8, 5]",,,,undefined,2661,"[4, 4, 0]",True,3,0,1,"[1, 0]","[4, 0, 0]",3 + 5 = ?,filler,0,"[8, 3, 5]",0,4 + 0 = ?,"[1, 0]",Some of the symbols are circles.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[5, 0, 0]",1090,True
"[7, 5, 9]",,,,undefined,3929,"[5, 2, 7]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are triangles.,response,0,"[9, 3, 2]",0,Some of the symbols are squares.,"[1, 0]",Some of the symbols are circles.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1266,True
"[9, 3, 4]",,,,undefined,4260,"[2, 8, 7]",True,2,1,1,"[0, 1]","[0, 0, 0]",Some but not all of the symbols are triangles.,filler,1,"[9, 1, 2]",0,Some but not all of the symbols are ticks.,"[0, 1]",Some of the symbols are triangles.,1,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1426,True
"[8, 7, 3]",,,,undefined,3141,"[0, 7, 2]",True,0,0,0,"[1, 0]","[0, 0, 0]",There is a diamond.,response,1,"[0, 7, 8]",0,There is a diamond.,"[0, 1]",There is a note.,1,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1045,True
"[3, 5, 1]",,,,undefined,3635,"[1, 6, 3]",True,2,0,1,"[1, 0]","[0, 0, 0]",Some but not all of the symbols are clubs.,filler,1,"[1, 6, 0]",0,Some but not all of the symbols are clubs.,"[0, 1]",Some of the symbols are spades.,1,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1069,True
"[3, 7, 9]",,,,undefined,3945,"[4, 3, 7]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four clubs.,response,1,"[1, 2, 3]",0,There are four but no more than four hearts.,"[0, 1]",There are four spades.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1015,True
"[3, 2, 4]",,,,undefined,3853,"[1, 4, 9]",True,0,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are diamonds.,filler,0,"[0, 6, 4]",0,Some of the symbols are clubs.,"[1, 0]",Some of the symbols are spades.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1119,True
"[3, 2, 9]",,,,undefined,3211,"[8, 9, 7]",True,1,0,0,"[1, 0]","[0, 0, 0]",There is a tick.,response,0,"[2, 7, 6]",0,There is a note.,"[1, 0]",There is a spade.,0,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1185,True
"[7, 4, 6]",,,,undefined,2938,"[1, 7, 9]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four notes.,response,1,"[8, 2, 1]",0,There are four but no more than four clubs.,"[0, 1]",There are four circles.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",916,True
"[8, 4, 6]",,,,undefined,3895,"[0, 8, 2]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are stars.,response,1,"[6, 9, 4]",0,Some of the symbols are diamonds.,"[0, 1]",Some of the symbols are notes.,1,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1091,True
"[1, 3, 4]",,,,undefined,2608,"[1, 6, 0]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four notes.,filler,1,"[8, 3, 1]",0,There are four clubs.,"[0, 1]",There are four clubs.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",869,True
"[8, 1, 6]",,,,undefined,4699,"[8, 1, 5]",True,1,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are stars.,filler,1,"[6, 2, 0]",0,Some of the symbols are notes.,"[0, 1]",Some of the symbols are notes.,1,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",972,True
"[6, 1, 9]",,,,undefined,3229,"[5, 6, 1]",True,0,1,1,"[0, 1]","[0, 0, 0]",There is a triangle.,filler,1,"[9, 4, 0]",0,There is a square.,"[0, 1]",There is a star.,1,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1283,True
"[0, 5, 7]",,,,undefined,2741,"[9, 7, 2]",True,3,1,1,"[0, 1]","[1, 0, 0]",5 + 3 = ?,filler,0,"[8, 5, 3]",0,7 + 2 = ?,"[1, 0]",There is a diamond.,0,1,exh-subclausal,2,6.842116666666667,True,,,"[9, 0, 0]",1307,True
"[3, 5, 2]",,,,undefined,3064,"[0, 7, 4]",True,1,1,0,"[0, 1]","[0, 0, 0]",There is a star.,response,1,"[6, 8, 3]",0,There is a diamond.,"[0, 1]",There is a spade.,1,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1095,True
"[5, 7, 4]",,,,undefined,3189,"[1, 8, 2]",True,0,0,1,"[1, 0]","[0, 0, 0]",There is a spade.,filler,0,"[3, 7, 5]",0,There is a club.,"[1, 0]",There is a square.,0,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",996,True
"[0, 1, 6]",,,,undefined,3606,"[8, 9, 6]",True,0,0,1,"[1, 0]","[0, 0, 0]",There are four notes.,filler,1,"[8, 7, 6]",0,There are four notes.,"[0, 1]",There are four diamonds.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1279,True
"[7, 4, 2]",,,,undefined,2285,"[10, 5, 5]",False,3,0,0,"[1, 0]","[4, 0, 0]",5 + 5 = ?,response,1,"[10, 5, 5]",0,5 + 5 = ?,"[0, 1]",There is a circle.,0,1,exh-subclausal,2,6.842116666666667,False,,,"[6, 0, 0]",898,False
"[6, 5, 0]",,,,undefined,3328,"[0, 3, 2]",True,2,1,1,"[0, 1]","[0, 0, 0]",There is a spade but nothing else.,filler,1,"[3, 1, 7]",0,There is a diamond but nothing else.,"[0, 1]",There is a star.,1,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",973,True
"[8, 0, 5]",,,,undefined,2783,"[13, 6, 7]",True,3,0,1,"[1, 0]","[6, 0, 0]",4 + 9 = ?,filler,0,"[13, 4, 9]",0,6 + 7 = ?,"[1, 0]",There is a note.,1,0,exh-subclausal,2,6.842116666666667,False,,,"[3, 0, 0]",1246,False
"[3, 5, 7]",,,,undefined,3047,"[0, 4, 8]",True,0,0,0,"[1, 0]","[0, 0, 0]",There is a tick.,response,0,"[2, 0, 6]",0,There is a diamond.,"[1, 0]",There is a spade.,0,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1140,True
"[9, 3, 8]",,,,undefined,3314,"[3, 8, 7]",True,0,1,1,"[0, 1]","[0, 0, 0]",There are four ticks.,response,1,"[2, 3, 7]",0,There are four spades.,"[0, 1]",There are four triangles.,1,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1447,True
"[0, 1, 6]",,,,undefined,3031,"[7, 4, 2]",True,0,0,1,"[1, 0]","[0, 0, 0]",There is a note.,filler,0,"[8, 9, 6]",0,There is a circle.,"[1, 0]",There is a diamond.,0,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1082,True
"[1, 8, 2]",,,,undefined,4813,"[9, 6, 1]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are stars.,filler,0,"[6, 9, 2]",0,Some of the symbols are triangles.,"[1, 0]",Some of the symbols are clubs.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1180,True
"[1, 2, 7]",,,,undefined,2722,"[4, 1, 8]",True,2,0,0,"[1, 0]","[0, 0, 0]",There is a triangle but nothing else.,response,0,"[9, 7, 4]",0,There is a heart but nothing else.,"[1, 0]",There is a club.,0,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1057,True
"[8, 1, 2]",,,,undefined,4973,"[2, 6, 1]",True,0,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are stars.,response,0,"[6, 3, 4]",0,Some of the symbols are ticks.,"[1, 0]",Some of the symbols are notes.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1325,True
"[1, 3, 5]",,,,undefined,3569,"[3, 1, 2]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are triangles.,filler,0,"[9, 7, 3]",0,Some of the symbols are spades.,"[1, 0]",Some of the symbols are clubs.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1008,True
"[2, 5, 7]",,,,undefined,2740,"[4, 8, 1]",True,1,0,1,"[1, 0]","[0, 0, 0]",There are four spades.,response,0,"[3, 8, 6]",0,There are four hearts.,"[1, 0]",There are four ticks.,0,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",931,True
"[2, 9, 6]",,,,undefined,3104,"[0, 5, 8]",True,2,0,0,"[1, 0]","[0, 0, 0]",There is a triangle but nothing else.,response,1,"[9, 4, 5]",0,There is a diamond but nothing else.,"[0, 1]",There is a tick.,1,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",974,True
"[9, 0, 4]",,,,undefined,3037,"[7, 6, 0]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four clubs.,filler,1,"[1, 0, 2]",0,There are four but no more than four circles.,"[0, 1]",There are four triangles.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",867,True
"[8, 4, 0]",,,,undefined,2780,"[8, 4, 7]",True,1,1,0,"[0, 1]","[0, 0, 0]",There is a triangle.,response,1,"[9, 0, 2]",0,There is a note.,"[0, 1]",There is a note.,1,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1006,True
"[3, 1, 5]",,,,undefined,3442,"[9, 4, 2]",True,0,0,0,"[1, 0]","[0, 0, 0]",There is a triangle.,response,1,"[9, 8, 5]",0,There is a triangle.,"[0, 1]",There is a spade.,1,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1028,True
"[3, 7, 4]",,,,undefined,2383,"[10, 7, 3]",True,3,0,0,"[1, 0]","[5, 0, 0]",0 + 5 = ?,response,0,"[5, 0, 5]",0,7 + 3 = ?,"[1, 0]",There is a spade.,1,0,exh-subclausal,2,6.842116666666667,False,,,"[9, 0, 0]",1004,False
"[8, 3, 7]",,,,undefined,2699,"[0, 7, 3]",True,1,1,1,"[0, 1]","[0, 0, 0]",There is a square.,filler,0,"[5, 4, 3]",0,There is a diamond.,"[1, 0]",There is a note.,0,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",936,True
"[8, 6, 7]",,,,undefined,3006,"[7, 4, 8]",True,2,0,1,"[1, 0]","[0, 0, 0]",There is a star but nothing else.,filler,1,"[6, 4, 2]",0,There is a circle but nothing else.,"[0, 1]",There is a note.,1,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1264,True
"[8, 0, 7]",,,,undefined,2728,"[1, 7, 6]",True,1,1,1,"[0, 1]","[0, 0, 0]",There are four clubs.,filler,1,"[1, 7, 3]",0,There are four clubs.,"[0, 1]",There are four notes.,1,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",1159,True
"[2, 9, 0]",,,,undefined,2807,"[5, 3, 9]",True,0,0,1,"[1, 0]","[0, 0, 0]",There is a heart.,filler,0,"[4, 8, 5]",0,There is a square.,"[1, 0]",There is a tick.,0,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",841,True
"[5, 2, 3]",,,,undefined,3534,"[8, 3, 9]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are squares.,response,0,"[5, 4, 3]",0,Some of the symbols are notes.,"[1, 0]",Some of the symbols are squares.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",1100,True
"[5, 0, 8]",,,,undefined,2963,"[2, 7, 8]",True,1,1,1,"[0, 1]","[0, 0, 0]",There is a triangle.,filler,0,"[9, 4, 6]",0,There is a tick.,"[1, 0]",There is a square.,0,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1061,True
"[8, 6, 1]",,,,undefined,2382,"[8, 2, 6]",True,3,1,1,"[0, 1]","[6, 0, 0]",5 + 4 = ?,filler,0,"[9, 5, 4]",0,2 + 6 = ?,"[1, 0]",There are four notes.,0,1,exh-subclausal,1,6.842116666666667,True,,,"[2, 0, 0]",830,True
"[6, 1, 5]",,,,undefined,2414,"[4, 1, 3]",False,3,1,1,"[0, 1]","[0, 0, 0]",6 + 7 = ?,response,1,"[13, 6, 7]",0,1 + 3 = ?,"[0, 1]",Some of the symbols are stars.,1,0,exh-subclausal,0,6.842116666666667,False,,,"[4, 0, 0]",967,True
"[3, 1, 4]",,,,undefined,2865,"[4, 8, 9]",True,2,1,1,"[0, 1]","[0, 0, 0]",Some but not all of the symbols are ticks.,filler,0,"[2, 3, 0]",0,Some but not all of the symbols are hearts.,"[1, 0]",Some of the symbols are spades.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",939,True
"[2, 9, 0]",,,,undefined,2709,"[0, 2, 8]",True,0,0,1,"[1, 0]","[0, 0, 0]",There are four clubs.,response,1,"[1, 6, 7]",0,There are four diamonds.,"[0, 1]",There are four ticks.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",795,True
"[1, 7, 6]",,,,undefined,2925,"[7, 4, 8]",True,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are triangles.,filler,0,"[9, 1, 4]",0,Some of the symbols are circles.,"[1, 0]",Some of the symbols are clubs.,0,1,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",993,True
"[2, 8, 7]",,,,undefined,3244,"[6, 9, 0]",True,1,0,1,"[1, 0]","[0, 0, 0]",There is a circle.,filler,1,"[7, 9, 8]",0,There is a star.,"[0, 1]",There is a tick.,1,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",966,True
"[8, 0, 4]",,,,undefined,2777,"[0, 6, 9]",True,0,0,1,"[1, 0]","[0, 0, 0]",There are four diamonds.,filler,1,"[0, 8, 7]",0,There are four diamonds.,"[0, 1]",There are four notes.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",676,True
"[9, 2, 4]",,,,undefined,3339,"[0, 6, 2]",True,1,0,1,"[1, 0]","[0, 0, 0]",Some of the symbols are stars.,response,0,"[6, 0, 8]",0,Some of the symbols are diamonds.,"[1, 0]",Some of the symbols are triangles.,0,0,exh-subclausal,0,6.842116666666667,True,,,"[0, 0, 0]",876,True
"[8, 6, 4]",,,,undefined,2615,"[2, 5, 6]",True,1,1,1,"[0, 1]","[0, 0, 0]",There is a spade.,filler,1,"[3, 1, 5]",0,There is a tick.,"[0, 1]",There is a note.,1,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",865,True
"[4, 1, 7]",,,,undefined,2390,"[6, 1, 5]",True,3,0,1,"[1, 0]","[2, 0, 0]",3 + 2 = ?,response,0,"[5, 3, 2]",0,1 + 5 = ?,"[1, 0]",There are four hearts.,1,0,exh-subclausal,1,6.842116666666667,False,,,"[1, 0, 0]",840,False
"[9, 6, 4]",,,,undefined,2564,"[1, 7, 4]",True,2,0,1,"[1, 0]","[0, 0, 0]",There are four but no more than four clubs.,filler,1,"[1, 8, 9]",0,There are four but no more than four clubs.,"[0, 1]",There are four triangles.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",787,True
"[5, 3, 2]",,,,undefined,2929,"[9, 3, 8]",True,1,1,0,"[0, 1]","[0, 0, 0]",There is a star.,response,0,"[6, 8, 7]",0,There is a triangle.,"[1, 0]",There is a square.,0,1,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",1355,True
"[7, 3, 0]",,,,undefined,2533,"[8, 9, 1]",True,2,1,1,"[0, 1]","[0, 0, 0]",There are four but no more than four triangles.,filler,1,"[9, 1, 0]",0,There are four but no more than four notes.,"[0, 1]",There are four circles.,1,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",795,True
"[6, 4, 7]",,,,undefined,4207,"[0, 5, 2]",False,0,1,1,"[0, 1]","[0, 0, 0]",Some of the symbols are notes.,filler,1,"[8, 2, 5]",0,Some of the symbols are diamonds.,"[0, 1]",Some of the symbols are stars.,1,0,exh-subclausal,0,6.842116666666667,False,,,"[0, 0, 0]",1990,True
"[8, 1, 4]",,,,undefined,3073,"[5, 7, 3]",True,0,1,1,"[0, 1]","[0, 0, 0]",There are four spades.,filler,1,"[3, 1, 0]",0,There are four squares.,"[0, 1]",There are four notes.,1,1,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",841,True
"[7, 3, 0]",,,,undefined,2479,"[0, 1, 8]",True,2,0,1,"[1, 0]","[0, 0, 0]",There is a square but nothing else.,filler,1,"[5, 3, 4]",0,There is a diamond but nothing else.,"[0, 1]",There is a circle.,1,0,exh-subclausal,2,6.842116666666667,True,,,"[0, 0, 0]",790,True
"[6, 9, 0]",,,,undefined,2829,"[5, 0, 5]",True,3,0,1,"[1, 0]","[4, 0, 0]",0 + 1 = ?,filler,1,"[1, 0, 1]",0,0 + 5 = ?,"[0, 1]",There are four stars.,1,0,exh-subclausal,1,6.842116666666667,True,,,"[0, 0, 0]",831,True
