goodPTChoice,response,goodPOChoice,pTChoice,response_rt,Answer.condition,primeStrength,trial_type,pOSymbols,slide_type,responseChoice,image,primeType,workerid,pTSymbols,audio,responseSymbols,responseSentence,pOChoice,slide_number,primeOShuffle,correctPChoices,correctPOChoice,btwncondition,Answer.time_in_minutes,correctPTChoice,pTSentence,pTwrongAnswer,pOwrongAnswer,block_rt,pOSentence,primeTShuffle
0,,1,0,903,undefined,0,response,"[2, 5, 9]",,0,,1,0,"[3, 4, 9]",,"[6, 5, 3]",There are four stars.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four spades.,"[0, 0, 0]","[0, 0, 0]",2938,There are four ticks.,"[1, 0]"
0,,1,0,996,undefined,2,filler,"[9, 4, 1]",,1,,2,0,"[9, 4, 2]",,"[6, 1, 5]",There is a star.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a triangle and a heart.,"[0, 0, 0]","[0, 0, 0]",3054,There is a triangle and a heart.,"[1, 0]"
1,,0,0,1743,undefined,3,response,"[11, 3, 8]",,0,,2,0,"[8, 7, 1]",,"[1, 5, 0]",There is a club.,1,,"[1, 0]",False,False,alternative,6.291416666666667,False,7 + 1 = ?,"[1, 0, 0]","[7, 0, 0]",4442,3 + 8 = ?,"[0, 1]"
1,,0,1,880,undefined,2,filler,"[8, 9, 6]",,1,,1,0,"[4, 8, 2]",,"[1, 9, 7]",There are four clubs.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are six hearts.,"[0, 0, 0]","[0, 0, 0]",2769,There are six notes.,"[0, 1]"
1,,1,1,896,undefined,0,filler,"[1, 4, 0]",,1,,1,0,"[6, 7, 5]",,"[9, 1, 4]",There are four triangles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four stars.,"[0, 0, 0]","[0, 0, 0]",2659,There are four clubs.,"[0, 1]"
1,,1,1,1212,undefined,3,filler,"[8, 4, 4]",,1,,2,0,"[5, 3, 2]",,"[2, 9, 0]",There is a tick.,0,,"[0, 1]",False,False,alternative,6.291416666666667,True,3 + 2 = ?,"[6, 0, 0]","[3, 0, 0]",3919,4 + 4 = ?,"[0, 1]"
0,,1,0,958,undefined,2,response,"[0, 7, 8]",,1,,2,0,"[7, 3, 0]",,"[0, 6, 5]",There is a diamond.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a circle and a spade.,"[0, 0, 0]","[0, 0, 0]",3038,There is a diamond and a circle.,"[1, 0]"
0,,0,1,882,undefined,3,filler,"[3, 3, 0]",,1,,1,0,"[12, 8, 4]",,"[1, 5, 3]",There are four clubs.,0,,"[1, 0]",False,True,alternative,6.291416666666667,False,8 + 4 = ?,"[6, 0, 0]","[4, 0, 0]",3858,3 + 0 = ?,"[1, 0]"
1,,0,1,1383,undefined,0,filler,"[1, 7, 6]",,1,,2,0,"[6, 9, 1]",,"[6, 3, 1]",There is a star.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a star.,"[0, 0, 0]","[0, 0, 0]",3614,There is a club.,"[0, 1]"
0,,0,0,2104,undefined,2,response,"[6, 0, 4]",,1,,1,0,"[7, 3, 8]",,"[3, 9, 4]",There are four spades.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are six circles.,"[0, 0, 0]","[0, 0, 0]",4072,There are six stars.,"[1, 0]"
1,,1,1,818,undefined,0,response,"[9, 7, 2]",,0,,1,0,"[9, 8, 6]",,"[9, 5, 1]",There are four triangles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four triangles.,"[0, 0, 0]","[0, 0, 0]",3294,There are four triangles.,"[0, 1]"
1,,1,1,1021,undefined,1,filler,"[8, 0, 5]",,1,,2,0,"[8, 7, 4]",,"[4, 3, 9]",There is a heart.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a note.,"[0, 0, 0]","[0, 0, 0]",3528,There is a note.,"[0, 1]"
1,,1,1,1494,undefined,2,response,"[0, 6, 9]",,1,,0,0,"[2, 5, 7]",,"[5, 3, 1]",Some of the symbols are squares.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,All of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",3586,All of the symbols are diamonds.,"[0, 1]"
0,,0,0,956,undefined,3,filler,"[9, 5, 4]",,1,,1,0,"[12, 3, 9]",,"[7, 6, 4]",There are four circles.,1,,"[1, 0]",False,False,alternative,6.291416666666667,True,3 + 9 = ?,"[4, 0, 0]","[3, 0, 0]",3802,5 + 4 = ?,"[1, 0]"
1,,0,1,879,undefined,0,filler,"[6, 7, 0]",,1,,1,0,"[8, 5, 2]",,"[5, 9, 7]",There are four squares.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are four notes.,"[0, 0, 0]","[0, 0, 0]",2570,There are four stars.,"[0, 1]"
1,,0,1,1114,undefined,1,response,"[7, 0, 9]",,1,,0,0,"[7, 1, 9]",,"[8, 5, 9]",Some of the symbols are notes.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",3173,Some of the symbols are circles.,"[0, 1]"
1,,0,1,993,undefined,1,filler,"[2, 7, 9]",,1,,2,0,"[3, 1, 5]",,"[0, 3, 7]",There is a diamond.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a spade.,"[0, 0, 0]","[0, 0, 0]",2732,There is a tick.,"[0, 1]"
0,,1,0,998,undefined,1,response,"[6, 2, 8]",,1,,1,0,"[3, 7, 6]",,"[1, 5, 8]",There are four clubs.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four spades.,"[0, 0, 0]","[0, 0, 0]",3563,There are four stars.,"[1, 0]"
0,,0,0,924,undefined,1,response,"[9, 6, 4]",,1,,0,0,"[2, 0, 4]",,"[2, 8, 3]",Some of the symbols are ticks.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",3163,Some of the symbols are triangles.,"[1, 0]"
0,,0,0,1011,undefined,2,filler,"[7, 8, 2]",,1,,2,0,"[1, 0, 5]",,"[6, 7, 9]",There is a star.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a club and a diamond.,"[0, 0, 0]","[0, 0, 0]",3350,There is a circle and a note.,"[1, 0]"
0,,0,0,875,undefined,3,filler,"[12, 8, 4]",,1,,2,0,"[6, 0, 6]",,"[6, 4, 7]",There is a star.,1,,"[1, 0]",False,False,alternative,6.291416666666667,True,0 + 6 = ?,"[2, 0, 0]","[4, 0, 0]",2860,8 + 4 = ?,"[1, 0]"
0,,0,0,820,undefined,0,filler,"[3, 0, 1]",,1,,1,0,"[6, 2, 1]",,"[3, 9, 1]",There are four spades.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are four stars.,"[0, 0, 0]","[0, 0, 0]",3309,There are four spades.,"[1, 0]"
0,,0,1,1302,undefined,3,filler,"[6, 2, 4]",,0,,1,0,"[12, 6, 6]",,"[6, 4, 2]",There are four stars.,0,,"[1, 0]",False,True,alternative,6.291416666666667,False,6 + 6 = ?,"[4, 0, 0]","[1, 0, 0]",3349,2 + 4 = ?,"[1, 0]"
1,,1,0,1140,undefined,3,response,"[13, 7, 6]",,1,,0,0,"[7, 5, 2]",,"[3, 4, 2]",Some of the symbols are spades.,1,,"[0, 1]",False,True,alternative,6.291416666666667,False,5 + 2 = ?,"[6, 0, 0]","[2, 0, 0]",4704,7 + 6 = ?,"[0, 1]"
1,,1,0,1010,undefined,3,response,"[13, 7, 6]",,1,,1,0,"[16, 9, 7]",,"[1, 4, 7]",There are four clubs.,1,,"[0, 1]",False,True,alternative,6.291416666666667,False,9 + 7 = ?,"[3, 0, 0]","[2, 0, 0]",4563,7 + 6 = ?,"[0, 1]"
1,,1,1,892,undefined,0,filler,"[8, 1, 2]",,1,,0,0,"[6, 8, 7]",,"[7, 3, 2]",Some of the symbols are circles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are stars.,"[0, 0, 0]","[0, 0, 0]",3121,Some of the symbols are notes.,"[0, 1]"
0,,1,1,955,undefined,3,filler,"[12, 6, 6]",,1,,0,0,"[14, 6, 8]",,"[3, 2, 6]",Some of the symbols are spades.,0,,"[0, 1]",False,False,alternative,6.291416666666667,False,6 + 8 = ?,"[0, 0, 0]","[9, 0, 0]",3731,6 + 6 = ?,"[1, 0]"
1,,0,0,930,undefined,3,response,"[7, 0, 7]",,1,,0,0,"[8, 2, 6]",,"[5, 0, 6]",Some of the symbols are squares.,1,,"[1, 0]",False,False,alternative,6.291416666666667,False,2 + 6 = ?,"[3, 0, 0]","[9, 0, 0]",2964,0 + 7 = ?,"[0, 1]"
0,,0,0,1297,undefined,1,response,"[2, 5, 3]",,1,,1,0,"[5, 3, 8]",,"[5, 2, 1]",There are four squares.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are four squares.,"[0, 0, 0]","[0, 0, 0]",3233,There are four ticks.,"[1, 0]"
0,,0,0,995,undefined,2,response,"[5, 3, 6]",,1,,2,0,"[0, 9, 4]",,"[4, 0, 8]",There is a heart.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a diamond and a triangle.,"[0, 0, 0]","[0, 0, 0]",3198,There is a square and a spade.,"[1, 0]"
0,,0,0,1028,undefined,1,response,"[6, 4, 5]",,0,,2,0,"[5, 1, 6]",,"[7, 6, 9]",There is a circle.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a square.,"[0, 0, 0]","[0, 0, 0]",3723,There is a star.,"[1, 0]"
0,,1,0,1160,undefined,0,response,"[5, 9, 6]",,1,,0,0,"[3, 8, 7]",,"[5, 9, 6]",Some of the symbols are squares.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are spades.,"[0, 0, 0]","[0, 0, 0]",3644,Some of the symbols are squares.,"[1, 0]"
1,,0,1,1288,undefined,0,response,"[1, 5, 9]",,0,,2,0,"[5, 9, 1]",,"[4, 5, 9]",There is a heart.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a square.,"[0, 0, 0]","[0, 0, 0]",3444,There is a club.,"[0, 1]"
0,,1,0,826,undefined,1,filler,"[4, 7, 0]",,1,,1,0,"[3, 5, 1]",,"[7, 0, 9]",There are four circles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four spades.,"[0, 0, 0]","[0, 0, 0]",2513,There are four hearts.,"[1, 0]"
0,,1,0,1357,undefined,2,response,"[3, 6, 2]",,1,,0,0,"[5, 4, 2]",,"[1, 4, 0]",Some of the symbols are clubs.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,All of the symbols are squares.,"[0, 0, 0]","[0, 0, 0]",3667,All of the symbols are spades.,"[1, 0]"
1,,0,1,1007,undefined,2,response,"[6, 8, 9]",,1,,0,0,"[6, 5, 1]",,"[7, 3, 5]",Some of the symbols are circles.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,All of the symbols are stars.,"[0, 0, 0]","[0, 0, 0]",3446,All of the symbols are stars.,"[0, 1]"
1,,1,1,894,undefined,1,filler,"[9, 7, 6]",,1,,1,0,"[0, 3, 9]",,"[3, 6, 5]",There are four spades.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four diamonds.,"[0, 0, 0]","[0, 0, 0]",3110,There are four triangles.,"[0, 1]"
1,,1,1,1079,undefined,1,filler,"[2, 3, 9]",,1,,0,0,"[9, 5, 6]",,"[9, 6, 5]",Some of the symbols are triangles.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are triangles.,"[0, 0, 0]","[0, 0, 0]",3275,Some of the symbols are ticks.,"[0, 1]"
0,,1,0,1309,undefined,0,filler,"[5, 0, 4]",,1,,0,0,"[0, 1, 3]",,"[6, 3, 0]",Some of the symbols are stars.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are diamonds.,"[0, 0, 0]","[0, 0, 0]",3758,Some of the symbols are squares.,"[1, 0]"
1,,1,1,967,undefined,2,filler,"[8, 3, 9]",,1,,0,0,"[6, 4, 9]",,"[0, 8, 2]",Some of the symbols are diamonds.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,All of the symbols are stars.,"[0, 0, 0]","[0, 0, 0]",2878,All of the symbols are notes.,"[0, 1]"
0,,0,1,1423,undefined,3,filler,"[17, 9, 8]",,1,,1,0,"[6, 1, 5]",,"[3, 9, 7]",There are four spades.,1,,"[1, 0]",False,False,alternative,6.291416666666667,False,1 + 5 = ?,"[6, 0, 0]","[6, 0, 0]",3986,9 + 8 = ?,"[1, 0]"
0,,1,0,1307,undefined,2,filler,"[5, 7, 3]",,1,,0,0,"[8, 6, 3]",,"[1, 3, 7]",Some of the symbols are clubs.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,All of the symbols are notes.,"[0, 0, 0]","[0, 0, 0]",3243,All of the symbols are squares.,"[1, 0]"
1,,0,1,1017,undefined,0,filler,"[1, 2, 3]",,1,,0,0,"[7, 1, 0]",,"[3, 6, 1]",Some of the symbols are spades.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",3452,Some of the symbols are clubs.,"[0, 1]"
0,,0,0,1274,undefined,2,response,"[7, 1, 8]",,1,,1,0,"[0, 1, 6]",,"[3, 4, 6]",There are four spades.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are six diamonds.,"[0, 0, 0]","[0, 0, 0]",3248,There are six circles.,"[1, 0]"
1,,0,1,1157,undefined,0,response,"[7, 6, 5]",,1,,0,0,"[2, 8, 5]",,"[6, 1, 9]",Some of the symbols are stars.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,Some of the symbols are ticks.,"[0, 0, 0]","[0, 0, 0]",3849,Some of the symbols are circles.,"[0, 1]"
0,,1,1,920,undefined,3,response,"[3, 2, 1]",,1,,0,0,"[11, 8, 3]",,"[2, 4, 6]",Some of the symbols are ticks.,0,,"[0, 1]",False,False,alternative,6.291416666666667,False,8 + 3 = ?,"[0, 0, 0]","[2, 0, 0]",3043,2 + 1 = ?,"[1, 0]"
1,,1,1,909,undefined,0,filler,"[7, 4, 9]",,1,,1,0,"[0, 4, 8]",,"[6, 8, 4]",There are four stars.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four diamonds.,"[0, 0, 0]","[0, 0, 0]",2650,There are four circles.,"[0, 1]"
1,,0,1,1059,undefined,2,response,"[0, 2, 5]",,1,,1,0,"[2, 4, 3]",,"[2, 7, 1]",There are four ticks.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are six ticks.,"[0, 0, 0]","[0, 0, 0]",3000,There are six diamonds.,"[0, 1]"
0,,0,1,813,undefined,3,filler,"[6, 5, 1]",,1,,0,0,"[14, 6, 8]",,"[8, 7, 2]",Some of the symbols are notes.,0,,"[1, 0]",False,True,alternative,6.291416666666667,False,6 + 8 = ?,"[8, 0, 0]","[3, 0, 0]",3518,5 + 1 = ?,"[1, 0]"
0,,0,1,864,undefined,3,response,"[15, 6, 9]",,1,,1,0,"[5, 5, 0]",,"[5, 8, 0]",There are four squares.,0,,"[1, 0]",False,True,alternative,6.291416666666667,False,5 + 0 = ?,"[6, 0, 0]","[6, 0, 0]",3299,6 + 9 = ?,"[1, 0]"
1,,1,1,1372,undefined,3,response,"[9, 2, 7]",,0,,2,0,"[16, 9, 7]",,"[5, 9, 7]",There is a square.,0,,"[0, 1]",False,False,alternative,6.291416666666667,True,9 + 7 = ?,"[6, 0, 0]","[4, 0, 0]",3848,2 + 7 = ?,"[0, 1]"
0,,1,0,769,undefined,2,filler,"[5, 2, 0]",,1,,1,0,"[5, 3, 4]",,"[3, 2, 4]",There are four spades.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are six squares.,"[0, 0, 0]","[0, 0, 0]",2569,There are six squares.,"[1, 0]"
1,,0,1,1119,undefined,0,filler,"[5, 8, 4]",,1,,2,0,"[3, 4, 1]",,"[6, 5, 7]",There is a star.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a spade.,"[0, 0, 0]","[0, 0, 0]",3990,There is a square.,"[0, 1]"
1,,1,1,806,undefined,0,response,"[4, 7, 5]",,1,,0,0,"[4, 8, 2]",,"[6, 9, 1]",Some of the symbols are stars.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are hearts.,"[0, 0, 0]","[0, 0, 0]",3144,Some of the symbols are hearts.,"[0, 1]"
0,,1,0,1118,undefined,2,filler,"[5, 0, 7]",,1,,2,0,"[7, 5, 9]",,"[3, 7, 1]",There is a spade.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a circle and a square.,"[0, 0, 0]","[0, 0, 0]",3665,There is a square and a diamond.,"[1, 0]"
0,,1,0,839,undefined,0,response,"[2, 7, 5]",,1,,0,0,"[7, 8, 2]",,"[8, 7, 4]",Some of the symbols are notes.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,Some of the symbols are circles.,"[0, 0, 0]","[0, 0, 0]",3076,Some of the symbols are ticks.,"[1, 0]"
0,,0,0,706,undefined,1,filler,"[0, 4, 2]",,1,,1,0,"[6, 8, 9]",,"[5, 7, 6]",There are four squares.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There are four stars.,"[0, 0, 0]","[0, 0, 0]",2969,There are four diamonds.,"[1, 0]"
1,,0,1,1008,undefined,0,response,"[0, 1, 5]",,0,,2,0,"[3, 4, 2]",,"[4, 7, 0]",There is a heart.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a spade.,"[0, 0, 0]","[0, 0, 0]",3251,There is a diamond.,"[0, 1]"
1,,1,1,882,undefined,0,response,"[6, 5, 1]",,0,,1,0,"[2, 1, 6]",,"[3, 6, 2]",There are four spades.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There are four ticks.,"[0, 0, 0]","[0, 0, 0]",2703,There are four stars.,"[0, 1]"
0,,1,0,821,undefined,1,filler,"[2, 4, 0]",,1,,2,0,"[7, 6, 3]",,"[4, 0, 2]",There is a heart.,1,,"[0, 1]",True,True,alternative,6.291416666666667,True,There is a circle.,"[0, 0, 0]","[0, 0, 0]",2826,There is a tick.,"[1, 0]"
0,,0,0,1483,undefined,0,response,"[7, 2, 1]",,0,,2,0,"[3, 0, 1]",,"[6, 5, 0]",There is a star.,0,,"[1, 0]",True,True,alternative,6.291416666666667,True,There is a spade.,"[0, 0, 0]","[0, 0, 0]",4536,There is a circle.,"[1, 0]"
0,,0,0,993,undefined,3,filler,"[4, 1, 3]",,1,,2,0,"[5, 4, 1]",,"[7, 0, 9]",There is a circle.,1,,"[1, 0]",False,False,alternative,6.291416666666667,True,4 + 1 = ?,"[3, 0, 0]","[3, 0, 0]",2935,1 + 3 = ?,"[1, 0]"
